	frac_text	positives	precision	prob	recall	total
0	2/2	2	1.0	0.9	0.0024242424242424242	2
1	4/4	4	1.0	0.8	0.0048484848484848485	4
2	5/6	5	0.8333333333333334	0.7	0.006060606060606061	6
3	9/13	9	0.6923076923076923	0.6	0.01090909090909091	13
4	16/20	16	0.8	0.5	0.019393939393939394	20
5	22/27	22	0.8148148148148148	0.4	0.02666666666666667	27
6	29/39	29	0.7435897435897436	0.3	0.03515151515151515	39
7	42/59	42	0.711864406779661	0.2	0.05090909090909091	59
8	76/127	76	0.5984251968503937	0.1	0.09212121212121212	127
9	124/282	124	0.4397163120567376	0.05	0.1503030303030303	282
10	250/1274	250	0.19623233908948196	0.01	0.30303030303030304	1274
11	316/2482	316	0.12731668009669622	0.005	0.38303030303030305	2482
12	544/9507	544	0.05722099505627432	0.001	0.6593939393939394	9507
13	825/33522	825	0.02461070341865044	0.0	1.0	33522
