,sim_dom1,sim_dom2
0,IDO,Trp_dioxygenase
1,F5_F8_type_C,Glyco_hydro_2_N
2,Laminin_N,Glyco_hydro_2_N
3,Glyco_hydro_2_N,Ephrin_lbd
4,START,Polyketide_cyc
5,START,IP_trans
6,Polyketide_cyc,IP_trans
7,UQ_con,UEV
8,2OG-FeII_Oxy_2,FTO_NTD
9,2OG-FeII_Oxy_2,2OG-FeII_Oxy_3
10,2OG-FeII_Oxy_2,2OG-FeII_Oxy_4
11,2OG-FeII_Oxy_2,JmjN
12,2OG-FeII_Oxy_2,JmjC
13,2OG-FeII_Oxy_2,PhyH
14,2OG-FeII_Oxy_2,TauD
15,2OG-FeII_Oxy_2,Cupin_4
16,2OG-FeII_Oxy_2,cNMP_binding
17,2OG-FeII_Oxy_2,2OG-FeII_Oxy
18,2OG-FeII_Oxy_2,Cupin_8
19,2OG-FeII_Oxy_2,Pirin
20,2OG-FeII_Oxy_2,ARD
21,2OG-FeII_Oxy_2,HgmA
22,2OG-FeII_Oxy_2,PMI_typeI
23,2OG-FeII_Oxy_2,Asp_Arg_Hydrox
24,2OG-FeII_Oxy_2,3-HAO
25,2OG-FeII_Oxy_3,FTO_NTD
26,2OG-FeII_Oxy_3,2OG-FeII_Oxy_4
27,2OG-FeII_Oxy_3,PhyH
28,2OG-FeII_Oxy_3,TauD
29,2OG-FeII_Oxy_3,Cupin_4
30,2OG-FeII_Oxy_3,2OG-FeII_Oxy
31,2OG-FeII_Oxy_3,Cupin_8
32,2OG-FeII_Oxy_3,Pirin
33,2OG-FeII_Oxy_3,ARD
34,2OG-FeII_Oxy_3,HgmA
35,2OG-FeII_Oxy_3,PMI_typeI
36,2OG-FeII_Oxy_3,Asp_Arg_Hydrox
37,2OG-FeII_Oxy_3,3-HAO
38,2OG-FeII_Oxy_4,FTO_NTD
39,2OG-FeII_Oxy_4,JmjN
40,2OG-FeII_Oxy_4,JmjC
41,2OG-FeII_Oxy_4,PhyH
42,2OG-FeII_Oxy_4,TauD
43,2OG-FeII_Oxy_4,Cupin_4
44,2OG-FeII_Oxy_4,cNMP_binding
45,2OG-FeII_Oxy_4,2OG-FeII_Oxy
46,2OG-FeII_Oxy_4,Cupin_8
47,2OG-FeII_Oxy_4,Pirin
48,2OG-FeII_Oxy_4,ARD
49,2OG-FeII_Oxy_4,HgmA
50,2OG-FeII_Oxy_4,PMI_typeI
51,2OG-FeII_Oxy_4,Asp_Arg_Hydrox
52,2OG-FeII_Oxy_4,3-HAO
53,JmjN,FTO_NTD
54,JmjN,PhyH
55,JmjN,TauD
56,JmjN,Cupin_4
57,JmjN,2OG-FeII_Oxy
58,JmjN,Cupin_8
59,JmjN,Pirin
60,JmjN,ARD
61,JmjN,HgmA
62,JmjN,PMI_typeI
63,JmjN,Asp_Arg_Hydrox
64,JmjN,3-HAO
65,JmjC,FTO_NTD
66,JmjC,PhyH
67,JmjC,TauD
68,JmjC,Cupin_4
69,JmjC,2OG-FeII_Oxy
70,JmjC,Cupin_8
71,JmjC,Pirin
72,JmjC,ARD
73,JmjC,HgmA
74,JmjC,PMI_typeI
75,JmjC,Asp_Arg_Hydrox
76,JmjC,3-HAO
77,PhyH,FTO_NTD
78,PhyH,TauD
79,PhyH,Cupin_4
80,PhyH,cNMP_binding
81,PhyH,2OG-FeII_Oxy
82,PhyH,Cupin_8
83,PhyH,Pirin
84,PhyH,ARD
85,PhyH,HgmA
86,PhyH,PMI_typeI
87,PhyH,Asp_Arg_Hydrox
88,PhyH,3-HAO
89,2OG-FeII_Oxy,FTO_NTD
90,2OG-FeII_Oxy,TauD
91,2OG-FeII_Oxy,Cupin_4
92,2OG-FeII_Oxy,cNMP_binding
93,2OG-FeII_Oxy,Cupin_8
94,2OG-FeII_Oxy,Pirin
95,2OG-FeII_Oxy,ARD
96,2OG-FeII_Oxy,HgmA
97,2OG-FeII_Oxy,PMI_typeI
98,2OG-FeII_Oxy,Asp_Arg_Hydrox
99,2OG-FeII_Oxy,3-HAO
100,Pirin,FTO_NTD
101,Pirin,TauD
102,Pirin,Cupin_4
103,Pirin,cNMP_binding
104,Pirin,Cupin_8
105,Pirin,ARD
106,Pirin,HgmA
107,Pirin,PMI_typeI
108,Pirin,Asp_Arg_Hydrox
109,Pirin,3-HAO
110,PMI_typeI,FTO_NTD
111,PMI_typeI,TauD
112,PMI_typeI,Cupin_4
113,PMI_typeI,cNMP_binding
114,PMI_typeI,Cupin_8
115,PMI_typeI,ARD
116,PMI_typeI,HgmA
117,PMI_typeI,Asp_Arg_Hydrox
118,PMI_typeI,3-HAO
119,Asp_Arg_Hydrox,FTO_NTD
120,Asp_Arg_Hydrox,TauD
121,Asp_Arg_Hydrox,Cupin_4
122,Asp_Arg_Hydrox,cNMP_binding
123,Asp_Arg_Hydrox,Cupin_8
124,Asp_Arg_Hydrox,ARD
125,Asp_Arg_Hydrox,HgmA
126,Asp_Arg_Hydrox,3-HAO
127,FTO_NTD,TauD
128,FTO_NTD,Cupin_4
129,FTO_NTD,cNMP_binding
130,FTO_NTD,Cupin_8
131,FTO_NTD,ARD
132,FTO_NTD,HgmA
133,FTO_NTD,3-HAO
134,TauD,Cupin_4
135,TauD,cNMP_binding
136,TauD,Cupin_8
137,TauD,ARD
138,TauD,HgmA
139,TauD,3-HAO
140,Cupin_4,cNMP_binding
141,Cupin_4,Cupin_8
142,Cupin_4,ARD
143,Cupin_4,HgmA
144,Cupin_4,3-HAO
145,cNMP_binding,Cupin_8
146,cNMP_binding,ARD
147,cNMP_binding,HgmA
148,cNMP_binding,3-HAO
149,Cupin_8,ARD
150,Cupin_8,HgmA
151,Cupin_8,3-HAO
152,ARD,HgmA
153,ARD,3-HAO
154,HgmA,3-HAO
155,Peptidase_S9,Abhydrolase_2
156,Peptidase_S9,Thioesterase
157,Peptidase_S9,COesterase
158,Peptidase_S9,Abhydrolase_6
159,Peptidase_S9,Esterase
160,Peptidase_S9,Lipase_3
161,Peptidase_S9,Abhydrolase_1
162,Peptidase_S9,Lipase
163,Peptidase_S9,Abhydrolase_3
164,Thioesterase,Abhydrolase_2
165,Thioesterase,COesterase
166,Thioesterase,Abhydrolase_6
167,Thioesterase,Esterase
168,Thioesterase,Lipase_3
169,Thioesterase,Abhydrolase_1
170,Thioesterase,Lipase
171,Thioesterase,Abhydrolase_3
172,Esterase,Abhydrolase_2
173,Esterase,COesterase
174,Esterase,Abhydrolase_6
175,Esterase,Lipase_3
176,Esterase,Abhydrolase_1
177,Esterase,Lipase
178,Esterase,Abhydrolase_3
179,Lipase_3,Abhydrolase_2
180,Lipase_3,COesterase
181,Lipase_3,Abhydrolase_6
182,Lipase_3,Abhydrolase_1
183,Lipase_3,Lipase
184,Lipase_3,Abhydrolase_3
185,Lipase,Abhydrolase_2
186,Lipase,COesterase
187,Lipase,Abhydrolase_6
188,Lipase,Abhydrolase_1
189,Lipase,Abhydrolase_3
190,COesterase,Abhydrolase_2
191,COesterase,Abhydrolase_3
192,Abhydrolase_2,Abhydrolase_6
193,Abhydrolase_2,Abhydrolase_1
194,Abhydrolase_2,Abhydrolase_3
195,Abhydrolase_6,Abhydrolase_3
196,Abhydrolase_1,Abhydrolase_3
197,GDPD,PI-PLC-X
198,Ribosom_S12_S23,S1
199,Ribosom_S12_S23,POT1
200,Ribosom_S12_S23,OB_NTP_bind
201,Ribosom_S12_S23,Rep-A_N
202,Ribosom_S12_S23,Rep_fac-A_C
203,Ribosom_S12_S23,Ribosomal_S17
204,Ribosom_S12_S23,eIF-1a
205,Ribosom_S12_S23,CSD
206,Ribosom_S12_S23,Rrp44_CSD1
207,Ribosom_S12_S23,DNA_ligase_A_C
208,Ribosom_S12_S23,Ribosomal_S28e
209,Ribosom_S12_S23,Ribosomal_L2
210,Ribosom_S12_S23,tRNA_anti-codon
211,Ribosom_S12_S23,MCM_OB
212,Ribosom_S12_S23,Rrp44_S1
213,Ribosom_S12_S23,SSB
214,eIF-1a,S1
215,eIF-1a,POT1
216,eIF-1a,OB_NTP_bind
217,eIF-1a,Rep-A_N
218,eIF-1a,Rep_fac-A_C
219,eIF-1a,Ribosomal_S17
220,eIF-1a,CSD
221,eIF-1a,Rrp44_CSD1
222,eIF-1a,DNA_ligase_A_C
223,eIF-1a,Ribosomal_S28e
224,eIF-1a,Ribosomal_L2
225,eIF-1a,tRNA_anti-codon
226,eIF-1a,MCM_OB
227,eIF-1a,Rrp44_S1
228,eIF-1a,SSB
229,S1,POT1
230,S1,Rep-A_N
