,number,count,name,domains
1,5515,122,protein binding,SNARE.PCI.GST_N_3.GST_N_2.VWC.TPR_10.TPR_11.Fz.F-box.BAR.NHL.GRIP.Ig_2.HEAT.SAM_1.SAM_2.EGF.Kazal_2.Kazal_1.Spectrin.GAF.JAB.PHD.Sema.zf-RING_11.PAS_3.BTB.Ldl_recept_a.SET.PDZ.LRR_8.TIR_2.TPR_1.TPR_7.TPR_8.WW.Bromodomain.LRR_6.TIR.SH3_9.EMI.fn3.Kelch_2.Kelch_1.F-box-like.SH3_1.Ank_3.GST_N.Death.PID.TNFR_c6.C2.CH.SPRY.Ank.FHA.ubiquitin.IQ.PDZ_2.zf-RING_2.zf-RING_5.TIG.Ephrin_lbd.UBX.Arm.Tissue_fac.PTB.WD40.EF-hand_4.MIF4G.PLAT.PB1.WH2.Cofilin_ADF.Xin.TGF_beta.FGF.TGFb_propeptide.Microtub_bd.Kinesin.Interferon.Tubulin-binding.Fascin.IRS.G-alpha.HLH.IBN_N.IGFBP.IL8.wnt.Ank_2.Ank_4.Ank_5.Arm_2.BAR_3.C2-set_2.Ephrin_rec_like.GST_C.GST_C_2.GST_C_3.HEAT_2.HEAT_EZ.Ig_3.Kelch_3.Kelch_4.Kelch_5.Kelch_6.LRR_4.LRR_5.LRR_9.Ldl_recept_b.PAS_11.PAS_9.PHD_2.SH3_2.TPR_12.TPR_14.TPR_17.TPR_19.TPR_2.Tubulin_C.ig
2,16020,65,membrane,Neur_chan_memb.SRCR.EamA.MAM.Cadherin.Syntaxin.Galactosyl_T.Neur_chan_LBD.RYDR_ITPR.Zip.AA_permease_2.MIP.HRM.Cys_rich_FGFR.SSF.Lig_chan-Glu_bd.Cadherin_C.Lig_chan.GPS.PSI.AA_permease.MHC_II_alpha.MARVEL.Ion_trans.Frizzled.OATP.TNF.MHC_II_beta.CD225.EMP24_GP25L.SNF.MFS_1.Sugar_tr.Sulfate_transp.Na_H_Exchanger.TRAM_LAG1_CLN8.7tm_2.7tm_3.7tm_1.Tetraspannin.CIMR.Calx-beta.Sulfotransfer_2.HlyIII.TMC.PMP22_Claudin.IRK.CD20.ABC_membrane.Na_Ca_ex.TAS2R.Claudin_2.G-gamma.Adaptin_N.7TM_GPCR_Srsx.7tm_4.Aa_trans.Cadherin_2.Cadherin_3.Cadherin_C_2.Cadherin_tail.Cys_knot.Ion_trans_2.PSI_integrin.Sulfotransfer_3
3,8270,38,zinc ion binding,zf-C4.GATA.RINGv.ZZ.APOBEC_N.zf-TRAF.zf-AN1.Peptidase_M10.LIM.Peptidase_M14.TFIIS_C.zf-RING_11.Pre-SET.zf-NF-X1.Peptidase_M1.zf-C2HC.zf-RanBP.zf-B_box.zf-UBP.zf-RING_2.zf-RING_5.zf-FCS.zf-CXXC.zf-rbx1.zf-CCHC.zf-A20.APOBEC_C.Peptidase_C14.zf-C2H2_4.zf-C3HC4_2.zf-C3HC4_3.zf-C3HC4_4.zf-H2C2_5.zf-HC5HC2H.zf-HC5HC2H_2.zf-MYND.zf-RING_UBOX.zf-met
4,16021,28,integral component of membrane,CD225.EMP24_GP25L.SNF.EamA.MFS_1.Sugar_tr.Sulfate_transp.Na_H_Exchanger.TRAM_LAG1_CLN8.7tm_2.7tm_3.7tm_1.Tetraspannin.CIMR.Calx-beta.Sulfotransfer_2.HlyIII.TMC.PMP22_Claudin.IRK.CD20.ABC_membrane.Na_Ca_ex.TAS2R.Claudin_2.7TM_GPCR_Srsx.7tm_4.Sulfotransfer_3
5,6355,23,"regulation of transcription, DNA-templated",Hairy_orange.zf-C4.GATA.bZIP_Maf.CSD.SSXRD.bZIP_1.bZIP_2.zf-NF-X1.Pou.PAS.zf-C2HC.MH1.SCAN.MBT.Ets.Hormone_recep.Forkhead.KRAB.HSF_DNA-bind.T-box.Homeobox_KN.E2F_TDP
6,5524,24,ATP binding,Myosin_head.Pkinase_C.ResIII.Cpn60_TCP1.tRNA-synt_1.ABC_tran.AAA.SNF2_N.AAA_5.Pkinase.MutS_V.DEAD.ABC_membrane.Kinesin.Myosin_N.AAA_11.AAA_12.AAA_17.AAA_18.AAA_33.AAA_6.AAA_7.AAA_8.AAA_9
7,5634,15,nucleus,zf-C4.bZIP_Maf.Cyclin_C.Pre-SET.SSXRD.zf-NF-X1.zf-C2HC.Linker_histone.MBT.SAM_PNT.Med26.NAP.HSF_DNA-bind.T-box.Cyclin_N
8,3677,24,DNA binding,Hairy_orange.CENP-B_N.Homeobox.ResIII.bZIP_Maf.CSD.ARID.Linker_histone.Histone.zf-CXXC.Homeobox_KN.CUT.zf-A20.zf-BED.zf-C4.GATA.bZIP_1.bZIP_2.SAM_PNT.Ets.Forkhead.HSF_DNA-bind.MutS_V.Histone_H2A_C
9,3700,13,"transcription factor activity, sequence-specific DNA binding",zf-C4.GATA.bZIP_1.bZIP_2.zf-NF-X1.Pou.zf-C2HC.SCAN.Ets.Forkhead.HSF_DNA-bind.T-box.E2F_TDP
10,5509,19,calcium ion binding,Cadherin.Gla.EGF_CA.Annexin.Cadherin_C.TSP_3.EF-hand_1.EF-hand_5.EF-hand_7.EF-hand_6.EF-hand_8.Cadherin_2.Cadherin_3.Cadherin_C_2.Cadherin_tail.EF-hand_like.EGF_2.EGF_3.TSP_1
11,3676,41,nucleic acid binding,DDE_1.S1.R3H.TFIIS_C.G-patch.THAP.DEAD.KRAB.RRM_1.zf-CCHC.Hairy_orange.CENP-B_N.Homeobox.ResIII.bZIP_Maf.CSD.ARID.Linker_histone.Histone.zf-CXXC.Homeobox_KN.CUT.zf-A20.zf-BED.zf-C4.GATA.bZIP_1.bZIP_2.SAM_PNT.Ets.Forkhead.HSF_DNA-bind.S4.PUF.KH_1.MIF4G.MutS_V.Ribosomal_S4.G-patch_2.Histone_H2A_C.Ribosomal_L7Ae
12,55114,14,oxidation-reduction process,2OG-FeII_Oxy_3.NAD_binding_1.ADH_zinc_N.Pyr_redox_2.Aldedh.Acyl-CoA_dh_N.Acyl-CoA_dh_M.Acyl-CoA_dh_1.p450.ADH_N.Acyl-CoA_dh_2.NAD_binding_8.adh_short.adh_short_C2
13,5576,16,extracellular region,Gla.ANATO.A2M_recep.fn1.Defensin_beta_2.IGFBP.WAP.IL8.wnt.Interferon.Peptidase_M10.ADAM_spacer1.A2M_comp.Serum_albumin.A2M_N_2.ADAM_CR
