beta  ances 
0.240 0.374
0.242 0.370
0.243 0.370
0.241 0.371
0.238 0.373
0.236 0.372
0.237 0.374
0.235 0.374
0.234 0.374
0.234 0.374
0.234 0.373
0.235 0.373
0.235 0.373
0.235 0.373
0.235 0.373
0.235 0.374
0.235 0.374
0.234 0.374
0.234 0.374
0.234 0.375
0.234 0.375
0.234 0.375
0.234 0.374
0.234 0.374
0.234 0.374
0.234 0.373
0.234 0.373
0.234 0.372
0.235 0.372
0.234 0.373
0.235 0.372
0.235 0.373
0.235 0.373
0.235 0.373
0.235 0.373
0.234 0.373
0.234 0.373
0.234 0.373
0.234 0.373
0.234 0.373
0.235 0.373
0.234 0.373
0.235 0.372
0.235 0.373
0.234 0.373
0.234 0.373
0.234 0.373
0.235 0.373
0.235 0.373
