	domain	ligand
0	2OG-FeII_Oxy_3	dna
1	2OG-FeII_Oxy_3	dnabase
2	2OG-FeII_Oxy_3	dnabackbone
3	2OG-FeII_Oxy_3	rna
4	2OG-FeII_Oxy_3	rnabase
5	2OG-FeII_Oxy_3	rnabackbone
6	2OG-FeII_Oxy_3	peptide
7	2OG-FeII_Oxy_3	metabolite
8	AMP-binding_C	dna
9	AMP-binding_C	dnabase
10	AMP-binding_C	dnabackbone
11	AMP-binding_C	rna
12	AMP-binding_C	rnabase
13	AMP-binding_C	rnabackbone
14	AMP-binding_C	peptide
15	AMP-binding_C	ion
16	ANAPC3	dna
17	ANAPC3	dnabase
18	ANAPC3	dnabackbone
19	ANAPC3	rna
20	ANAPC3	rnabase
21	ANAPC3	rnabackbone
22	ANAPC3	ion
23	ANAPC3	metabolite
24	APOBEC_C	dna
25	APOBEC_C	dnabase
26	APOBEC_C	dnabackbone
27	APOBEC_C	rna
28	APOBEC_C	rnabase
29	APOBEC_C	rnabackbone
30	APOBEC_C	peptide
31	APOBEC_C	ion
32	APOBEC_C	metabolite
33	APOBEC_C	max
34	Acyl-CoA_dh_M	dna
35	Acyl-CoA_dh_M	dnabase
36	Acyl-CoA_dh_M	dnabackbone
37	Acyl-CoA_dh_M	rna
38	Acyl-CoA_dh_M	rnabase
39	Acyl-CoA_dh_M	rnabackbone
40	Acyl-CoA_dh_M	peptide
41	Acyl-CoA_dh_M	metabolite
42	Ank	dna
43	Ank	dnabase
44	Ank	dnabackbone
45	Ank_3	dna
46	Ank_3	dnabase
47	Ank_3	dnabackbone
48	Ank_4	ion
49	Annexin	dna
50	Annexin	dnabase
51	Annexin	dnabackbone
52	Annexin	rna
53	Annexin	rnabase
54	Annexin	rnabackbone
55	Annexin	metabolite
56	Arm	dna
57	Arm	dnabase
58	Arm	dnabackbone
59	Arm	rna
60	Arm	rnabase
61	Arm	rnabackbone
62	BEN	rna
63	BEN	rnabase
64	BEN	rnabackbone
65	BEN	peptide
66	BEN	ion
67	BEN	metabolite
68	BIR	dna
69	BIR	dnabase
70	BIR	dnabackbone
71	BIR	rna
72	BIR	rnabase
73	BIR	rnabackbone
74	BIR	metabolite
75	BRCT	dna
76	BRCT	dnabase
77	BRCT	dnabackbone
78	BRCT	rna
79	BRCT	rnabase
80	BRCT	rnabackbone
81	BRCT	ion
82	BRCT	metabolite
83	BTB_2	dna
84	BTB_2	dnabase
85	BTB_2	dnabackbone
86	BTB_2	rna
87	BTB_2	rnabase
88	BTB_2	rnabackbone
89	BTB_2	peptide
90	BTB_2	metabolite
91	Bcl-2	dna
92	Bcl-2	dnabase
93	Bcl-2	dnabackbone
94	Bcl-2	rna
95	Bcl-2	rnabase
96	Bcl-2	rnabackbone
97	Bcl-2	metabolite
98	Bromodomain	dna
99	Bromodomain	dnabase
100	Bromodomain	dnabackbone
101	Bromodomain	rna
102	Bromodomain	rnabase
103	Bromodomain	rnabackbone
104	C1-set	dna
105	C1-set	dnabase
106	C1-set	dnabackbone
107	C1-set	rna
108	C1-set	rnabase
109	C1-set	rnabackbone
110	C1-set	peptide
111	C1_1	dna
112	C1_1	dnabase
113	C1_1	dnabackbone
114	C1_1	rna
