	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	S4	33	1.0	0.375	0.7272727272727273	2	0.3
1	KH_1	38	1.0	4.428571428571429	0.18421052631578946	2	0.3
2	CSD	64	1.0	1.909090909090909	0.34375	1	0.3
3	zf-CCCH	24	0.5833333333333334	0.4935897435897436	0.5416666666666666	12	0.3
4	S4	33	0.9523809523809523	0.35714285714285715	0.7272727272727273	21	0.2
5	KH_1	38	0.5	2.2142857142857144	0.18421052631578946	6	0.2
6	KOW	16	1.0	1.2857142857142856	0.4375	1	0.2
7	zf-CCHC	13	0.8333333333333334	0.15151515151515152	0.8461538461538461	6	0.2
8	CSD	64	0.5263157894736842	1.0047846889952152	0.34375	19	0.2
9	LSM	39	0.0	0.0	0.1794871794871795	6	0.2
10	zf-CCCH	24	0.5238095238095238	0.4432234432234432	0.5416666666666666	21	0.2
11	S4	33	0.7333333333333333	0.275	0.7272727272727273	30	0.1
12	TPR_1	25	1.0	1.2727272727272727	0.44	2	0.1
13	KH_1	38	0.4	1.7714285714285716	0.18421052631578946	15	0.1
14	KOW	16	0.5	0.6428571428571428	0.4375	10	0.1
15	zf-CCHC	13	0.8461538461538461	0.15384615384615385	0.8461538461538461	13	0.1
16	CSD	64	0.40384615384615385	0.7709790209790209	0.34375	52	0.1
17	Ribosomal_S4	51	0.8518518518518519	0.4646464646464647	0.6470588235294118	27	0.1
18	RRM_1	33	1.0	1.3571428571428572	0.42424242424242425	1	0.1
19	LSM	39	0.20588235294117646	0.9411764705882353	0.1794871794871795	34	0.1
20	dsrm	43	1.0	2.071428571428571	0.32558139534883723	3	0.1
21	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.1
22	S4	33	0.7272727272727273	0.27272727272727276	0.7272727272727273	33	0.05
23	PUF	12	0.6666666666666666	1.3333333333333333	0.3333333333333333	6	0.05
24	TPR_1	25	0.36363636363636365	0.4628099173553719	0.44	11	0.05
25	Nop	168	0.3333333333333333	3.6666666666666665	0.08333333333333333	12	0.05
26	KH_1	38	0.21212121212121213	0.9393939393939394	0.18421052631578946	33	0.05
27	KOW	16	0.4375	0.5625	0.4375	16	0.05
28	zf-CCHC	13	0.8461538461538461	0.15384615384615385	0.8461538461538461	13	0.05
29	tRNA-synt_1	468	0.0	0.0	0.014957264957264958	9	0.05
30	CSD	64	0.3492063492063492	0.6666666666666666	0.34375	63	0.05
31	Ribosomal_S4	51	0.6470588235294118	0.35294117647058826	0.6470588235294118	51	0.05
32	RRM_1	33	0.47619047619047616	0.6462585034013606	0.42424242424242425	21	0.05
33	LSM	39	0.1794871794871795	0.8205128205128205	0.1794871794871795	39	0.05
34	Ribosomal_L7Ae	64	0.6666666666666666	2.0	0.25	6	0.05
35	TPR_17	16	0.2	0.8666666666666667	0.1875	5	0.05
36	dsrm	43	0.5882352941176471	1.218487394957983	0.32558139534883723	17	0.05
37	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.05
38	RNase_T	158	0.08695652173913043	0.8944099378881987	0.08860759493670886	69	0.01
39	S4	33	0.7272727272727273	0.27272727272727276	0.7272727272727273	33	0.01
40	PUF	12	0.3333333333333333	0.6666666666666666	0.3333333333333333	12	0.01
41	TPR_1	25	0.44	0.56	0.44	25	0.01
42	Nop	168	0.08536585365853659	0.9390243902439025	0.08333333333333333	164	0.01
43	KH_1	38	0.18421052631578946	0.8157894736842105	0.18421052631578946	38	0.01
44	KOW	16	0.4375	0.5625	0.4375	16	0.01
45	zf-CCHC	13	0.8461538461538461	0.15384615384615385	0.8461538461538461	13	0.01
46	tRNA-synt_1	468	0.013774104683195593	0.9071231798504527	0.014957264957264958	363	0.01
47	CSD	64	0.34375	0.65625	0.34375	64	0.01
48	Ribosomal_S4	51	0.6470588235294118	0.35294117647058826	0.6470588235294118	51	0.01
49	LRR_4	31	0.2857142857142857	1.1904761904761905	0.1935483870967742	14	0.01
50	RRM_1	33	0.42424242424242425	0.5757575757575758	0.42424242424242425	33	0.01
51	LSM	39	0.1794871794871795	0.8205128205128205	0.1794871794871795	39	0.01
52	Ribosomal_L7Ae	64	0.27586206896551724	0.8275862068965517	0.25	58	0.01
53	NUDIX	120	0.08695652173913043	0.782608695652174	0.1	46	0.01
54	Anticodon_1	81	0.19230769230769232	2.032967032967033	0.08641975308641975	26	0.01
55	Helicase_C	27	1.0	26.0	0.037037037037037035	1	0.01
56	TPR_17	16	0.1875	0.8125	0.1875	16	0.01
57	dsrm	43	0.35135135135135137	0.7277992277992278	0.32558139534883723	37	0.01
58	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.01
