	RF	ADA	SVM	Logistic	KNN	XGB
2OG-FeII_Oxy_3_1	0.035	0.498435034073	0.0397678333521	0.029139949754	0.05	0.00033028179314
2OG-FeII_Oxy_3_10	0.037	0.499397341466	0.0571421763527	0.0431235832185	0.02	0.00884401891381
2OG-FeII_Oxy_3_11	0.049	0.499596952767	0.0453538025518	0.0420203984295	0.02	0.00295966118574
2OG-FeII_Oxy_3_12	0.092	0.499171535392	0.0642008121258	0.0276744901926	0.13	0.00561203947291
2OG-FeII_Oxy_3_13	0.011	0.498865798125	0.0414419239075	0.033653140981	0.01	0.000227241311222
2OG-FeII_Oxy_3_14	0.02	0.498461338402	0.0340162746267	0.041532511695	0.01	0.000388225220377
2OG-FeII_Oxy_3_15	0.099	0.499631633812	0.0608500219315	0.0297518144063	0.12	0.00667812023312
2OG-FeII_Oxy_3_16	0.032	0.498733752536	0.0422086898421	0.0411615993387	0.0	0.00106693629641
2OG-FeII_Oxy_3_17	0.057	0.499441574917	0.0452804963709	0.036880880855	0.03	0.0102045694366
2OG-FeII_Oxy_3_18	0.023	0.499033313409	0.0421002765614	0.0337259842556	0.02	0.00028218497755
2OG-FeII_Oxy_3_19	0.031	0.499053171681	0.0343845809399	0.0386362577433	0.02	2.19141638809e-05
2OG-FeII_Oxy_3_2	0.097	0.499233575522	0.0456228621553	0.0218319315888	0.08	0.00249417475425
2OG-FeII_Oxy_3_20	0.029	0.498757244997	0.0395031236924	0.0264633119881	0.02	0.000233259255765
2OG-FeII_Oxy_3_21	0.032	0.498877464374	0.0390695993184	0.0270483693278	0.04	4.0069357965e-06
2OG-FeII_Oxy_3_22	0.004	0.498385863503	0.0385437670741	0.0284170495301	0.01	0.000138801071444
2OG-FeII_Oxy_3_23	0.01	0.499050833789	0.0364574932525	0.020141327135	0.03	7.22930708434e-05
2OG-FeII_Oxy_3_24	0.007	0.498985972718	0.0300681226848	0.0416757504259	0.0	0.000110050314106
2OG-FeII_Oxy_3_25	0.019	0.499219794975	0.0391982897272	0.0173823544935	0.03	9.15167693165e-05
2OG-FeII_Oxy_3_26	0.015	0.498920705199	0.0434181625075	0.045603736759	0.04	0.000344180036336
2OG-FeII_Oxy_3_27	0.026	0.498956692008	0.0473774998825	0.0430338574726	0.02	0.00349462823942
2OG-FeII_Oxy_3_28	0.075	0.499036278111	0.0513490518972	0.019406908137	0.05	0.00694913370535
2OG-FeII_Oxy_3_29	0.108	0.499344033831	0.0482743346476	0.0285834436078	0.08	0.00605763681233
2OG-FeII_Oxy_3_3	0.052	0.498958387494	0.0306202266421	0.0279370955114	0.01	7.59126487537e-05
2OG-FeII_Oxy_3_30	0.025	0.499462276197	0.0419841556984	0.0249980103715	0.05	0.00065632245969
2OG-FeII_Oxy_3_31	0.028	0.499146188955	0.0387514944421	0.0464714601167	0.03	0.000587692542467
2OG-FeII_Oxy_3_32	0.049	0.49849295542	0.0403688278553	0.023146967116	0.03	0.000131154170958
2OG-FeII_Oxy_3_33	0.019	0.498888143145	0.0520259842677	0.0222812234525	0.03	0.000144132136484
2OG-FeII_Oxy_3_34	0.026	0.498904791361	0.035950105314	0.0235563016762	0.03	0.000335786811775
2OG-FeII_Oxy_3_35	0.033	0.499567965123	0.0383445489529	0.0205909700517	0.05	0.00969338230789
2OG-FeII_Oxy_3_36	0.01	0.498752519898	0.0320136323075	0.0260017429297	0.0	0.00133855617605
2OG-FeII_Oxy_3_37	0.011	0.499273392618	0.0403852894216	0.0375371187378	0.02	0.000831539276987
2OG-FeII_Oxy_3_38	0.005	0.497823033404	0.0364468239495	0.0365203754829	0.04	9.75455041043e-05
2OG-FeII_Oxy_3_39	0.08	0.49904149042	0.0417449001084	0.01827105892	0.04	8.64491739776e-05
2OG-FeII_Oxy_3_4	0.038	0.498911247962	0.0450283105699	0.0306196389452	0.05	0.000123024365166
2OG-FeII_Oxy_3_40	0.009	0.498624372093	0.0502114928501	0.0429977195575	0.06	4.68354883196e-05
2OG-FeII_Oxy_3_41	0.028	0.499145462014	0.0300998596834	0.0423857746688	0.04	0.00269405380823
2OG-FeII_Oxy_3_42	0.026	0.499189887558	0.0429007289712	0.0319465614424	0.02	0.0013654291397
2OG-FeII_Oxy_3_43	0.026	0.498872502957	0.0399054421688	0.0432981299272	0.02	0.00042999125435
2OG-FeII_Oxy_3_44	0.007	0.497988338487	0.0285192959119	0.123250449851	0.0	0.000166601617821
2OG-FeII_Oxy_3_45	0.018	0.498997728926	0.0430602035204	0.0695772502543	0.04	0.000228744058404
2OG-FeII_Oxy_3_46	0.042	0.499292065748	0.0429429013292	0.0279177909004	0.09	0.00536483246833
2OG-FeII_Oxy_3_47	0.018	0.499335355957	0.0298405493542	0.029971183832	0.02	0.000663377344608
2OG-FeII_Oxy_3_48	0.028	0.499376381859	0.0286757141673	0.0295230792076	0.04	0.000238491920754
2OG-FeII_Oxy_3_49	0.016	0.498854552819	0.0313951274099	0.0332247325883	0.03	0.000403351761634
2OG-FeII_Oxy_3_5	0.061	0.499612302426	0.032940527282	0.0274645471574	0.05	0.000568184768781
2OG-FeII_Oxy_3_50	0.021	0.49862928316	0.0465124157565	0.0320824745961	0.04	0.00120969803538
2OG-FeII_Oxy_3_51	0.006	0.498326118552	0.0289918500739	0.0565525363976	0.03	7.04004705767e-05
2OG-FeII_Oxy_3_52	0.025	0.489941540973	0.0375996416004	0.0448181230158	0.02	0.000111558692879
2OG-FeII_Oxy_3_53	0.023	0.498700044577	0.0371834587088	0.0546412295205	0.02	0.000351145718014
2OG-FeII_Oxy_3_54	0.024	0.499107027748	0.0411882277787	0.0317850938448	0.03	0.00140461756382
2OG-FeII_Oxy_3_55	0.019	0.498583955605	0.0320266922956	0.0291928009365	0.02	5.71325908822e-05
2OG-FeII_Oxy_3_56	0.016	0.498959271051	0.0341577007641	0.0357010583409	0.02	9.83622521744e-05
2OG-FeII_Oxy_3_57	0.014	0.498763244159	0.0373619048292	0.0313324272297	0.02	0.000570905511267
2OG-FeII_Oxy_3_58	0.022	0.49874677439	0.0322951573424	0.0397478954279	0.03	0.000143630677485
2OG-FeII_Oxy_3_59	0.013	0.498548709638	0.0332987644732	0.0371821605171	0.02	0.000384593353374
2OG-FeII_Oxy_3_6	0.031	0.498888863753	0.0562678065363	0.0177366017493	0.06	0.0042248419486
2OG-FeII_Oxy_3_60	0.021	0.499262628565	0.0541319275577	0.029145393744	0.04	0.000200034832233
2OG-FeII_Oxy_3_61	0.012	0.499167410716	0.0248799069474	0.0644131768231	0.0	0.000527839525603
2OG-FeII_Oxy_3_62	0.018	0.498459150948	0.0395252888927	0.0256529577291	0.01	0.000197410772671
2OG-FeII_Oxy_3_63	0.039	0.498486884012	0.0442867302428	0.0265450067166	0.05	0.000259150343481
2OG-FeII_Oxy_3_64	0.037	0.498606730485	0.0411386142856	0.0791154637183	0.01	8.08692566352e-05
2OG-FeII_Oxy_3_65	0.052	0.498937215913	0.0337725449074	0.0256054971629	0.04	0.0126958256587
2OG-FeII_Oxy_3_66	0.007	0.499142770049	0.0398666182706	0.0485687066919	0.0	0.000139940791996
2OG-FeII_Oxy_3_67	0.019	0.498564141018	0.0306130852262	0.0409727059652	0.01	7.50900799176e-05
2OG-FeII_Oxy_3_68	0.025	0.499399690832	0.0424822026104	0.0262179254142	0.03	0.00389047595672
2OG-FeII_Oxy_3_69	0.107	0.498667777955	0.0746660525789	0.0300887575111	0.03	0.00361308688298
2OG-FeII_Oxy_3_7	0.011	0.499043327864	0.033715250706	0.0619044579428	0.01	0.000118069183372
2OG-FeII_Oxy_3_70	0.047	0.499422893871	0.0451728813154	0.0219985915148	0.07	0.00192104780581
2OG-FeII_Oxy_3_71	0.017	0.498704206724	0.026583209739	0.0444319293529	0.02	0.000241004512645
2OG-FeII_Oxy_3_72	0.059	0.499386765874	0.0446665314602	0.0297152862698	0.05	0.0212601348758
2OG-FeII_Oxy_3_73	0.021	0.498915249656	0.0431804171823	0.034933016759	0.04	0.000465084711323
2OG-FeII_Oxy_3_74	0.022	0.499393798628	0.0360313691636	0.0249950896643	0.05	0.000725158432033
2OG-FeII_Oxy_3_75	0.011	0.4989938227	0.0357066784591	0.0356962658504	0.02	0.00104950112291
2OG-FeII_Oxy_3_76	0.016	0.4988097086	0.0407681761111	0.0415692827255	0.01	0.000717342714779
2OG-FeII_Oxy_3_77	0.072	0.499311910157	0.0272663186189	0.0369267349647	0.09	0.001971837366
2OG-FeII_Oxy_3_78	0.035	0.499316996099	0.0366119892353	0.0379377396727	0.03	0.000406043225667
2OG-FeII_Oxy_3_79	0.015	0.498995937642	0.0386553828353	0.0397583404673	0.02	0.00021213319269
2OG-FeII_Oxy_3_8	0.015	0.498561909926	0.0423250071624	0.0349267896782	0.03	0.000352447154
2OG-FeII_Oxy_3_80	0.039	0.49907281437	0.0296885177053	0.0265377938747	0.03	0.000586232636124
2OG-FeII_Oxy_3_81	0.061	0.498377238727	0.0470403427538	0.0478660274739	0.04	0.000182779884199
2OG-FeII_Oxy_3_82	0.025	0.499024912224	0.0381718288881	0.0368715855755	0.04	0.000489262572955
2OG-FeII_Oxy_3_83	0.032	0.499465269369	0.0413994604127	0.0238419481218	0.02	0.00210782932118
2OG-FeII_Oxy_3_84	0.021	0.498104505242	0.0274522311574	0.028728440377	0.0	7.62511772336e-05
2OG-FeII_Oxy_3_85	0.017	0.498800193925	0.0412445695141	0.0714276963703	0.05	0.000101467929198
2OG-FeII_Oxy_3_86	0.028	0.472894924371	0.0257485168143	0.0472719092444	0.03	1.58939178618e-06
2OG-FeII_Oxy_3_87	0.044	0.499097917816	0.0409450482599	0.0391327289353	0.04	0.00218527577817
2OG-FeII_Oxy_3_88	0.067	0.498790584471	0.0525508984037	0.027200683613	0.08	0.00175300065894
2OG-FeII_Oxy_3_89	0.083	0.499057679445	0.048407819204	0.0164048206702	0.06	0.00276581966318
2OG-FeII_Oxy_3_9	0.026	0.499058258829	0.0427878287312	0.0363162586137	0.01	0.000262659188593
2OG-FeII_Oxy_3_90	0.022	0.498463506608	0.0358112902209	0.0430002625072	0.03	0.000521173584275
2OG-FeII_Oxy_3_91	0.061	0.498182603382	0.0478814440515	0.0330836469047	0.04	0.000190989740076
2OG-FeII_Oxy_3_92	0.024	0.499156174089	0.0300391405021	0.0364803626875	0.01	0.000190798804397
2OG-FeII_Oxy_3_93	0.03	0.499085924863	0.0405109192821	0.0193404507099	0.02	0.000394096132368
2OG-FeII_Oxy_3_94	0.12	0.499531936212	0.0441141746958	0.0150870369799	0.1	0.0654270648956
2OG-FeII_Oxy_3_95	0.025	0.499133636387	0.037944819269	0.0333346408817	0.04	0.00147113762796
2OG-FeII_Oxy_3_96	0.061	0.499710197205	0.04543398764	0.0231427324813	0.06	0.0302860531956
7TM_GPCR_Srsx_1	0.061	0.498678458455	0.0286810298335	0.065029086165	0.06	0.000124905258417
7TM_GPCR_Srsx_10	0.054	0.499249923923	0.0367480279863	0.0292773395874	0.05	0.00216528074816
7TM_GPCR_Srsx_100	0.039	0.498776182408	0.0329608113612	0.03659867573	0.04	0.000917286844924
7TM_GPCR_Srsx_101	0.063	0.498532939157	0.0506576667384	0.0387573354004	0.06	0.00190212554298
7TM_GPCR_Srsx_102	0.065	0.499108750442	0.0196530034573	0.0498901461754	0.04	0.0172166172415
7TM_GPCR_Srsx_103	0.05	0.499126309242	0.0492978732033	0.0412109061726	0.06	0.00195337226614
7TM_GPCR_Srsx_104	0.085	0.498289252999	0.0537087097062	0.0535029978855	0.09	0.000123927675304
7TM_GPCR_Srsx_105	0.065	0.498800004023	0.0432015040408	0.0664926130857	0.07	0.000623690488283
7TM_GPCR_Srsx_106	0.128	0.498851136075	0.0577254984199	0.0625426889259	0.09	0.00386569486
7TM_GPCR_Srsx_107	0.086	0.498532480468	0.0641951128797	0.0687285326144	0.07	0.00335946539417
7TM_GPCR_Srsx_108	0.065	0.498462116877	0.0339309179526	0.071935457859	0.07	0.000346071610693
7TM_GPCR_Srsx_109	0.09	0.498548067542	0.057219856754	0.0595862468663	0.06	0.000392595655285
7TM_GPCR_Srsx_11	0.093	0.49988154028	0.0265525463853	0.0326516156768	0.03	0.00121885316912
7TM_GPCR_Srsx_110	0.105	0.498673578789	0.0567854718809	0.0667547079426	0.06	0.000798956840299
7TM_GPCR_Srsx_111	0.075	0.499449244674	0.0625788922849	0.0468162223353	0.07	0.00382150011137
7TM_GPCR_Srsx_112	0.078	0.49840009796	0.0547679096904	0.0789114610367	0.06	0.000242029229412
7TM_GPCR_Srsx_113	0.117	0.499035880785	0.0650688191227	0.0599003129053	0.04	0.00237139197998
7TM_GPCR_Srsx_114	0.039	0.498653246379	0.0620552049813	0.067523255798	0.07	0.00172240566462
7TM_GPCR_Srsx_115	0.087	0.498653929909	0.0352646762093	0.0504706069163	0.06	0.000813825579826
7TM_GPCR_Srsx_116	0.063	0.498798221694	0.0531391744914	0.0417291224872	0.06	0.00177473167423
7TM_GPCR_Srsx_117	0.041	0.498706791232	0.0826055121912	0.048497736387	0.07	0.00131543783937
7TM_GPCR_Srsx_118	0.073	0.498944319827	0.0409240030504	0.0478002398958	0.05	0.0177722387016
7TM_GPCR_Srsx_119	0.042	0.499315879777	0.0284873427508	0.043144052791	0.07	0.00112898310181
7TM_GPCR_Srsx_12	0.052	0.498112765814	0.0229574849485	0.0345075126553	0.04	3.4032833355e-05
7TM_GPCR_Srsx_120	0.048	0.498816177126	0.0264399863845	0.0391355026696	0.07	0.000450777937658
7TM_GPCR_Srsx_121	0.029	0.498915203518	0.0548536193554	0.0345094174322	0.04	0.00616376427934
7TM_GPCR_Srsx_122	0.079	0.499240538393	0.0364732917219	0.0400396666234	0.06	0.00433097966015
7TM_GPCR_Srsx_123	0.092	0.499175781208	0.0297144357051	0.0387159206285	0.05	0.00929539185017
7TM_GPCR_Srsx_124	0.088	0.498549265097	0.0559678535267	0.0308935433372	0.08	0.00327106984332
7TM_GPCR_Srsx_125	0.116	0.498434644241	0.0240854458597	0.031536072413	0.08	0.00278661679476
7TM_GPCR_Srsx_126	0.076	0.499257129492	0.0350326005534	0.0306007381443	0.04	0.00954632461071
7TM_GPCR_Srsx_127	0.167	0.499119783417	0.290930482442	0.0321733556765	0.07	0.0128327161074
7TM_GPCR_Srsx_128	0.043	0.498715723633	0.0217609725774	0.0416945481934	0.02	7.99495101091e-05
7TM_GPCR_Srsx_129	0.056	0.498685352451	0.0309294927861	0.0339058554622	0.06	0.00105589639861
7TM_GPCR_Srsx_13	0.13	0.499258633925	0.0746153445641	0.0319452699226	0.14	0.00131458241958
7TM_GPCR_Srsx_130	0.051	0.498232865598	0.0524170025026	0.0330221362855	0.04	0.000632934737951
7TM_GPCR_Srsx_131	0.056	0.499019357275	0.0381234978863	0.0414448558029	0.03	0.00422810297459
7TM_GPCR_Srsx_132	0.064	0.498333202665	0.0215257618552	0.0423512058864	0.03	0.00143241172191
7TM_GPCR_Srsx_133	0.085	0.498961436734	0.0344322137865	0.0445475370165	0.05	0.00071585807018
7TM_GPCR_Srsx_134	0.083	0.498136409032	0.0370996742524	0.0306082588998	0.03	0.00508007546887
7TM_GPCR_Srsx_135	0.13	0.498465280908	0.0482663247601	0.0437280523504	0.04	0.0012195110321
7TM_GPCR_Srsx_136	0.101	0.498628650707	0.106377716289	0.0331188643004	0.07	0.00148421141785
7TM_GPCR_Srsx_137	0.08	0.498926423694	0.0340225659235	0.0331846811207	0.06	0.000760850787628
7TM_GPCR_Srsx_138	0.064	0.498730917677	0.047232264664	0.0346871884183	0.05	0.000957689364441
7TM_GPCR_Srsx_139	0.135	0.498773820502	0.0567361049381	0.0293132244487	0.05	0.00475970609114
7TM_GPCR_Srsx_14	0.061	0.498484294207	0.0299855679482	0.0429796520198	0.09	0.000706647988409
7TM_GPCR_Srsx_140	0.031	0.499089879868	0.0260948104133	0.0401628295101	0.03	0.000286150432657
7TM_GPCR_Srsx_141	0.105	0.498214966641	0.0428956410196	0.0333014112417	0.08	0.0192900635302
7TM_GPCR_Srsx_142	0.114	0.498785150683	0.039750616037	0.0562122180481	0.05	0.00615073274821
7TM_GPCR_Srsx_143	0.07	0.49911238568	0.0131961525612	0.0359266995763	0.04	0.00085354532348
7TM_GPCR_Srsx_144	0.111	0.498783461988	0.0238488753621	0.0387719329747	0.09	0.0133565235883
7TM_GPCR_Srsx_145	0.069	0.498260595081	0.0328069625591	0.0417222755005	0.06	0.0013617357472
7TM_GPCR_Srsx_146	0.094	0.499556367568	0.0385740838426	0.0407655020687	0.08	0.0225253831595
7TM_GPCR_Srsx_147	0.044	0.498855975053	0.0323691534369	0.0438142486059	0.09	0.00215093581937
7TM_GPCR_Srsx_148	0.035	0.498704056028	0.0508097007893	0.0430288849599	0.06	0.000764982076362
7TM_GPCR_Srsx_149	0.095	0.49842605161	0.0442937741535	0.0421394268597	0.05	0.00130877888296
7TM_GPCR_Srsx_15	0.055	0.498629242024	0.0723318085785	0.0358523062373	0.04	0.00115827552509
7TM_GPCR_Srsx_150	0.054	0.49890591375	0.0271278879435	0.0594866222148	0.06	0.000312911026413
7TM_GPCR_Srsx_151	0.031	0.498933030502	0.0580681812373	0.0614800823544	0.08	0.00159468944184
7TM_GPCR_Srsx_152	0.035	0.498801900921	0.0383626485374	0.0553653030176	0.05	0.00126018980518
7TM_GPCR_Srsx_153	0.056	0.498948597691	0.0224538328087	0.0435883973156	0.06	0.00321973627433
7TM_GPCR_Srsx_154	0.036	0.498962589691	0.040877234165	0.0554505190757	0.08	0.00617047771811
7TM_GPCR_Srsx_155	0.038	0.498640121834	0.034052169381	0.0542535925906	0.05	0.000223548471695
