	dna_max	dna_entropy	dna_thresh_25	dna_thresh_50	dna_thresh_75	dna_zthresh_above_0.5	dna_zthresh_above_1	dna_zthresh_above_2	dna_zthresh_above_3	dna_sig_win_num	domain_length	avg_protein_len	avg_phastCons	avg_phyloP	avg_maf	avg_blosum	avg_hindex	avg_positve_cnt	avg_solvent_acc	avg_helix_prob	avg_sheet_prob	avg_turn_prob	max_pfam_C	max_pfam_H	max_pfam_K	max_pfam_R	pfam_prob_max	cnt_pfam_conserved	rna_max	rna_entropy	rna_thresh_25	rna_thresh_50	rna_thresh_75	rna_zthresh_above_0.5	rna_zthresh_above_1	rna_zthresh_above_2	rna_zthresh_above_3	rna_sig_win_num	ion_max	ion_entropy	ion_thresh_25	ion_thresh_50	ion_thresh_75	ion_zthresh_above_0.5	ion_zthresh_above_1	ion_zthresh_above_2	ion_zthresh_above_3	ion_sig_win_num	peptide_max	peptide_entropy	peptide_thresh_25	peptide_thresh_50	peptide_thresh_75	peptide_zthresh_above_0.5	peptide_zthresh_above_1	peptide_zthresh_above_2	peptide_zthresh_above_3	peptide_sig_win_num	sm_max	sm_entropy	sm_thresh_25	sm_thresh_50	sm_thresh_75	sm_zthresh_above_0.5	sm_zthresh_above_1	sm_zthresh_above_2	sm_zthresh_above_3	sm_sig_win_num
2OG-FeII_Oxy_3	0.004199498798698187	0.895272639219979	1.0	0.9791666666666666	0.6875	0.0	0.0	0.0	0.0	82	96.0	498.7534462932899	0.910980154725866	4.854861419441642	1.2704122504058439e-05	-0.3934332160894661	-0.260832656926407	0.9270833333333334	45.9191571969697	0.12556328125000002	0.3819784496753247	0.4931240936147186	0.08729692850275737	0.9052537389947356	0.30028297467169224	0.5547820195237726	0.9052537389947356	9.0	0.001876746420748532	0.972759896725323	1.0	1.0	0.90625	0.0	0.0	0.0	0.0	93	0.008058457635343075	0.9146135118436636	1.0	0.8333333333333334	0.5208333333333334	0.0	0.0	0.0	0.0	26	0.008662519976496695	0.8633805972007847	0.9625	0.6	0.1625	0.0	0.0	0.0	0.0	21.0	0.5365912318229675	0.7481593774190389	0.9722222222222222	0.6666666666666666	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.08333333333333333	0.08333333333333333	2
7TM_GPCR_Srsx	0.000437998358393088	0.927384672480109	0.7315175097276264	0.36186770428015563	0.07003891050583658	0.0	0.0	0.0	0.0	22	257.0	390.401372013918	0.7172689340598788	3.3562691585542566	0.00044641189159456675	-0.3574875744565102	0.8145281176187295	10.124513618677042	44.28816079771236	0.6250209960510532	0.09792829616137294	0.27573156949725575	0.8395073897015064	0.2046569737811671	0.4440802453987785	0.4301161459097215	0.8557388766673972	16.0	0.00021715130424126985	0.9790040192917561	0.1517509727626459	0.01556420233463035	0.0	0.0	0.0	0.0	0.0	0	0.0071918643079698094	0.8622302081585397	0.4782608695652174	0.21739130434782608	0.06956521739130435	0.0	0.0	0.0	0.0	16	0.0040629245340824145	0.8826605933102881	0.7606837606837606	0.2905982905982906	0.021367521367521368	0.0	0.0	0.0	0.0	5.0	0.14715811610221866	0.9973567020471555	1.0	1.0	0.9302325581395349	1.0	0.09302325581395349	0.0	0.0	66
7tm_1	0.0027576065622270107	0.8610960765330171	0.7164179104477612	0.291044776119403	0.06716417910447761	0.0	0.0	0.0	0.0	27	268.0	360.13060020146224	0.4362882676059289	1.5913803530620372	0.0010443833951098828	-0.45373970574225503	0.6706667710209326	39.20522388059702	45.649088943815926	0.5926028290801723	0.09676764724178095	0.3096665101242266	0.8603465549787759	0.09685599414764083	0.31100073607657386	0.9030476124405172	0.9472805294912424	16.0	0.0003663998504634946	0.9913564017119371	1.0	0.5447761194029851	0.011194029850746268	0.0	0.0	0.0	0.0	3	0.026634138077497482	0.7194311304501322	0.359504132231405	0.15702479338842976	0.06611570247933884	0.0	0.0	0.0	0.0	20	0.0502617210149765	0.9558708539523766	1.0	1.0	1.0	0.14285714285714285	0.037037037037037035	0.010582010582010581	0.0	181.0	0.03242810070514679	0.9692182701800343	0.6811594202898551	0.028985507246376812	0.0	0.0	0.0	0.0	0.0	0
7tm_2	0.00016482324281241742	0.9086454271254565	0.09387755102040816	0.012244897959183673	0.0	0.0	0.0	0.0	0.0	0	245.0	1095.489108843936	0.7753202815662121	3.4857680305030065	0.0002859267575541178	-0.29783080798102046	0.8561531973265949	3.204081632653061	43.42313636855235	0.6480319660495817	0.09120416126308166	0.2599278706977126	0.8171602981512456	0.4207821658466046	0.3256409125345525	0.3727117299841887	0.8488099239580039	17.0	5.904868521611206e-05	0.9829852437216539	0.004081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0	0.08601664751768112	0.8027202389035403	0.9918367346938776	0.7346938775510204	0.30612244897959184	0.004081632653061225	0.004081632653061225	0.0	0.0	107	0.005205176305025816	0.8225674003310611	0.46938775510204084	0.13877551020408163	0.02040816326530612	0.0	0.0	0.0	0.0	4.0	0.41703611612319946	0.9524079929247655	1.0	0.4297872340425532	0.01276595744680851	0.01276595744680851	0.00425531914893617	0.00425531914893617	0.00425531914893617	0
7tm_3	0.0001307721686316654	0.9154288876939272	0.14705882352941177	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0	238.0	926.2914417840498	0.8155975747884603	4.033113465254181	6.12973213737728e-05	-0.28685303841816445	0.7785209937244435	1.6470588235294117	45.97662628129402	0.595769530507578	0.11069071323904363	0.2931616979088286	0.7479942411758981	0.1536005311909701	0.5677239397356092	0.4074650976125277	0.7479942411758981	6.0	0.00016288264305330813	0.9435756172967353	0.058823529411764705	0.012605042016806723	0.0	0.0	0.0	0.0	0.0	0	0.05689795687794685	0.8422228141473438	0.9915966386554622	0.8571428571428571	0.4789915966386555	0.008403361344537815	0.004201680672268907	0.0	0.0	157	0.00030830633477307856	0.9025865407557113	0.18907563025210083	0.004201680672268907	0.0	0.0	0.0	0.0	0.0	0.0	0.15443055331707	0.9666531533563064	1.0	0.5844748858447488	0.0228310502283105	0.0228310502283105	0.0182648401826484	0.0	0.0	4
7tm_4	0.01371273212134838	0.845550967880667	1.0	0.9607142857142857	0.575	0.0	0.0	0.0	0.0	206	280.0	317.5121011655807	0.2079187874005392	0.3188848587899682	0.0017055403728611787	-0.4584644099382458	0.7996317926770574	25.510714285714286	42.447707156916955	0.601717497232481	0.10090885112563634	0.2965447914127308	0.4725508116247306	0.3912963804000871	0.4054612382532503	0.4365553969810992	0.5579254096491179	7.0	0.001912373467348516	0.98074326187553	1.0	0.875	0.1	0.0	0.0	0.0	0.0	25	0.028077105060219758	0.718649231548302	0.48928571428571427	0.2857142857142857	0.10714285714285714	0.0035714285714285713	0.0	0.0	0.0	35	0.12253375351428986	0.9386924772540796	1.0	1.0	1.0	0.5071428571428571	0.225	0.07142857142857142	0.03571428571428571	280.0	0.07866539806127547	0.9591834114196467	0.6900826446280992	0.15702479338842976	0.004132231404958678	0.004132231404958678	0.0	0.0	0.0	0
A2M_N_2	0.00023735110880807042	0.941995124502428	0.697841726618705	0.2589928057553957	0.014388489208633094	0.0	0.0	0.0	0.0	0	139.0	1623.50196699783	0.5771195741195743	1.6218725088725088	0.0006176561725533857	-0.25328879753340183	0.08470652049788735	0.762589928057554	50.19074825853603	0.03799789882379811	0.5636478160328879	0.39892758364736786	0.13960755098028887	0.08006231580243442	0.27390334234351216	0.20029580101697925	0.8228017453279549	5.0	0.00032708403887227183	0.969616346034684	0.8273381294964028	0.16546762589928057	0.02158273381294964	0.0	0.0	0.0	0.0	4	0.02145591378211975	0.8538093666177311	0.9136690647482014	0.5107913669064749	0.12949640287769784	0.0	0.0	0.0	0.0	26	0.002428019186481833	0.9006957277410869	0.6906474820143885	0.1510791366906475	0.007194244604316547	0.0	0.0	0.0	0.0	0.0	0.11507044732570648	0.9844786863399848	1.0	0.33093525179856115	0.007194244604316547	0.007194244604316547	0.007194244604316547	0.0	0.0	0
AAA_12	0.00034634539042599505	0.9378696947117531	0.73	0.375	0.04	0.0	0.0	0.0	0.0	11	200.0	1718.6056596320343	0.8289713826836033	3.9011756460797202	6.252665852326839e-05	-0.09494642857142857	-0.14564918831168838	1.445	50.78437077922078	0.3543215746753247	0.2192062483766234	0.4269389063852815	0.12206031148113552	0.18542032574675416	0.3132605520684901	0.8010835742225896	0.8843697805672811	20.0	0.004014146514236927	0.868178547616897	0.884393063583815	0.41040462427745666	0.17341040462427745	0.0	0.0	0.0	0.0	33	0.11248668283224106	0.7687192462098508	0.9487179487179487	0.764102564102564	0.47692307692307695	0.005128205128205128	0.005128205128205128	0.005128205128205128	0.0	129	0.0012383513385429974	0.8318933616273523	0.27	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.4683467745780945	0.8745398128876255	1.0	0.6989247311827957	0.13978494623655913	0.13978494623655913	0.11827956989247312	0.08602150537634409	0.06451612903225806	33
AAA_17	0.0009587397798895836	0.9054492097538409	0.8382352941176471	0.47794117647058826	0.11764705882352941	0.0	0.0	0.0	0.0	14	136.0	481.8758032000678	0.8420896159317213	3.671216216216216	0.0003968531358522197	-0.21891339869281046	-0.41211564171122994	1.338235294117647	54.45475108225109	0.4967618432221373	0.11330561709532298	0.39132202195272053	0.20721466377212	0.2914986221386049	0.7810001008602608	0.4384453957540821	0.9092092620709848	6.0	0.0015494190156459804	0.9533567809556619	1.0	0.9558823529411765	0.49264705882352944	0.0	0.0	0.0	0.0	92	0.002233387902379036	0.9335815550911142	0.5887850467289719	0.21495327102803738	0.056074766355140186	0.0	0.0	0.0	0.0	1	0.011346432380378245	0.9662549425800199	1.0	1.0	0.7426470588235294	0.0	0.0	0.0	0.0	126.0	0.3489076197147369	0.6155852778274428	0.19387755102040816	0.08163265306122448	0.04081632653061224	0.05102040816326531	0.030612244897959183	0.02040816326530612	0.02040816326530612	0
AAA_18	0.0044498350471258155	0.765476804326792	0.7769230769230769	0.4153846153846154	0.16153846153846155	0.0	0.0	0.0	0.0	21	130.0	478.41928432678435	0.8660014367816091	3.822424090038314	0.00010046576144466647	-0.27470529470529464	-0.3864109501609502	1.3615384615384616	53.5186623931624	0.4835116025641025	0.13401483516483517	0.38364231823731826	0.1954520887351141	0.16561159853848875	0.8256948538892998	0.9121689991402684	0.9858116174364194	9.0	0.004215049557387829	0.8980080896480588	0.9769230769230769	0.7461538461538462	0.4846153846153846	0.0	0.0	0.0	0.0	79	0.016731668263673782	0.8803637634852899	0.9903846153846154	0.8653846153846154	0.5865384615384616	0.0	0.0	0.0	0.0	78	0.002606878522783518	0.7943482555182821	0.4	0.12307692307692308	0.015384615384615385	0.0	0.0	0.0	0.0	3.0	0.8390041589736938	0.8364943469645364	1.0	0.9726027397260274	0.2876712328767123	0.3013698630136986	0.2054794520547945	0.1643835616438356	0.136986301369863	24
