	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	Cpn60_TCP1	444	1.0	33.15384615384615	0.02927927927927928	1	0.9
1	UCH	251	0.0	0.0	0.01195219123505976	1	0.9
2	Aminotran_1_2	157	1.0	21.428571428571427	0.044585987261146494	1	0.9
3	Lig_chan-Glu_bd	53	1.0	12.250000000000002	0.07547169811320754	2	0.9
4	AA_permease_2	417	0.0	0.0	0.007194244604316547	1	0.9
5	NDK	125	0.4	3.1714285714285717	0.112	5	0.9
6	Cyt-b5	55	1.0	3.230769230769231	0.23636363636363636	2	0.9
7	Y_phosphatase	134	1.0	10.166666666666666	0.08955223880597014	1	0.9
8	Oxysterol_BP	321	1.0	106.0	0.009345794392523364	1	0.9
9	Actin	336	0.0	0.0	0.008928571428571428	1	0.9
10	OTU	126	1.0	41.0	0.023809523809523808	1	0.9
11	Metallophos	153	1.0	24.500000000000004	0.0392156862745098	5	0.9
12	Glyco_transf_29	248	1.0	21.545454545454543	0.04435483870967742	2	0.9
13	Abhydrolase_1	94	1.0	46.0	0.02127659574468085	2	0.9
14	Rhodanese	87	0.0	0.0	0.011494252873563218	1	0.9
15	PARP	94	1.0	22.5	0.0425531914893617	1	0.9
16	Cation_ATPase	83	1.0	12.833333333333334	0.07228915662650602	1	0.9
17	F420_oxidored	40	1.0	2.6363636363636367	0.275	2	0.9
18	Methyltransf_12	14	1.0	1.0	0.5	2	0.9
19	Gal-bind_lectin	83	1.0	7.300000000000001	0.12048192771084337	1	0.9
20	Peptidase_M10	110	0.75	8.416666666666668	0.08181818181818182	4	0.9
21	Peptidase_M14	236	0.5	8.576923076923077	0.05508474576271186	4	0.9
22	7tm_4	242	0.0	0.0	0.004132231404958678	30	0.9
23	IRK	314	0.0	0.0	0.022292993630573247	5	0.9
24	FGF	96	0.0	0.0	0.020833333333333332	2	0.9
25	HSP70	583	0.5	18.933333333333334	0.025728987993138937	8	0.9
26	DAGK_cat	121	0.6666666666666666	12.777777777777779	0.049586776859504134	6	0.9
27	Cadherin	71	0.0	0.0	0.028169014084507043	1	0.9
28	C2	83	0.0	0.0	0.060240963855421686	1	0.9
29	Pro_isomerase	127	0.1111111111111111	1.45679012345679	0.07086614173228346	9	0.9
30	NAD_binding_8	22	1.0	1.2	0.45454545454545453	1	0.9
31	2OG-FeII_Oxy_3	36	1.0	6.2	0.1388888888888889	3	0.9
32	ECH_1	144	0.375	10.425	0.034722222222222224	8	0.9
33	Exo_endo_phos	181	0.25	45.0	0.0055248618784530384	4	0.9
34	Biotin_lipoyl	65	0.0	0.0	0.03076923076923077	2	0.9
35	Ank_5	38	0.0	0.0	0.02631578947368421	1	0.9
36	DSPc	109	1.0	17.166666666666668	0.05504587155963303	1	0.9
37	BNR_2	177	1.0	34.4	0.02824858757062147	1	0.9
38	Abhydrolase_6	85	0.75	20.5	0.03529411764705882	4	0.9
39	Cpn60_TCP1	444	1.0	33.15384615384615	0.02927927927927928	1	0.8
40	UCH	251	0.0	0.0	0.01195219123505976	1	0.8
41	Aminotran_1_2	157	1.0	21.428571428571427	0.044585987261146494	1	0.8
42	Lig_chan-Glu_bd	53	1.0	12.250000000000002	0.07547169811320754	2	0.8
43	AA_permease_2	417	0.0	0.0	0.007194244604316547	1	0.8
44	PAS_9	45	0.0	0.0	0.35555555555555557	1	0.8
45	Acyl-CoA_dh_M	54	0.0	0.0	0.14814814814814814	1	0.8
46	NDK	125	0.4	3.1714285714285717	0.112	5	0.8
47	Cyt-b5	55	1.0	3.230769230769231	0.23636363636363636	2	0.8
48	Y_phosphatase	134	0.6666666666666666	6.777777777777778	0.08955223880597014	3	0.8
49	TTL	152	0.0	0.0	0.006578947368421052	1	0.8
50	Oxysterol_BP	321	0.5	53.0	0.009345794392523364	2	0.8
51	Actin	336	0.0	0.0	0.008928571428571428	4	0.8
52	OTU	126	1.0	41.0	0.023809523809523808	1	0.8
53	Metallophos	153	0.8571428571428571	21.0	0.0392156862745098	7	0.8
54	Glyco_transf_29	248	0.75	16.15909090909091	0.04435483870967742	4	0.8
55	Abhydrolase_1	94	0.5	23.0	0.02127659574468085	4	0.8
56	Rhodanese	87	0.0	0.0	0.011494252873563218	1	0.8
57	START	191	0.0	0.0	0.07853403141361257	1	0.8
58	SET	65	1.0	15.25	0.06153846153846154	2	0.8
59	PARP	94	1.0	22.5	0.0425531914893617	1	0.8
60	Cation_ATPase	83	1.0	12.833333333333334	0.07228915662650602	1	0.8
61	F420_oxidored	40	1.0	2.6363636363636367	0.275	2	0.8
62	Globin	37	1.0	1.6428571428571428	0.3783783783783784	1	0.8
63	Methyltransf_12	14	1.0	1.0	0.5	2	0.8
64	UDPGT	437	0.0	0.0	0.002288329519450801	2	0.8
65	Gal-bind_lectin	83	0.5	3.6500000000000004	0.12048192771084337	2	0.8
66	Peptidase_M10	110	0.75	8.416666666666668	0.08181818181818182	4	0.8
67	Peptidase_M14	236	0.5	8.576923076923077	0.05508474576271186	4	0.8
68	7tm_4	242	0.0	0.0	0.004132231404958678	32	0.8
69	IRK	314	0.0	0.0	0.022292993630573247	6	0.8
70	FGF	96	0.0	0.0	0.020833333333333332	2	0.8
71	HSP70	583	0.5	18.933333333333334	0.025728987993138937	8	0.8
72	DAGK_cat	121	0.6666666666666666	12.777777777777779	0.049586776859504134	6	0.8
73	Cadherin	71	0.0	0.0	0.028169014084507043	1	0.8
74	C2	83	0.0	0.0	0.060240963855421686	1	0.8
75	Pro_isomerase	127	0.1111111111111111	1.45679012345679	0.07086614173228346	9	0.8
76	NAD_binding_8	22	1.0	1.2	0.45454545454545453	1	0.8
77	2OG-FeII_Oxy_3	36	1.0	6.2	0.1388888888888889	3	0.8
78	ECH_1	144	0.3333333333333333	9.266666666666666	0.034722222222222224	9	0.8
79	Exo_endo_phos	181	0.2	36.0	0.0055248618784530384	5	0.8
