	RF	ADA	SVM	Logistic	KNN	XGB
2OG-FeII_Oxy_3_1	0.02	0.495559929426	0.0211202144188	0.00739764096717	0.01	1.28302772282e-05
2OG-FeII_Oxy_3_10	0.007	0.496039877442	0.00687085521955	0.0106898386814	0.0	1.62423657457e-06
2OG-FeII_Oxy_3_11	0.003	0.49534933358	0.0289713761078	0.0106161570877	0.01	2.45458818426e-06
2OG-FeII_Oxy_3_12	0.015	0.496416984086	0.0127855289532	0.00534886457841	0.0	3.62144078281e-06
2OG-FeII_Oxy_3_13	0.01	0.49719704113	0.0188644530124	0.00640995826715	0.01	8.89318034751e-05
2OG-FeII_Oxy_3_14	0.01	0.496286202056	0.0204689100436	0.00853034470679	0.03	0.000326908222632
2OG-FeII_Oxy_3_15	0.013	0.495803356779	0.020675367229	0.00620337387334	0.03	0.000108195854409
2OG-FeII_Oxy_3_16	0.002	0.494349836677	0.00796449006761	0.0058911877241	0.01	6.70702718253e-07
2OG-FeII_Oxy_3_17	0.044	0.496740098776	0.0514180511623	0.00992528886821	0.01	6.6878128564e-05
2OG-FeII_Oxy_3_18	0.001	0.495930772991	0.0157876852801	0.00846862253233	0.0	2.11729593502e-06
2OG-FeII_Oxy_3_19	0.026	0.494430326845	0.0124867313417	0.0227215908556	0.04	6.39264089841e-06
2OG-FeII_Oxy_3_2	0.018	0.496749281649	0.0615822735484	0.00623078599168	0.02	1.80297301995e-05
2OG-FeII_Oxy_3_20	0.043	0.496692663898	0.0364268141443	0.00642063834811	0.0	3.34599135385e-05
2OG-FeII_Oxy_3_21	0.023	0.498666007285	0.0154060467694	0.00910911148492	0.0	4.18095878558e-05
2OG-FeII_Oxy_3_22	0.012	0.497570432561	0.00889999022261	0.00638503392463	0.01	5.28563396074e-06
2OG-FeII_Oxy_3_23	0.019	0.496346319713	0.0174252382798	0.027967555008	0.02	1.31118686113e-05
2OG-FeII_Oxy_3_24	0.001	0.49440698743	0.00851881588094	0.016698991947	0.01	2.28166285865e-07
2OG-FeII_Oxy_3_25	0.008	0.495658294313	0.0266046278289	0.0284527364867	0.03	1.24247480926e-05
2OG-FeII_Oxy_3_26	0.003	0.495055291105	0.0132647353066	0.0427026357208	0.0	2.5331831921e-07
2OG-FeII_Oxy_3_27	0.0	0.496597965578	0.00926505476441	0.0119562610062	0.0	7.08694369678e-06
2OG-FeII_Oxy_3_28	0.012	0.497430240645	0.00485291126202	0.00318604409428	0.01	3.18932106893e-05
2OG-FeII_Oxy_3_29	0.022	0.495251833792	0.00457335856345	0.00893975770161	0.0	6.32276987744e-06
2OG-FeII_Oxy_3_3	0.026	0.496253436069	0.0271376209511	0.00610523125304	0.02	4.04750935559e-05
2OG-FeII_Oxy_3_30	0.006	0.495398498406	0.0138589961098	0.00998397895981	0.0	2.48306241701e-06
2OG-FeII_Oxy_3_31	0.014	0.497680875654	0.0162451963782	0.013023439297	0.02	5.71163072891e-05
2OG-FeII_Oxy_3_32	0.021	0.495556458807	0.0101760097828	0.00520123387094	0.0	2.79278319795e-05
2OG-FeII_Oxy_3_33	0.003	0.49567076137	0.0134364503036	0.00850210791236	0.0	7.34725063012e-07
2OG-FeII_Oxy_3_34	0.005	0.495098065099	0.00566344606521	0.00436738196596	0.01	1.96058635993e-07
2OG-FeII_Oxy_3_35	0.0	0.48877863586	0.0156651955561	0.00603727690124	0.0	1.62976994034e-05
2OG-FeII_Oxy_3_36	0.003	0.495425917539	0.0112982093026	0.0077666466718	0.02	3.33222510562e-06
2OG-FeII_Oxy_3_37	0.002	0.495105938393	0.00482028212904	0.0134811658789	0.02	7.80198320172e-07
2OG-FeII_Oxy_3_38	0.014	0.498343122576	0.0244422024667	0.00901892949966	0.02	4.18849704147e-05
2OG-FeII_Oxy_3_39	0.047	0.488620294054	0.00591750786479	0.00387788770662	0.01	3.16463192576e-05
2OG-FeII_Oxy_3_4	0.012	0.497258274122	0.0189961313974	0.00994475600176	0.0	1.51030562847e-05
2OG-FeII_Oxy_3_40	0.008	0.495396919801	0.00604889595373	0.0130104614419	0.0	3.62416994903e-06
2OG-FeII_Oxy_3_41	0.013	0.496198566237	0.0187161271244	0.012067920375	0.03	6.73013300911e-06
2OG-FeII_Oxy_3_42	0.014	0.497107478254	0.00828827620337	0.00787647473281	0.01	3.35479694513e-06
2OG-FeII_Oxy_3_43	0.001	0.495556101442	0.0099955552596	0.0105636442951	0.02	2.36303003476e-06
2OG-FeII_Oxy_3_44	0.002	0.48869228196	0.00606492295677	0.0453792842957	0.0	7.71614168116e-07
2OG-FeII_Oxy_3_45	0.005	0.488309936953	0.0120056667696	0.0410903435559	0.0	3.76707021132e-06
2OG-FeII_Oxy_3_46	0.008	0.497615900568	0.00812993575518	0.00683352553702	0.0	1.45739268191e-05
2OG-FeII_Oxy_3_47	0.002	0.495110945946	0.0306032224222	0.0100991326734	0.0	1.46534466694e-05
2OG-FeII_Oxy_3_48	0.006	0.495018416391	0.0160859838489	0.00663996729399	0.0	2.13823500417e-06
2OG-FeII_Oxy_3_49	0.0	0.495567437998	0.00931489742748	0.00670360111417	0.0	1.00107411072e-06
2OG-FeII_Oxy_3_5	0.031	0.496698584535	0.0323067118785	0.00690241268246	0.03	0.000169193794136
2OG-FeII_Oxy_3_50	0.006	0.496134400042	0.00906046070302	0.00579472357592	0.01	1.90681221284e-05
2OG-FeII_Oxy_3_51	0.007	0.494568810536	0.0108709860763	0.0193796007676	0.01	5.19774836505e-08
2OG-FeII_Oxy_3_52	0.023	0.49572766164	0.0139243583582	0.011614669341	0.01	3.365570592e-06
2OG-FeII_Oxy_3_53	0.028	0.496714532621	0.0365095099915	0.0214022732663	0.02	3.60627996088e-06
2OG-FeII_Oxy_3_54	0.019	0.497428750986	0.0287495905875	0.0121945171194	0.02	1.34640213219e-05
2OG-FeII_Oxy_3_55	0.003	0.493566850399	0.00568835601987	0.00610607635069	0.01	8.63472564561e-08
2OG-FeII_Oxy_3_56	0.003	0.494320608625	0.0176046835837	0.0105619680828	0.03	1.07599896637e-06
2OG-FeII_Oxy_3_57	0.003	0.494264685364	0.00813656891635	0.0119710714937	0.0	1.54116730755e-06
2OG-FeII_Oxy_3_58	0.003	0.495421301886	0.00567040588256	0.0139146319089	0.0	1.03554611997e-06
2OG-FeII_Oxy_3_59	0.002	0.487180895747	0.00841372717528	0.00656437837915	0.0	1.48103674746e-06
2OG-FeII_Oxy_3_6	0.004	0.495112058137	0.0246304971679	0.00797703296342	0.01	4.75979823022e-06
2OG-FeII_Oxy_3_60	0.004	0.494235737051	0.00807236626863	0.00913461963351	0.01	1.9314663291e-07
2OG-FeII_Oxy_3_61	0.002	0.485351441737	0.00895122766688	0.0170605910729	0.0	9.60103534453e-08
