	rna_max	rna_entropy	rna_thresh_25	rna_thresh_50	rna_thresh_75	rna_zthresh_above_0.5	rna_zthresh_above_1	rna_zthresh_above_2	rna_zthresh_above_3	rna_sig_win_num	domain_length	avg_protein_len	avg_phastCons	avg_phyloP	avg_maf	avg_blosum	avg_hindex	avg_positve_cnt	avg_solvent_acc	avg_helix_prob	avg_sheet_prob	avg_turn_prob	max_pfam_C	max_pfam_H	max_pfam_K	max_pfam_R	pfam_prob_max	cnt_pfam_conserved	dna_max	dna_entropy	dna_thresh_25	dna_thresh_50	dna_thresh_75	dna_zthresh_above_0.5	dna_zthresh_above_1	dna_zthresh_above_2	dna_zthresh_above_3	dna_sig_win_num	ion_max	ion_entropy	ion_thresh_25	ion_thresh_50	ion_thresh_75	ion_zthresh_above_0.5	ion_zthresh_above_1	ion_zthresh_above_2	ion_zthresh_above_3	ion_sig_win_num	peptide_max	peptide_entropy	peptide_thresh_25	peptide_thresh_50	peptide_thresh_75	peptide_zthresh_above_0.5	peptide_zthresh_above_1	peptide_zthresh_above_2	peptide_zthresh_above_3	peptide_sig_win_num	sm_max	sm_entropy	sm_thresh_25	sm_thresh_50	sm_thresh_75	sm_zthresh_above_0.5	sm_zthresh_above_1	sm_zthresh_above_2	sm_zthresh_above_3	sm_sig_win_num
2OG-FeII_Oxy_3	0.0009899786673486233	0.9163865391476861	0.9479166666666666	0.7604166666666666	0.3645833333333333	0.0	0.0	0.0	0.0	43	96.0	498.7534462932899	0.910980154725866	4.854861419441642	1.2704122504058439e-05	-0.3934332160894661	-0.260832656926407	0.9270833333333334	45.9191571969697	0.12556328125000002	0.3819784496753247	0.4931240936147186	0.08729692850275737	0.9052537389947356	0.30028297467169224	0.5547820195237726	0.9052537389947356	9.0	0.006157615222036839	0.7611260185466172	0.9479166666666666	0.8333333333333334	0.4895833333333333	0.0	0.0	0.0	0.0	63	0.055629812180995934	0.8125627445907493	1.0	0.875	0.625	0.041666666666666664	0.0	0.0	0.0	33	0.005119897425174713	0.8300864431021482	0.8875	0.7125	0.425	0.0	0.0	0.0	0.0	42.0	0.8523515462875366	0.8277197709788591	0.9166666666666666	0.8055555555555556	0.6666666666666666	0.4166666666666667	0.3055555555555556	0.19444444444444445	0.1388888888888889	19
7TM_GPCR_Srsx	0.00011417212954256685	0.9694396140179463	0.16342412451361868	0.05058365758754864	0.0	0.0	0.0	0.0	0.0	0	257.0	390.401372013918	0.7172689340598788	3.3562691585542566	0.00044641189159456675	-0.3574875744565102	0.8145281176187295	10.124513618677042	44.28816079771236	0.6250209960510532	0.09792829616137294	0.27573156949725575	0.8395073897015064	0.2046569737811671	0.4440802453987785	0.4301161459097215	0.8557388766673972	16.0	0.000745022960472852	0.8939344303123331	0.77431906614786	0.4396887159533074	0.14007782101167315	0.0	0.0	0.0	0.0	49	0.2767481803894043	0.646710469418736	0.9173913043478261	0.6	0.2391304347826087	0.013043478260869565	0.008695652173913044	0.008695652173913044	0.004347826086956522	68	0.0024545991327613588	0.861649428420296	0.7393162393162394	0.4230769230769231	0.1111111111111111	0.0	0.0	0.0	0.0	26.0	0.08083401620388031	0.9782228588797993	0.5465116279069767	0.23255813953488372	0.046511627906976744	0.011627906976744186	0.0	0.0	0.0	0
7tm_1	8.439290104433894e-05	0.9875209938292238	0.47388059701492535	0.04477611940298507	0.0	0.0	0.0	0.0	0.0	0	268.0	360.13060020146224	0.4362882676059289	1.5913803530620372	0.0010443833951098828	-0.45373970574225503	0.6706667710209326	39.20522388059702	45.649088943815926	0.5926028290801723	0.09676764724178095	0.3096665101242266	0.8603465549787759	0.09685599414764083	0.31100073607657386	0.9030476124405172	0.9472805294912424	16.0	0.00023289323144126683	0.9484329501630319	0.5186567164179104	0.15298507462686567	0.011194029850746268	0.0	0.0	0.0	0.0	0	0.13579930365085602	0.6170338069308828	0.4793388429752066	0.2231404958677686	0.1115702479338843	0.012396694214876033	0.012396694214876033	0.008264462809917356	0.0	30	0.027613962069153786	0.8569548801070868	1.0	0.9947089947089947	0.8359788359788359	0.010582010582010581	0.010582010582010581	0.0	0.0	164.0	0.07632790505886078	0.9942279255737945	1.0	1.0	0.7246376811594203	0.0	0.0	0.0	0.0	42
7tm_2	5.904868521611206e-05	0.9829852437216552	0.02040816326530612	0.004081632653061225	0.0	0.0	0.0	0.0	0.0	0	245.0	1095.489108843936	0.7753202815662121	3.4857680305030065	0.0002859267575541178	-0.29783080798102046	0.8561531973265949	3.204081632653061	43.42313636855235	0.6480319660495817	0.09120416126308166	0.2599278706977126	0.8171602981512456	0.4207821658466046	0.3256409125345525	0.3727117299841887	0.8488099239580039	17.0	0.00016482324281241742	0.9086454271254565	0.17551020408163265	0.044897959183673466	0.004081632653061225	0.0	0.0	0.0	0.0	0	0.08601664751768112	0.8027202389035397	0.6571428571428571	0.30612244897959184	0.11428571428571428	0.004081632653061225	0.004081632653061225	0.0	0.0	28	0.005205176305025816	0.8225674003310606	0.6244897959183674	0.3551020408163265	0.10204081632653061	0.0	0.0	0.0	0.0	31.0	0.41703611612319946	0.9524079929247657	0.4595744680851064	0.20425531914893616	0.059574468085106386	0.01276595744680851	0.00425531914893617	0.00425531914893617	0.00425531914893617	15
7tm_3	0.00016288264305330813	0.9435756172967352	0.17647058823529413	0.05042016806722689	0.012605042016806723	0.0	0.0	0.0	0.0	5	238.0	926.2914417840498	0.8155975747884603	4.033113465254181	6.12973213737728e-05	-0.28685303841816445	0.7785209937244435	1.6470588235294117	45.97662628129402	0.595769530507578	0.11069071323904363	0.2931616979088286	0.7479942411758981	0.1536005311909701	0.5677239397356092	0.4074650976125277	0.7479942411758981	6.0	0.0001307721686316654	0.9154288876939262	0.2647058823529412	0.06722689075630252	0.012605042016806723	0.0	0.0	0.0	0.0	5	0.05689795687794685	0.8422228141473448	0.7899159663865546	0.4789915966386555	0.12605042016806722	0.008403361344537815	0.0	0.0	0.0	34	0.00030830633477307856	0.9025865407557125	0.3067226890756303	0.10084033613445378	0.0	0.0	0.0	0.0	0.0	0.0	0.15443055331707	0.9666531533563065	0.6027397260273972	0.2831050228310502	0.0730593607305936	0.0228310502283105	0.0182648401826484	0.0	0.0	17
7tm_4	0.00026786408852785826	0.9820481509565204	0.7464285714285714	0.1357142857142857	0.007142857142857143	0.0	0.0	0.0	0.0	3	280.0	317.5121011655807	0.2079187874005392	0.3188848587899682	0.0017055403728611787	-0.4584644099382458	0.7996317926770574	25.510714285714286	42.447707156916955	0.601717497232481	0.10090885112563634	0.2965447914127308	0.4725508116247306	0.3912963804000871	0.4054612382532503	0.4365553969810992	0.5579254096491179	7.0	0.00022184492263477296	0.9483444063111145	0.6214285714285714	0.17142857142857143	0.010714285714285714	0.0	0.0	0.0	0.0	2	0.1188339740037918	0.7209501511434743	0.475	0.26071428571428573	0.14285714285714285	0.007142857142857143	0.007142857142857143	0.0035714285714285713	0.0	51	0.1243627518415451	0.8913555606951734	1.0	1.0	1.0	0.40714285714285714	0.26071428571428573	0.14285714285714285	0.06785714285714285	280.0	0.10954288393259047	0.9943507266818751	1.0	1.0	0.6611570247933884	0.04132231404958678	0.0	0.0	0.0	193
A2M_N_2	0.00032708403887227183	0.9696163460346838	1.0	0.7769784172661871	0.16546762589928057	0.0	0.0	0.0	0.0	37	139.0	1623.50196699783	0.5771195741195743	1.6218725088725088	0.0006176561725533857	-0.25328879753340183	0.08470652049788735	0.762589928057554	50.19074825853603	0.03799789882379811	0.5636478160328879	0.39892758364736786	0.13960755098028887	0.08006231580243442	0.27390334234351216	0.20029580101697925	0.8228017453279549	5.0	0.00023735110880807042	0.941995124502428	0.8848920863309353	0.5179856115107914	0.11510791366906475	0.0	0.0	0.0	0.0	19	0.02145591378211975	0.8538093666177317	0.41007194244604317	0.12949640287769784	0.02877697841726619	0.0	0.0	0.0	0.0	1	0.002428019186481833	0.9006957277410866	0.8848920863309353	0.4892086330935252	0.1223021582733813	0.0	0.0	0.0	0.0	19.0	0.11507044732570648	0.9844786863399846	0.35251798561151076	0.050359712230215826	0.02158273381294964	0.007194244604316547	0.007194244604316547	0.0	0.0	4
AAA_12	0.004014146514236927	0.8681785476168963	0.9884393063583815	0.8670520231213873	0.4046242774566474	0.0	0.0	0.0	0.0	85	200.0	1718.6056596320343	0.8289713826836033	3.9011756460797202	6.252665852326839e-05	-0.09494642857142857	-0.14564918831168838	1.445	50.78437077922078	0.3543215746753247	0.2192062483766234	0.4269389063852815	0.12206031148113552	0.18542032574675416	0.3132605520684901	0.8010835742225896	0.8843697805672811	20.0	0.00034634539042599505	0.9378696947117527	0.885	0.58	0.135	0.0	0.0	0.0	0.0	31	0.11248668283224106	0.7687192462098508	0.7128205128205128	0.47692307692307695	0.19487179487179487	0.005128205128205128	0.005128205128205128	0.005128205128205128	0.0	49	0.0012383513385429974	0.8318933616273521	0.355	0.195	0.04	0.0	0.0	0.0	0.0	12.0	0.4683467745780945	0.8745398128876261	0.7258064516129032	0.41935483870967744	0.23118279569892472	0.12365591397849462	0.11290322580645161	0.06451612903225806	0.053763440860215055	59
AAA_17	0.013946237973868849	0.793160647967482	1.0	0.9558823529411765	0.6470588235294118	0.007352941176470588	0.007352941176470588	0.0	0.0	102	136.0	481.8758032000678	0.8420896159317213	3.671216216216216	0.0003968531358522197	-0.21891339869281046	-0.41211564171122994	1.338235294117647	54.45475108225109	0.4967618432221373	0.11330561709532298	0.39132202195272053	0.20721466377212	0.2914986221386049	0.7810001008602608	0.4384453957540821	0.9092092620709848	6.0	0.0005195192061364652	0.8908262604309389	0.8382352941176471	0.49264705882352944	0.18382352941176472	0.0	0.0	0.0	0.0	31	0.021840205416083336	0.8777212841692758	0.8037383177570093	0.48598130841121495	0.2523364485981308	0.0	0.0	0.0	0.0	32	0.0007584875565953553	0.9048548651124898	0.6470588235294118	0.2426470588235294	0.0661764705882353	0.0	0.0	0.0	0.0	5.0	0.4788031280040741	0.9038873922326726	0.9489795918367347	0.6632653061224489	0.3163265306122449	0.15306122448979592	0.11224489795918367	0.061224489795918366	0.02040816326530612	30
AAA_18	0.004215049557387829	0.8980080896480593	1.0	0.9769230769230769	0.7461538461538462	0.0	0.0	0.0	0.0	123	130.0	478.41928432678435	0.8660014367816091	3.822424090038314	0.00010046576144466647	-0.27470529470529464	-0.3864109501609502	1.3615384615384616	53.5186623931624	0.4835116025641025	0.13401483516483517	0.38364231823731826	0.1954520887351141	0.16561159853848875	0.8256948538892998	0.9121689991402684	0.9858116174364194	9.0	0.0044498350471258155	0.7654768043267914	0.8692307692307693	0.6615384615384615	0.3	0.0	0.0	0.0	0.0	49	0.016731668263673782	0.8803637634852903	0.8269230769230769	0.5865384615384616	0.2692307692307692	0.0	0.0	0.0	0.0	25	0.002606878522783518	0.7943482555182823	0.5461538461538461	0.26153846153846155	0.08461538461538462	0.0	0.0	0.0	0.0	14.0	0.8390041589736938	0.8364943469645367	0.9726027397260274	0.8082191780821918	0.4931506849315068	0.273972602739726	0.1917808219178082	0.1506849315068493	0.1232876712328767	41
