	length	avg_maf_all	avg_maf_altered	alter_num_aa	alter_num_aa_norm	alter_num_dna	alter_num_dna_norm	frac_alter	avg_poly	frac_poly_several	rare_poly_0.5%	rare_poly_0.05%	rare_poly_0.005%	BLOSUM_avg	weighted_BLOSUM_avg	pseudo_dNdS	SIFT	PolyPhen	num_genes	num_instances	num_genes_log2	num_instances_log2
2OG-FeII_Oxy_3	96	1.28257588295e-05	4.96497148437e-05	256	2.66666666667	346	3.60416666667	0.258324924319	1.15625	0.12890625	1.0	0.9921875	0.89453125	-0.405405405405	-1.40519256757e-06	0.00896348278501	0.105310344828	0.713117241379	11	11	3.45943161864	3.45943161864
7TM_GPCR_Srsx	257	0.000502154365854	0.00184577185946	8887	34.579766537	12621	49.1089494163	0.272056572583	1.21120738157	0.186114549342	0.982896365478	0.952402385507	0.807809159446	-0.38972500929	-0.000740152188592	0.125874287752	0.168440926862	0.575105273195	145	145	7.17990909001	7.17990909001
7tm_1	268	0.00119104558728	0.00400797293639	47227	176.220149254	67859	253.205223881	0.297169069298	1.23243060114	0.201558430559	0.971181739259	0.929637707244	0.77131725496	-0.468369871486	-0.00138310351465	0.265079394918	0.174576349187	0.507970960179	768	768	9.58496250072	9.58496250072
7tm_2	245	0.000394572426749	0.00148094967966	3028	12.3591836735	4333	17.6857142857	0.266432028157	1.20937912814	0.183949801849	0.984478203435	0.948150594452	0.772787318362	-0.326597487712	0.000447765565948	0.103955786442	0.174212885154	0.630442296919	49	49	5.61470984412	5.61470984412
7tm_3	234	9.00561252778e-05	0.000356835679744	1249	5.33760683761	1801	7.69658119658	0.252374217014	1.21697357886	0.191353082466	0.989591673339	0.964771817454	0.814251401121	-0.349342105263	-8.52530230263e-05	0.0319351354765	0.173765971755	0.624500336247	29	29	4.85798099513	4.85798099513
7tm_4	280	0.00183808273897	0.00581331349736	33656	120.2	48190	172.107142857	0.316185036263	1.24485975755	0.210720228191	0.959026622296	0.910625148562	0.753981459472	-0.480201446404	-0.00221526964312	0.355973310532	0.164513224259	0.465343917302	478	478	8.90086680798	8.90086680798
A2M	92	0.00160857712285	0.00844762437419	155	1.6847826087	216	2.34782608696	0.190417690418	1.21290322581	0.174193548387	0.974193548387	0.916129032258	0.748387096774	-0.478723404255	0.0021335733617	0.147480328912	0.175055555556	0.558277777778	16	16	4.0	4.0
A2M_N	96	0.000183641665476	0.000752482921951	205	2.13541666667	286	2.97916666667	0.244047619048	1.20487804878	0.175609756098	0.985365853659	0.946341463415	0.843902439024	-0.522267206478	0.00146714566397	0.0704954848506	0.174449339207	0.49468722467	16	16	4.0	4.0
A2M_N_2	139	0.000605258214638	0.00287497651953	256	1.84172661871	352	2.53237410072	0.210526315789	1.1484375	0.13671875	0.98828125	0.9609375	0.80859375	-0.367346938776	0.00190344454762	0.204675892138	0.204555160142	0.497822064057	16	16	4.0	4.0
A2M_comp	249	0.000572333845977	0.00245527833333	507	2.03614457831	720	2.89156626506	0.233103448276	1.21893491124	0.177514792899	0.984220907298	0.948717948718	0.786982248521	-0.355987055016	-0.00283868117152	0.464845852917	0.199194630872	0.521265100671	16	16	4.0	4.0
A2M_recep	92	0.000424764439601	0.00218644772436	156	1.69565217391	209	2.27173913043	0.194271481943	1.16025641026	0.141025641026	0.980769230769	0.961538461538	0.814102564103	-0.32044198895	-0.00385283728177	0.106237705866	0.160790960452	0.590536723164	16	16	4.0	4.0
AAA	132	0.000200101523163	0.00109195266492	1337	10.1287878788	1579	11.9621212121	0.183251096491	1.17726252805	0.155572176515	0.988780852655	0.966342557966	0.831712789828	-0.262388818297	0.000742663040343	0.087652037705	0.107034845496	0.683572649573	52	59	5.70043971814	5.88264304936
AAA_11	262	0.000387740997609	0.00167442713081	581	2.21755725191	817	3.11832061069	0.2315663611	1.19104991394	0.170395869191	0.987951807229	0.967297762478	0.800344234079	-0.254335260116	0.000225798858382	0.0854699844077	0.155537555228	0.610134020619	11	12	3.45943161864	3.58496250072
AAA_12	200	6.44904699956e-05	0.000295646070281	498	2.49	707	3.535	0.218134034166	1.19076305221	0.170682730924	0.993975903614	0.95983935743	0.809236947791	-0.224283305228	0.000214281005059	0.00847332165937	0.161236933798	0.623893728223	11	12	3.45943161864	3.58496250072
AAA_17	136	0.000555487107397	0.00244832248589	319	2.34558823529	464	3.41176470588	0.226884779516	1.24137931034	0.206896551724	0.978056426332	0.937304075235	0.783699059561	-0.441919191919	0.00299541864141	0.220696433761	0.174649350649	0.482246753247	10	12	3.32192809489	3.58496250072
AAA_18	130	0.000212828078305	0.000841638309659	352	2.70769230769	486	3.73846153846	0.252873563218	1.18181818182	0.167613636364	0.988636363636	0.960227272727	0.818181818182	-0.319711538462	-9.54870793269e-05	0.0399450054119	0.144689826303	0.573307692308	12	12	3.58496250072	3.58496250072
AAA_33	143	0.000221747861583	0.0010260198809	445	3.11188811189	615	4.3006993007	0.2161243322	1.18876404494	0.175280898876	0.991011235955	0.973033707865	0.838202247191	-0.221172022684	-0.00119336762949	0.0115256809576	0.171067961165	0.538440776699	16	16	4.0	4.0
AAA_5	138	0.000294598779085	0.00122571896277	1880	13.6231884058	2670	19.347826087	0.240347737152	1.20904255319	0.187765957447	0.987234042553	0.96329787234	0.808510638298	-0.347998240211	0.000720618857457	0.0886753290224	0.093502722323	0.698128402904	40	61	5.32192809489	5.93073733756
AAA_6	231	0.000155991926703	0.000668797162383	856	3.70562770563	1190	5.15151515152	0.233242506812	1.19392523364	0.169392523364	0.981308411215	0.955607476636	0.796728971963	-0.407045009785	0.000251396765166	0.0377008685295	0.0619436052367	0.778718026183	16	16	4.0	4.0
AAA_7	272	0.000278284262497	0.0010701821875	1056	3.88235294118	1526	5.61029411765	0.260034474267	1.23390151515	0.20928030303	0.982007575758	0.946022727273	0.746212121212	-0.341519570223	0.000661160669225	0.0352584235154	0.160055379747	0.520132120253	15	15	3.90689059561	3.90689059561
