	RF	ADA	SVM	Logistic	KNN	XGB
2OG-FeII_Oxy_3_1	0.005	0.494791327722	0.0141314358948	0.00567346115517	0.01	5.82400571147e-06
2OG-FeII_Oxy_3_10	0.004	0.492942231174	0.00499631308863	0.00712504218957	0.0	4.08385767514e-06
2OG-FeII_Oxy_3_11	0.012	0.493782602482	0.0145335449908	0.00814447994122	0.01	5.60537637284e-06
2OG-FeII_Oxy_3_12	0.006	0.495082789326	0.00983282504562	0.00448305487395	0.0	2.09235295188e-05
2OG-FeII_Oxy_3_13	0.004	0.49670349039	0.0181432792671	0.00509682483618	0.01	5.82044449402e-05
2OG-FeII_Oxy_3_14	0.001	0.494229810326	0.0120328826001	0.00628257674824	0.03	7.60359080232e-06
2OG-FeII_Oxy_3_15	0.015	0.495886087553	0.0308983334139	0.00422685577564	0.02	9.77983727353e-05
2OG-FeII_Oxy_3_16	0.004	0.48459111513	0.00390403540094	0.00767454317969	0.01	2.47749903792e-06
2OG-FeII_Oxy_3_17	0.036	0.497050784629	0.016314317042	0.0122128409795	0.01	2.0320272597e-05
2OG-FeII_Oxy_3_18	0.0	0.496377499657	0.0135111874384	0.00964738325169	0.0	3.53854898094e-06
2OG-FeII_Oxy_3_19	0.021	0.493638084311	0.00574609652303	0.0104841162512	0.03	3.56206692231e-06
2OG-FeII_Oxy_3_2	0.015	0.494769076555	0.101694730708	0.0027830568608	0.02	5.96929749008e-06
2OG-FeII_Oxy_3_20	0.024	0.495626419555	0.0236965970034	0.00743383598999	0.0	1.93674331967e-05
2OG-FeII_Oxy_3_21	0.025	0.497693011589	0.0124014462746	0.00766318595293	0.0	2.26402025874e-05
2OG-FeII_Oxy_3_22	0.008	0.495559499476	0.00485188541084	0.00469790060147	0.0	1.06777360998e-05
2OG-FeII_Oxy_3_23	0.016	0.495484455106	0.0189908528689	0.025433319448	0.02	8.2619535533e-06
2OG-FeII_Oxy_3_24	0.001	0.493271483395	0.00612035023459	0.0109670700209	0.0	7.90165586295e-07
2OG-FeII_Oxy_3_25	0.011	0.496018806954	0.022128293141	0.0166518573581	0.03	7.2381976679e-06
2OG-FeII_Oxy_3_26	0.002	0.493254412364	0.00688913279022	0.025490163483	0.0	6.90534250225e-07
2OG-FeII_Oxy_3_27	0.005	0.495460567365	0.00460223841989	0.00821128935095	0.0	1.60861363838e-05
2OG-FeII_Oxy_3_28	0.004	0.49623804605	0.00198317548044	0.00222227717848	0.0	8.6453228505e-06
2OG-FeII_Oxy_3_29	0.015	0.493607301138	0.0045367405294	0.00508652636373	0.0	1.64837706507e-06
2OG-FeII_Oxy_3_3	0.022	0.495314293765	0.0190201632374	0.00405026723179	0.0	7.46737032387e-06
2OG-FeII_Oxy_3_30	0.005	0.494125113641	0.0070156993851	0.00681707346944	0.0	1.34717920446e-05
2OG-FeII_Oxy_3_31	0.013	0.495579385013	0.0126562521189	0.00714690576918	0.02	1.22797628137e-05
2OG-FeII_Oxy_3_32	0.023	0.495186856934	0.00687774038871	0.00430477616808	0.0	1.10248465717e-05
2OG-FeII_Oxy_3_33	0.003	0.495931506038	0.0116175620226	0.00667574485874	0.0	6.31614693702e-06
2OG-FeII_Oxy_3_34	0.0	0.494356859312	0.00484940329078	0.00536444513687	0.0	3.75566355615e-06
2OG-FeII_Oxy_3_35	0.002	0.492942051507	0.0106024698239	0.00450165707349	0.0	2.43338990913e-06
2OG-FeII_Oxy_3_36	0.001	0.487761742857	0.00768795782079	0.00624516963099	0.01	7.22157392374e-06
2OG-FeII_Oxy_3_37	0.001	0.494656170599	0.00379812372615	0.00849184490965	0.02	1.97928397938e-06
2OG-FeII_Oxy_3_38	0.014	0.496683360461	0.00748407314041	0.00601262967102	0.01	4.16842995037e-05
2OG-FeII_Oxy_3_39	0.034	0.495907651246	0.00434468869396	0.00623448469199	0.0	1.9814915504e-05
