	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	Nop	188	0.2	0.9058823529411766	0.18085106382978725	5	0.5
1	KOW	29	0.0	0.0	0.6896551724137931	1	0.5
2	Anticodon_1	92	0.0	0.0	0.1956521739130435	1	0.5
3	Ribosomal_S4	61	0.7777777777777778	0.32558139534883723	0.7049180327868853	9	0.5
4	LSM	47	0.6666666666666666	1.422222222222222	0.3191489361702128	3	0.5
5	Ribosomal_L7Ae	84	1.0	1.3333333333333333	0.42857142857142855	1	0.5
6	Nop	188	0.125	0.5661764705882353	0.18085106382978725	8	0.4
7	KOW	29	0.0	0.0	0.6896551724137931	1	0.4
8	Anticodon_1	92	0.0	0.0	0.1956521739130435	1	0.4
9	Ribosomal_S4	61	0.7272727272727273	0.3044397463002114	0.7049180327868853	11	0.4
10	LSM	47	0.6	1.28	0.3191489361702128	5	0.4
11	zf-CCCH	24	1.0	0.8461538461538461	0.5416666666666666	1	0.4
12	Ribosomal_L7Ae	84	1.0	1.3333333333333333	0.42857142857142855	1	0.4
13	Nop	188	0.1111111111111111	0.5032679738562091	0.18085106382978725	9	0.3
14	KOW	29	0.6666666666666666	0.3	0.6896551724137931	3	0.3
15	Anticodon_1	92	0.0	0.0	0.1956521739130435	1	0.3
16	Ribosomal_S4	61	0.7058823529411765	0.29548563611491113	0.7049180327868853	17	0.3
17	LSM	47	0.46153846153846156	0.9846153846153847	0.3191489361702128	13	0.3
18	zf-CCCH	24	1.0	0.8461538461538461	0.5416666666666666	2	0.3
19	Ribosomal_L7Ae	84	1.0	1.3333333333333333	0.42857142857142855	2	0.3
20	Nop	188	0.17647058823529413	0.7993079584775087	0.18085106382978725	17	0.2
21	LRR_4	32	1.0	3.571428571428571	0.21875	1	0.2
22	zf-CCHC	18	1.0	0.125	0.8888888888888888	2	0.2
23	CSD	64	1.0	1.909090909090909	0.34375	1	0.2
24	KOW	29	0.8333333333333334	0.375	0.6896551724137931	6	0.2
25	Anticodon_1	92	0.0	0.0	0.1956521739130435	2	0.2
26	Ribosomal_S4	61	0.6842105263157895	0.2864137086903305	0.7049180327868853	19	0.2
27	LSM	47	0.4166666666666667	0.888888888888889	0.3191489361702128	24	0.2
28	zf-CCCH	24	1.0	0.8461538461538461	0.5416666666666666	3	0.2
29	Ribosomal_L7Ae	84	1.0	1.3333333333333333	0.42857142857142855	3	0.2
30	Nop	188	0.3225806451612903	1.4611005692599621	0.18085106382978725	31	0.1
31	LRR_4	32	1.0	3.571428571428571	0.21875	1	0.1
32	zf-CCHC	18	0.875	0.109375	0.8888888888888888	8	0.1
33	CSD	64	0.42857142857142855	0.8181818181818181	0.34375	7	0.1
34	KOW	29	0.75	0.33749999999999997	0.6896551724137931	8	0.1
35	Anticodon_1	92	0.0	0.0	0.1956521739130435	2	0.1
36	Ribosomal_S4	61	0.7142857142857143	0.29900332225913623	0.7049180327868853	28	0.1
37	LSM	47	0.37142857142857144	0.7923809523809524	0.3191489361702128	35	0.1
38	S1	60	0.0	0.0	0.13333333333333333	2	0.1
39	zf-CCCH	24	0.75	0.6346153846153846	0.5416666666666666	8	0.1
40	Ribosomal_L7Ae	84	0.8333333333333334	1.1111111111111112	0.42857142857142855	6	0.1
41	RNase_T	161	0.0	0.0	0.10559006211180125	2	0.1
42	Nop	188	0.3584905660377358	1.6237513873473917	0.18085106382978725	53	0.05
43	LRR_4	32	0.5	1.7857142857142856	0.21875	2	0.05
44	zf-CCHC	18	0.8666666666666667	0.10833333333333334	0.8888888888888888	15	0.05
45	CSD	64	0.3125	0.5965909090909091	0.34375	16	0.05
46	NUDIX	120	0.16666666666666666	1.5	0.1	6	0.05
47	KOW	29	0.7692307692307693	0.34615384615384615	0.6896551724137931	13	0.05
48	Anticodon_1	92	0.0	0.0	0.1956521739130435	5	0.05
49	Ribosomal_S4	61	0.7777777777777778	0.32558139534883723	0.7049180327868853	36	0.05
50	TPR_17	31	0.0	0.0	0.5806451612903226	1	0.05
51	LSM	47	0.3333333333333333	0.711111111111111	0.3191489361702128	45	0.05
52	dsrm	63	0.8	0.6823529411764707	0.5396825396825397	5	0.05
53	S1	60	0.25	1.625	0.13333333333333333	4	0.05
54	TPR_1	29	0.5	0.4666666666666667	0.5172413793103449	2	0.05
55	zf-CCCH	24	0.5	0.4230769230769231	0.5416666666666666	16	0.05
56	Ribosomal_L7Ae	84	0.6	0.7999999999999999	0.42857142857142855	15	0.05
57	RNase_T	161	0.2	1.6941176470588237	0.10559006211180125	5	0.05
58	Nop	188	0.24545454545454545	1.111764705882353	0.18085106382978725	110	0.01
59	LRR_4	32	0.6666666666666666	2.3809523809523805	0.21875	6	0.01
60	NTP_transf_2	70	0.2127659574468085	0.9328968903436989	0.18571428571428572	47	0.01
61	zf-CCHC	18	0.8888888888888888	0.1111111111111111	0.8888888888888888	18	0.01
62	CSD	64	0.3877551020408163	0.7402597402597402	0.34375	49	0.01
63	KH_1	55	0.43636363636363634	0.5636363636363636	0.43636363636363634	55	0.01
64	S4	48	0.8125	0.1875	0.8125	48	0.01
65	PUF	21	0.6190476190476191	0.380952380952381	0.6190476190476191	21	0.01
66	WD40	15	0.06666666666666667	0.9333333333333333	0.06666666666666667	15	0.01
67	RRM_1	55	0.6545454545454545	0.34545454545454546	0.6545454545454545	55	0.01
68	NUDIX	120	0.13043478260869565	1.173913043478261	0.1	23	0.01
69	KOW	29	0.6818181818181818	0.30681818181818177	0.6896551724137931	22	0.01
70	HA2	96	0.0	0.0	0.010416666666666666	5	0.01
