	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	RRM_1	28	0.0	0.0	0.07142857142857142	1	0.9
1	RRM_1	28	0.0	0.0	0.07142857142857142	5	0.8
2	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.8
3	RRM_1	28	0.0	0.0	0.07142857142857142	6	0.7
4	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.7
5	RRM_1	28	0.0	0.0	0.07142857142857142	7	0.6
6	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.6
7	RRM_1	28	0.0	0.0	0.07142857142857142	9	0.5
8	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.5
9	MHC_I	111	0.0	0.0	0.3333333333333333	2	0.4
10	RRM_1	28	0.18181818181818182	2.3636363636363638	0.07142857142857142	11	0.4
11	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.4
12	Neur_chan_LBD	165	0.0	0.0	0.01818181818181818	1	0.3
13	MHC_II_alpha	54	0.0	0.0	0.2777777777777778	2	0.3
14	MHC_I	111	0.3333333333333333	0.6666666666666666	0.3333333333333333	3	0.3
15	RRM_1	28	0.16666666666666666	2.1666666666666665	0.07142857142857142	12	0.3
16	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.3
17	Neur_chan_LBD	165	0.0	0.0	0.01818181818181818	9	0.2
18	7TM_GPCR_Srsx	234	0.0	0.0	0.008547008547008548	34	0.2
19	Proteasome	168	0.0	0.0	0.005952380952380952	9	0.2
20	DUF1986	96	0.0	0.0	0.03125	25	0.2
21	Transglut_core	93	0.0	0.0	0.03225806451612903	14	0.2
22	Chromo	32	0.0	0.0	0.21875	1	0.2
23	MHC_II_alpha	54	0.42857142857142855	1.114285714285714	0.2777777777777778	35	0.2
24	PPTA	26	0.0	0.0	0.15384615384615385	1	0.2
25	MHC_I	111	0.2857142857142857	0.5714285714285714	0.3333333333333333	7	0.2
26	RRM_1	28	0.14285714285714285	1.857142857142857	0.07142857142857142	14	0.2
27	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.2
28	Neur_chan_LBD	165	0.01818181818181818	0.9818181818181818	0.01818181818181818	165	0.1
29	7TM_GPCR_Srsx	234	0.008547008547008548	0.9914529914529916	0.008547008547008548	234	0.1
30	Arm	9	0.4444444444444444	0.5555555555555555	0.4444444444444444	9	0.1
31	Proteasome	168	0.005952380952380952	0.994047619047619	0.005952380952380952	168	0.1
32	DUF1986	96	0.03125	0.96875	0.03125	96	0.1
33	Transglut_core	93	0.03225806451612903	0.967741935483871	0.03225806451612903	93	0.1
34	Chromo	32	0.21875	0.7812499999999999	0.21875	32	0.1
35	PHD_2	12	0.08333333333333333	0.9166666666666666	0.08333333333333333	12	0.1
36	Pkinase	60	0.08333333333333333	0.9166666666666666	0.08333333333333333	60	0.1
37	CAP_GLY	60	0.26666666666666666	0.7333333333333333	0.26666666666666666	60	0.1
38	PWWP	73	0.0684931506849315	0.9315068493150684	0.0684931506849315	73	0.1
39	Kelch_1	42	0.07142857142857142	0.9285714285714285	0.07142857142857142	42	0.1
40	MHC_II_alpha	54	0.28846153846153844	0.7499999999999999	0.2777777777777778	52	0.1
41	SH3_9	23	0.5652173913043478	0.4347826086956521	0.5652173913043478	23	0.1
42	ANAPC3	32	0.03125	0.96875	0.03125	32	0.1
43	PPTA	26	0.15384615384615385	0.8461538461538461	0.15384615384615385	26	0.1
44	MHC_I	111	0.375	0.75	0.3333333333333333	16	0.1
45	Y_phosphatase	179	0.0	0.0	0.055865921787709494	1	0.1
46	SH2	36	1.0	2.272727272727273	0.3055555555555556	2	0.1
47	RRM_1	28	0.125	1.625	0.07142857142857142	16	0.1
48	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.1
49	Neur_chan_LBD	165	0.01818181818181818	0.9818181818181818	0.01818181818181818	165	0.05
50	7TM_GPCR_Srsx	234	0.008547008547008548	0.9914529914529916	0.008547008547008548	234	0.05
51	Arm	9	0.4444444444444444	0.5555555555555555	0.4444444444444444	9	0.05
52	Proteasome	168	0.005952380952380952	0.994047619047619	0.005952380952380952	168	0.05
53	DUF1986	96	0.03125	0.96875	0.03125	96	0.05
54	Transglut_core	93	0.03225806451612903	0.967741935483871	0.03225806451612903	93	0.05
55	Chromo	32	0.21875	0.7812499999999999	0.21875	32	0.05
56	PHD_2	12	0.08333333333333333	0.9166666666666666	0.08333333333333333	12	0.05
57	Pkinase	60	0.08333333333333333	0.9166666666666666	0.08333333333333333	60	0.05
58	CAP_GLY	60	0.26666666666666666	0.7333333333333333	0.26666666666666666	60	0.05
59	PWWP	73	0.0684931506849315	0.9315068493150684	0.0684931506849315	73	0.05
60	Kelch_1	42	0.07142857142857142	0.9285714285714285	0.07142857142857142	42	0.05
61	MHC_II_alpha	54	0.2777777777777778	0.7222222222222222	0.2777777777777778	54	0.05
62	SH3_9	23	0.5652173913043478	0.4347826086956521	0.5652173913043478	23	0.05
63	ANAPC3	32	0.03125	0.96875	0.03125	32	0.05
64	PPTA	26	0.15384615384615385	0.8461538461538461	0.15384615384615385	26	0.05
65	Bromodomain	48	0.0	0.0	0.08333333333333333	4	0.05
66	MHC_I	111	0.27586206896551724	0.5517241379310345	0.3333333333333333	29	0.05
67	Y_phosphatase	179	0.0	0.0	0.055865921787709494	2	0.05
68	BIR	66	0.2	1.2666666666666668	0.13636363636363635	5	0.05
69	Lectin_C	96	0.0	0.0	0.010416666666666666	7	0.05
70	SH2	36	0.6666666666666666	1.5151515151515151	0.3055555555555556	3	0.05
71	RRM_1	28	0.1	1.3	0.07142857142857142	20	0.05
72	HEAT_EZ	20	1.0	1.5	0.4	4	0.05
73	HEAT	8	0.5	0.5	0.5	2	0.05
74	Peptidase_C14	174	0.0	0.0	0.06321839080459771	2	0.05
75	Ank_5	37	0.5	3.2	0.13513513513513514	2	0.05
76	Neur_chan_LBD	165	0.01818181818181818	0.9818181818181818	0.01818181818181818	165	0.01
77	7TM_GPCR_Srsx	234	0.008547008547008548	0.9914529914529916	0.008547008547008548	234	0.01
78	Arm	9	0.4444444444444444	0.5555555555555555	0.4444444444444444	9	0.01
79	Proteasome	168	0.005952380952380952	0.994047619047619	0.005952380952380952	168	0.01
80	DUF1986	96	0.03125	0.96875	0.03125	96	0.01
81	Transglut_core	93	0.03225806451612903	0.967741935483871	0.03225806451612903	93	0.01
82	Chromo	32	0.21875	0.7812499999999999	0.21875	32	0.01
83	PHD_2	12	0.08333333333333333	0.9166666666666666	0.08333333333333333	12	0.01
84	Pkinase	60	0.08333333333333333	0.9166666666666666	0.08333333333333333	60	0.01
85	CAP_GLY	60	0.26666666666666666	0.7333333333333333	0.26666666666666666	60	0.01
86	PWWP	73	0.0684931506849315	0.9315068493150684	0.0684931506849315	73	0.01
87	Kelch_1	42	0.07142857142857142	0.9285714285714285	0.07142857142857142	42	0.01
88	MHC_II_alpha	54	0.2777777777777778	0.7222222222222222	0.2777777777777778	54	0.01
89	SH3_9	23	0.5652173913043478	0.4347826086956521	0.5652173913043478	23	0.01
90	ANAPC3	32	0.03125	0.96875	0.03125	32	0.01
91	PPTA	26	0.15384615384615385	0.8461538461538461	0.15384615384615385	26	0.01
92	Bromodomain	48	0.1	1.1	0.08333333333333333	20	0.01
93	MHC_I	111	0.37777777777777777	0.7555555555555555	0.3333333333333333	90	0.01
94	MFS_1	337	0.0	0.0	0.01483679525222552	10	0.01
95	Y_phosphatase	179	0.15384615384615385	2.6	0.055865921787709494	26	0.01
96	BIR	66	0.15	0.9500000000000001	0.13636363636363635	20	0.01
97	Lectin_C	96	0.038461538461538464	3.653846153846154	0.010416666666666666	26	0.01
98	SH2	36	0.4090909090909091	0.9297520661157025	0.3055555555555556	22	0.01
99	RRM_1	28	0.07692307692307693	1.0	0.07142857142857142	26	0.01
100	HEAT_EZ	20	0.5384615384615384	0.8076923076923077	0.4	13	0.01
101	HEAT	8	0.8	0.8	0.5	5	0.01
102	Clathrin_propel	24	0.0	0.0	0.08333333333333333	8	0.01
103	BTB	105	0.043478260869565216	0.8695652173913043	0.047619047619047616	46	0.01
104	Peptidase_M10	137	0.15384615384615385	3.358974358974359	0.043795620437956206	39	0.01
105	Peptidase_M14	267	0.03278688524590164	1.7180327868852459	0.018726591760299626	61	0.01
106	Peptidase_C14	174	0.06666666666666667	0.9878787878787879	0.06321839080459771	30	0.01
107	Adap_comp_sub	248	0.0	0.0	0.008064516129032258	50	0.01
108	SPRY	105	0.1111111111111111	3.7777777777777777	0.02857142857142857	18	0.01
109	FHA	55	0.19230769230769232	1.1298076923076923	0.14545454545454545	26	0.01
110	Hormone_recep	109	0.0	0.0	0.009174311926605505	23	0.01
111	2OG-FeII_Oxy_3	80	0.1	1.042857142857143	0.0875	50	0.01
112	Pro_isomerase	120	0.18	1.98	0.08333333333333333	50	0.01
113	Acetyltransf_1	83	0.0	0.0	0.04819277108433735	16	0.01
114	IRS	61	0.0625	1.2083333333333333	0.04918032786885246	16	0.01
115	PTCB-BRCT	40	0.0	0.0	0.025	18	0.01
116	TPR_10	35	0.35714285714285715	2.1428571428571432	0.14285714285714285	14	0.01
117	ubiquitin	41	0.16666666666666666	3.25	0.04878048780487805	6	0.01
118	MIT	28	0.3333333333333333	1.5333333333333332	0.17857142857142858	6	0.01
119	Ank_5	37	0.4444444444444444	2.844444444444444	0.13513513513513514	9	0.01
120	VWA	175	0.07142857142857142	0.9702380952380951	0.06857142857142857	168	0.01
121	fn3	65	0.0	0.0	0.07692307692307693	1	0.01
122	WH1	93	0.05434782608695652	0.9565217391304348	0.053763440860215055	92	0.01
123	Hist_deacetyl	278	0.050359712230215826	0.9496402877697842	0.050359712230215826	278	0.01
124	Phospholip_A2_1	93	0.09195402298850575	0.8582375478927203	0.0967741935483871	87	0.01
125	Methyltransf_11	91	0.011494252873563218	1.0344827586206895	0.01098901098901099	87	0.01
126	SH3_1	19	0.5333333333333333	0.7333333333333333	0.42105263157894735	15	0.01
127	HRM	35	0.05714285714285714	0.9428571428571428	0.05714285714285714	35	0.01
128	Fibrinogen_C	219	0.05188679245283019	0.8950471698113208	0.0547945205479452	212	0.01
129	fn1	22	0.045454545454545456	0.9545454545454546	0.045454545454545456	22	0.01
130	WW	23	0.4782608695652174	0.5217391304347826	0.4782608695652174	23	0.01
131	Filamin	81	0.024691358024691357	0.9753086419753086	0.024691358024691357	81	0.01
132	PDZ	16	0.5	1.1	0.3125	10	0.01
