	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	Abhydrolase_1	94	1.0	46.0	0.02127659574468085	1	0.6
1	AAA_18	73	1.0	8.125	0.1095890410958904	1	0.6
2	Aminotran_1_2	157	1.0	21.428571428571427	0.044585987261146494	1	0.5
3	Metallophos	153	1.0	24.500000000000004	0.0392156862745098	1	0.5
4	Abhydrolase_1	94	1.0	46.0	0.02127659574468085	1	0.5
5	Tubulin	96	1.0	12.714285714285715	0.07291666666666667	1	0.5
6	AAA_18	73	1.0	8.125	0.1095890410958904	2	0.5
7	Aminotran_1_2	157	1.0	21.428571428571427	0.044585987261146494	2	0.4
8	NDK	125	1.0	7.92857142857143	0.112	2	0.4
9	Metallophos	153	1.0	24.500000000000004	0.0392156862745098	4	0.4
10	Glyco_transf_29	248	0.0	0.0	0.04435483870967742	1	0.4
11	Abhydrolase_1	94	1.0	46.0	0.02127659574468085	1	0.4
12	PARP	94	1.0	22.5	0.0425531914893617	1	0.4
13	Methyltransf_12	14	1.0	1.0	0.5	1	0.4
14	Sulfatase	275	0.5	19.142857142857142	0.025454545454545455	2	0.4
15	adh_short_C2	55	1.0	2.0555555555555554	0.32727272727272727	2	0.4
16	Tubulin	96	1.0	12.714285714285715	0.07291666666666667	1	0.4
17	ADH_N	63	1.0	11.6	0.07936507936507936	1	0.4
18	AAA_18	73	1.0	8.125	0.1095890410958904	3	0.4
19	Aminotran_1_2	157	1.0	21.428571428571427	0.044585987261146494	3	0.3
20	NTP_transf_2	70	1.0	10.666666666666666	0.08571428571428572	1	0.3
21	Acyl-CoA_dh_M	54	1.0	5.75	0.14814814814814814	1	0.3
22	Acyl-CoA_dh_1	78	0.0	0.0	0.0641025641025641	1	0.3
23	NDK	125	0.6666666666666666	5.285714285714286	0.112	3	0.3
24	Kringle	62	0.0	0.0	0.14516129032258066	1	0.3
25	HATPase_c	28	1.0	2.5	0.2857142857142857	1	0.3
26	PPTA	27	0.0	0.0	0.1111111111111111	1	0.3
27	Y_phosphatase	134	1.0	10.166666666666666	0.08955223880597014	1	0.3
28	OTU	126	1.0	41.0	0.023809523809523808	1	0.3
29	Metallophos	153	1.0	24.500000000000004	0.0392156862745098	5	0.3
30	Glyco_transf_29	248	0.6666666666666666	14.363636363636362	0.04435483870967742	3	0.3
31	Abhydrolase_1	94	1.0	46.0	0.02127659574468085	2	0.3
32	Rhodanese	87	0.0	0.0	0.011494252873563218	1	0.3
33	SET	65	1.0	15.25	0.06153846153846154	1	0.3
34	PARP	94	1.0	22.5	0.0425531914893617	1	0.3
35	Cation_ATPase	83	1.0	12.833333333333334	0.07228915662650602	1	0.3
36	Methyltransf_12	14	1.0	1.0	0.5	1	0.3
37	Sulfatase	275	0.6666666666666666	25.523809523809522	0.025454545454545455	3	0.3
38	adh_short_C2	55	1.0	2.0555555555555554	0.32727272727272727	5	0.3
39	Tubulin	96	1.0	12.714285714285715	0.07291666666666667	1	0.3
40	ADH_N	63	0.5	5.8	0.07936507936507936	2	0.3
41	AAA_18	73	0.8	6.5	0.1095890410958904	5	0.3
42	FKBP_C	55	1.0	3.230769230769231	0.23636363636363636	1	0.3
43	JmjC	21	1.0	3.2	0.23809523809523808	1	0.3
44	Carb_anhydrase	126	1.0	11.6	0.07936507936507936	1	0.3
45	Peptidase_C1	121	1.0	14.125	0.06611570247933884	1	0.3
46	Methyltransf_25	13	1.0	2.25	0.3076923076923077	1	0.3
47	BNR_2	177	1.0	34.4	0.02824858757062147	1	0.3
48	Abhydrolase_6	85	1.0	27.333333333333336	0.03529411764705882	1	0.3
49	Cpn60_TCP1	444	0.75	24.865384615384617	0.02927927927927928	4	0.2
50	UCH	251	0.0	0.0	0.01195219123505976	3	0.2
51	Aminotran_1_2	157	1.0	21.428571428571427	0.044585987261146494	5	0.2
52	Acyl-CoA_dh_N	101	0.0	0.0	0.0297029702970297	1	0.2
53	Methyltransf_23	67	1.0	10.166666666666666	0.08955223880597014	2	0.2
54	Ion_trans	175	0.0	0.0	0.017142857142857144	1	0.2
55	PAS_9	45	0.0	0.0	0.35555555555555557	1	0.2
56	NTP_transf_2	70	1.0	10.666666666666666	0.08571428571428572	1	0.2
57	PDEase_I	128	0.0	0.0	0.0625	1	0.2
58	Acyl-CoA_dh_M	54	1.0	5.75	0.14814814814814814	2	0.2
59	Acyl-CoA_dh_1	78	0.0	0.0	0.0641025641025641	1	0.2
60	NDK	125	0.6	4.757142857142857	0.112	5	0.2
61	Somatomedin_B	39	0.0	0.0	0.07692307692307693	1	0.2
62	Cyt-b5	55	0.3333333333333333	1.0769230769230769	0.23636363636363636	3	0.2
63	Kringle	62	0.0	0.0	0.14516129032258066	3	0.2
64	HATPase_c	28	0.5	1.25	0.2857142857142857	2	0.2
65	PPTA	27	0.0	0.0	0.1111111111111111	4	0.2
66	Y_phosphatase	134	1.0	10.166666666666666	0.08955223880597014	1	0.2
67	TTL	152	0.0	0.0	0.006578947368421052	1	0.2
68	Oxysterol_BP	321	0.5	53.0	0.009345794392523364	2	0.2
69	Actin	336	0.0	0.0	0.008928571428571428	4	0.2
70	OTU	126	1.0	41.0	0.023809523809523808	1	0.2
71	Metallophos	153	0.8571428571428571	21.0	0.0392156862745098	7	0.2
72	Glyco_transf_29	248	0.5	10.772727272727272	0.04435483870967742	8	0.2
73	Abhydrolase_1	94	0.4	18.400000000000002	0.02127659574468085	5	0.2
74	Rhodanese	87	0.0	0.0	0.011494252873563218	1	0.2
75	START	191	0.0	0.0	0.07853403141361257	3	0.2
76	SET	65	1.0	15.25	0.06153846153846154	2	0.2
77	PARP	94	1.0	22.5	0.0425531914893617	1	0.2
78	SH2	51	1.0	5.375	0.1568627450980392	1	0.2
79	Cation_ATPase	83	1.0	12.833333333333334	0.07228915662650602	1	0.2
80	F420_oxidored	40	1.0	2.6363636363636367	0.275	5	0.2
81	HEAT_EZ	55	0.0	0.0	0.18181818181818182	1	0.2
82	AMP-binding_C	61	1.0	60.0	0.01639344262295082	1	0.2
83	Globin	37	1.0	1.6428571428571428	0.3783783783783784	1	0.2
84	Methyltransf_12	14	0.6666666666666666	0.6666666666666666	0.5	3	0.2
85	HEAT	30	0.0	0.0	0.2	1	0.2
86	7tm_4	242	0.0	0.0	0.004132231404958678	1	0.2
87	Sulfatase	275	0.3333333333333333	12.761904761904761	0.025454545454545455	9	0.2
88	adh_short_C2	55	0.75	1.5416666666666665	0.32727272727272727	12	0.2
89	Aldo_ket_red	163	1.0	3.2894736842105265	0.2331288343558282	5	0.2
90	LSM	63	1.0	11.6	0.07936507936507936	1	0.2
91	Tubulin	96	1.0	12.714285714285715	0.07291666666666667	2	0.2
92	ADH_N	63	0.5	5.8	0.07936507936507936	2	0.2
93	AAA_18	73	0.5714285714285714	4.642857142857142	0.1095890410958904	7	0.2
94	Asp	129	0.5	21.0	0.023255813953488372	2	0.2
95	FKBP_C	55	1.0	3.230769230769231	0.23636363636363636	1	0.2
96	JmjC	21	1.0	3.2	0.23809523809523808	1	0.2
97	Carb_anhydrase	126	0.5	5.8	0.07936507936507936	6	0.2
98	ADH_zinc_N	27	0.0	0.0	0.18518518518518517	2	0.2
99	Helicase_C	76	0.5	18.5	0.02631578947368421	2	0.2
100	Peptidase_C1	121	0.6666666666666666	9.416666666666666	0.06611570247933884	3	0.2
101	Methyltransf_25	13	1.0	2.25	0.3076923076923077	2	0.2
102	BNR_2	177	1.0	34.4	0.02824858757062147	1	0.2
103	Abhydrolase_6	85	1.0	27.333333333333336	0.03529411764705882	2	0.2
104	p450	101	1.0	13.428571428571429	0.06930693069306931	1	0.2
105	Cpn60_TCP1	444	0.28	9.283076923076925	0.02927927927927928	25	0.1
106	UCH	251	0.125	10.333333333333334	0.01195219123505976	16	0.1
107	Aminotran_1_2	157	0.5	10.714285714285714	0.044585987261146494	14	0.1
108	Lig_chan-Glu_bd	53	0.6666666666666666	8.166666666666666	0.07547169811320754	3	0.1
109	Acyl-CoA_dh_N	101	0.0	0.0	0.0297029702970297	6	0.1
110	Methyltransf_23	67	0.4166666666666667	4.236111111111112	0.08955223880597014	12	0.1
111	RnaseA	35	1.0	7.75	0.11428571428571428	2	0.1
112	Ion_trans	175	0.0	0.0	0.017142857142857144	4	0.1
113	Glyco_transf_7C	61	0.45454545454545453	3.5064935064935066	0.11475409836065574	11	0.1
114	AA_permease_2	417	0.04	5.5200000000000005	0.007194244604316547	25	0.1
115	PAS_9	45	0.0	0.0	0.35555555555555557	2	0.1
116	NTP_transf_2	70	0.8571428571428571	9.142857142857142	0.08571428571428572	7	0.1
117	PDEase_I	128	0.4	6.0	0.0625	10	0.1
118	Neur_chan_LBD	112	0.0	0.0	0.026785714285714284	4	0.1
119	Chromo	44	0.5	2.642857142857143	0.1590909090909091	2	0.1
120	Acyl-CoA_dh_M	54	0.6666666666666666	3.833333333333333	0.14814814814814814	9	0.1
121	Acyl-CoA_dh_1	78	0.23076923076923078	3.3692307692307697	0.0641025641025641	13	0.1
122	NDK	125	0.18518518518518517	1.4682539682539684	0.112	27	0.1
123	Somatomedin_B	39	0.2	2.4000000000000004	0.07692307692307693	5	0.1
124	Cyt-b5	55	0.1	0.3230769230769231	0.23636363636363636	10	0.1
125	Kringle	62	0.125	0.7361111111111112	0.14516129032258066	8	0.1
126	HATPase_c	28	0.6	1.4999999999999998	0.2857142857142857	5	0.1
127	LRR_6	22	0.5	1.7	0.22727272727272727	2	0.1
128	PPTA	27	0.42857142857142855	3.4285714285714284	0.1111111111111111	7	0.1
129	Y_phosphatase	134	0.4375	4.447916666666667	0.08955223880597014	16	0.1
130	JmjN	28	0.0	0.0	0.14285714285714285	2	0.1
131	TTL	152	0.05555555555555555	8.38888888888889	0.006578947368421052	18	0.1
132	TSP_1	29	0.3333333333333333	9.333333333333334	0.034482758620689655	3	0.1
133	Oxysterol_BP	321	0.09523809523809523	10.095238095238095	0.009345794392523364	21	0.1
134	Actin	336	0.10714285714285714	11.892857142857142	0.008928571428571428	28	0.1
135	Laminin_G_2	112	0.0	0.0	0.026785714285714284	1	0.1
136	OTU	126	0.1111111111111111	4.555555555555555	0.023809523809523808	9	0.1
137	Metallophos	153	0.46153846153846156	11.307692307692308	0.0392156862745098	13	0.1
138	BIR	59	0.25	1.3888888888888888	0.15254237288135594	4	0.1
139	Glyco_transf_29	248	0.28125	6.059659090909091	0.04435483870967742	32	0.1
140	Abhydrolase_1	94	0.15384615384615385	7.0769230769230775	0.02127659574468085	13	0.1
141	Rhodanese	87	0.0	0.0	0.011494252873563218	7	0.1
142	Lectin_C	49	0.0	0.0	0.12244897959183673	1	0.1
143	START	191	0.18181818181818182	2.1333333333333337	0.07853403141361257	11	0.1
144	SET	65	1.0	15.25	0.06153846153846154	4	0.1
145	PARP	94	0.5714285714285714	12.857142857142856	0.0425531914893617	7	0.1
