	RF	ADA	SVM	Logistic	KNN	XGB
2OG-FeII_Oxy_3_1	0.106	0.499407596324	0.12152158793	0.116890936332	0.11	0.0342479608953
2OG-FeII_Oxy_3_10	0.125	0.499656137516	0.154742320889	0.131274682712	0.09	0.0928860083222
2OG-FeII_Oxy_3_11	0.159	0.4998673537	0.15537247756	0.137427737578	0.14	0.073390096426
2OG-FeII_Oxy_3_12	0.227	0.499574281649	0.148376779051	0.115102345356	0.26	0.0379592739046
2OG-FeII_Oxy_3_14	0.126	0.499480584219	0.121583426272	0.135981862918	0.14	0.0392615124583
2OG-FeII_Oxy_3_15	0.533	0.499905533679	0.975524012838	0.119657932901	0.5	0.79838258028
2OG-FeII_Oxy_3_16	0.105	0.498243548878	0.122173411577	0.137954702796	0.07	0.0603064931929
2OG-FeII_Oxy_3_17	0.453	0.500000390691	0.372950591944	0.166586921936	0.4	0.385878711939
2OG-FeII_Oxy_3_18	0.134	0.499815591406	0.118768428772	0.138281038094	0.11	0.0815885663033
2OG-FeII_Oxy_3_2	0.301	0.499861484946	0.180265351147	0.11470777037	0.17	0.139852613211
2OG-FeII_Oxy_3_26	0.128	0.499558847742	0.134260209091	0.178953248138	0.17	0.0600523762405
2OG-FeII_Oxy_3_27	0.172	0.499352246747	0.134655408803	0.144011127904	0.15	0.0557966567576
2OG-FeII_Oxy_3_29	0.217	0.500195588308	0.112289648414	0.11896891305	0.18	0.159254774451
2OG-FeII_Oxy_3_3	0.161	0.499445319258	0.12029580864	0.11550905995	0.09	0.080972880125
2OG-FeII_Oxy_3_33	0.098	0.49929835964	0.132959416891	0.115716209253	0.09	0.0144282504916
2OG-FeII_Oxy_3_38	0.098	0.499253570059	0.109439950935	0.120659419664	0.09	0.0498852133751
2OG-FeII_Oxy_3_4	0.152	0.499707442904	0.125324010722	0.134447127173	0.1	0.096993394196
2OG-FeII_Oxy_3_44	0.022	0.499132263211	0.102503762756	0.193529943	0.03	0.00731205474585
2OG-FeII_Oxy_3_45	0.062	0.490191756932	0.143434803487	0.178545868429	0.05	0.00951553974301
2OG-FeII_Oxy_3_46	0.118	0.49959804164	0.135106404594	0.117743117649	0.21	0.176818281412
2OG-FeII_Oxy_3_47	0.115	0.49942948878	0.111761814327	0.13088740918	0.08	0.0409528650343
2OG-FeII_Oxy_3_48	0.149	0.49958510985	0.134759667692	0.144978879224	0.2	0.024336213246
2OG-FeII_Oxy_3_49	0.075	0.499366764134	0.117276768783	0.133005248543	0.11	0.0327334031463
2OG-FeII_Oxy_3_5	0.195	0.499496199757	0.132983258522	0.132201156002	0.23	0.0587359666824
2OG-FeII_Oxy_3_50	0.14	0.499666402823	0.134642752091	0.125495152112	0.1	0.0438249334693
2OG-FeII_Oxy_3_51	0.068	0.499870779983	0.123326913518	0.154590371563	0.11	0.0581278055906
2OG-FeII_Oxy_3_52	0.103	0.499381689223	0.111991532561	0.153318523746	0.05	0.00689873704687
2OG-FeII_Oxy_3_53	0.178	0.499652137301	0.124330194454	0.165365407056	0.15	0.0666842237115
2OG-FeII_Oxy_3_54	0.086	0.499714065386	0.116861371948	0.128693056796	0.12	0.0344653613865
2OG-FeII_Oxy_3_55	0.038	0.49903929384	0.105624498524	0.117607944538	0.07	0.00680649047717
2OG-FeII_Oxy_3_56	0.098	0.499497259683	0.117063837877	0.142472979355	0.2	0.0251544807106
2OG-FeII_Oxy_3_57	0.088	0.499604203014	0.117229035159	0.131936934963	0.08	0.0167034436017
2OG-FeII_Oxy_3_58	0.082	0.49958136112	0.116786879669	0.163283337081	0.09	0.0601292252541
2OG-FeII_Oxy_3_59	0.038	0.499326681579	0.111427770613	0.133685792146	0.06	0.00263166008517
2OG-FeII_Oxy_3_6	0.135	0.499534608846	0.152210249997	0.108780909424	0.21	0.111049711704
2OG-FeII_Oxy_3_60	0.071	0.499418562789	0.123362041382	0.134556680662	0.12	0.0305882655084
2OG-FeII_Oxy_3_61	0.117	0.499167439711	0.107441392157	0.176604306355	0.02	0.00285514630377
2OG-FeII_Oxy_3_62	0.069	0.499073480586	0.109235880284	0.115886813418	0.07	0.00726970192045
2OG-FeII_Oxy_3_63	0.165	0.499325203474	0.136009186641	0.11497061989	0.16	0.0212190933526
2OG-FeII_Oxy_3_64	0.224	0.49092509792	0.126546476697	0.187085072582	0.1	0.0642023831606
2OG-FeII_Oxy_3_65	0.183	0.49952321171	0.104921486562	0.132501132335	0.13	0.0337856449187
2OG-FeII_Oxy_3_66	0.08	0.499476711651	0.13096689645	0.143637464644	0.08	0.0117919594049
2OG-FeII_Oxy_3_67	0.063	0.499244697776	0.112106524112	0.134541785406	0.05	0.0112102264538
2OG-FeII_Oxy_3_68	0.1	0.499494132964	0.11228279101	0.135010872165	0.1	0.0330551378429
2OG-FeII_Oxy_3_69	0.258	0.499727794322	0.141285763172	0.138420939789	0.19	0.0931075960398
2OG-FeII_Oxy_3_7	0.08	0.499319636803	0.109009356263	0.15695617924	0.05	0.00977500528097
2OG-FeII_Oxy_3_70	0.177	0.499842167227	0.134762670621	0.118795589085	0.15	0.127814143896
2OG-FeII_Oxy_3_71	0.168	0.499662563998	0.121196607708	0.149985079411	0.18	0.0870486497879
2OG-FeII_Oxy_3_72	0.207	0.499764971719	0.12379939099	0.17482703001	0.18	0.347954332829
2OG-FeII_Oxy_3_73	0.14	0.499640539237	0.141515437161	0.141017709306	0.12	0.0382470078766
2OG-FeII_Oxy_3_74	0.125	0.49998566014	0.10681108955	0.120146133968	0.17	0.230833232403
2OG-FeII_Oxy_3_75	0.098	0.499497714313	0.11043823489	0.133656544582	0.14	0.0218215938658
2OG-FeII_Oxy_3_76	0.082	0.499624495088	0.112414011333	0.137985319847	0.12	0.0441105812788
2OG-FeII_Oxy_3_77	0.701	0.500073495321	0.946701403322	0.13044824399	0.5	0.920258998871
2OG-FeII_Oxy_3_78	0.126	0.499459927267	0.115332071691	0.134922264802	0.1	0.104332596064
2OG-FeII_Oxy_3_79	0.134	0.499607821069	0.124189701083	0.148037623726	0.11	0.126076251268
2OG-FeII_Oxy_3_8	0.076	0.499447849646	0.119810799176	0.127141188008	0.11	0.051581081003
2OG-FeII_Oxy_3_80	0.189	0.499555277421	0.119626485721	0.116805316106	0.16	0.132869973779
2OG-FeII_Oxy_3_81	0.161	0.499507052259	0.133015017558	0.156879211486	0.11	0.0342848747969
2OG-FeII_Oxy_3_82	0.099	0.499695806627	0.111381509345	0.152166780941	0.08	0.0164962504059
2OG-FeII_Oxy_3_83	0.124	0.499628696658	0.137349539523	0.114362870524	0.13	0.0633884742856
2OG-FeII_Oxy_3_84	0.125	0.49934101424	0.130284341074	0.119573442854	0.11	0.0175758134574
2OG-FeII_Oxy_3_87	0.135	0.49948101358	0.107525128411	0.138166243915	0.1	0.0154958991334
2OG-FeII_Oxy_3_88	0.493	0.499966167939	0.258865744953	0.12370979732	0.29	0.461792171001
2OG-FeII_Oxy_3_89	0.185	0.499770475896	0.118214862661	0.0919649224751	0.11	0.0803748816252
2OG-FeII_Oxy_3_9	0.084	0.499402932354	0.120616990549	0.184555532222	0.07	0.0243196766824
2OG-FeII_Oxy_3_93	0.139	0.499616516879	0.132351312243	0.101940590444	0.12	0.113586358726
2OG-FeII_Oxy_3_95	0.113	0.499685822006	0.120265884099	0.104340705507	0.12	0.0414152145386
2OG-FeII_Oxy_3_96	0.265	0.499839329779	0.14852297694	0.11260292296	0.18	0.0883215516806
7TM_GPCR_Srsx_1	0.212	0.499150035175	0.12082625603	0.227793341509	0.18	0.00471227103844
7TM_GPCR_Srsx_10	0.16	0.499502105013	0.104009415959	0.158314124209	0.15	0.00677822716534
7TM_GPCR_Srsx_100	0.173	0.499061849071	0.137785509641	0.155134925077	0.17	0.0438294559717
7TM_GPCR_Srsx_104	0.231	0.499352785478	0.170375713733	0.143430618278	0.2	0.0338729321957
7TM_GPCR_Srsx_106	0.188	0.49924766119	0.184103836825	0.157612695564	0.2	0.0601384527981
7TM_GPCR_Srsx_107	0.16	0.499053783558	0.159436613294	0.124079014712	0.14	0.0075323227793
7TM_GPCR_Srsx_108	0.136	0.49891387908	0.131419104756	0.164749067455	0.18	0.00382325029932
7TM_GPCR_Srsx_109	0.18	0.499453248453	0.116998347126	0.238228118669	0.18	0.00710355117917
7TM_GPCR_Srsx_11	0.232	0.500006032459	0.134098567359	0.149936262105	0.16	0.0515695475042
7TM_GPCR_Srsx_110	0.164	0.499518434433	0.148425904208	0.132285868444	0.17	0.0127913979813
7TM_GPCR_Srsx_111	0.161	0.499804048499	0.137396123865	0.162659783453	0.2	0.0210165213794
7TM_GPCR_Srsx_112	0.197	0.499421089563	0.130079821623	0.250245032007	0.16	0.045351549983
7TM_GPCR_Srsx_113	0.205	0.499618258715	0.144188803084	0.138668694079	0.13	0.0200437698513
7TM_GPCR_Srsx_114	0.131	0.499002440625	0.130935475214	0.150818473484	0.15	0.0111539289355
7TM_GPCR_Srsx_115	0.204	0.499640547986	0.128294314911	0.150376156501	0.18	0.0288849212229
7TM_GPCR_Srsx_116	0.163	0.498899855981	0.129388700869	0.185603855883	0.14	0.0104994103312
7TM_GPCR_Srsx_117	0.148	0.499363962612	0.136775120562	0.12116848702	0.18	0.0496489591897
7TM_GPCR_Srsx_118	0.176	0.499312902391	0.105161142084	0.196466406705	0.19	0.0492481067777
7TM_GPCR_Srsx_119	0.148	0.499766069822	0.0990183107951	0.155844590371	0.2	0.0591592863202
7TM_GPCR_Srsx_12	0.146	0.499057872479	0.145554435039	0.132933173415	0.09	0.00268768263049
7TM_GPCR_Srsx_120	0.208	0.499556334832	0.196268501741	0.140485994376	0.17	0.0859816819429
7TM_GPCR_Srsx_121	0.168	0.499438170323	0.134943705954	0.133443420886	0.2	0.283383458853
7TM_GPCR_Srsx_122	0.266	0.499525524442	0.114191922154	0.175867880411	0.19	0.178552895784
7TM_GPCR_Srsx_124	0.197	0.499077499936	0.131368555507	0.15411611596	0.18	0.0623063519597
7TM_GPCR_Srsx_125	0.313	0.498599519387	0.155159216934	0.156222832471	0.2	0.0166828017682
7TM_GPCR_Srsx_127	0.339	0.499371061716	0.346738810197	0.13439463314	0.17	0.014776263386
7TM_GPCR_Srsx_13	0.253	0.499354915705	0.17823138039	0.127657807602	0.25	0.0427827090025
7TM_GPCR_Srsx_130	0.184	0.499241316209	0.105908917751	0.131707620905	0.15	0.00559516483918
7TM_GPCR_Srsx_131	0.18	0.499073595698	0.125700735306	0.1596264938	0.16	0.0314321182668
7TM_GPCR_Srsx_132	0.176	0.498959478515	0.093711143435	0.138186901739	0.15	0.00262952968478
7TM_GPCR_Srsx_133	0.206	0.498804435742	0.134479383218	0.147346576105	0.14	0.00161440495867
7TM_GPCR_Srsx_134	0.184	0.499018366831	0.154780706963	0.156100438349	0.12	0.0338238328695
7TM_GPCR_Srsx_135	0.317	0.499699716486	0.514737703648	0.194816902011	0.39	0.173085004091
