	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	S4	48	1.0	0.23076923076923078	0.8125	4	0.6
1	S4	48	1.0	0.23076923076923078	0.8125	5	0.5
2	S4	48	1.0	0.23076923076923078	0.8125	7	0.4
3	S4	48	0.8888888888888888	0.20512820512820512	0.8125	9	0.3
4	KH_1	55	1.0	1.2916666666666667	0.43636363636363634	2	0.2
5	S4	48	0.8461538461538461	0.1952662721893491	0.8125	13	0.2
6	zf-CCHC	18	0.6666666666666666	0.08333333333333333	0.8888888888888888	3	0.1
7	KH_1	55	1.0	1.2916666666666667	0.43636363636363634	3	0.1
8	S4	48	0.8571428571428571	0.1978021978021978	0.8125	21	0.1
9	Ribosomal_S4	61	1.0	0.4186046511627907	0.7049180327868853	1	0.1
10	LSM	47	0.0	0.0	0.2978723404255319	1	0.05
11	zf-CCHC	18	0.7142857142857143	0.08928571428571429	0.8888888888888888	7	0.05
12	KH_1	55	1.0	1.2916666666666667	0.43636363636363634	5	0.05
13	S4	48	0.8148148148148148	0.18803418803418803	0.8125	27	0.05
14	Ribosomal_S4	61	1.0	0.4186046511627907	0.7049180327868853	4	0.05
15	LSM	47	0.3333333333333333	0.7857142857142857	0.2978723404255319	12	0.01
16	zf-CCHC	18	0.8666666666666667	0.10833333333333334	0.8888888888888888	15	0.01
17	KH_1	55	0.8333333333333334	1.076388888888889	0.43636363636363634	12	0.01
18	S4	48	0.8292682926829268	0.19136960600375236	0.8125	41	0.01
19	TPR_1	22	1.0	1.75	0.36363636363636365	2	0.01
20	Ribosomal_S4	61	0.9047619047619048	0.3787375415282392	0.7049180327868853	21	0.01
21	zf-CCCH	24	1.0	0.8461538461538461	0.5416666666666666	2	0.01
