	domain	domain_len	domain_precison	domain_recall	fold_imp	pos_frac	pos_num	prob
0	S4	33	1.0	0.125	0.375	0.7272727272727273	3	0.1
1	TPR_1	25	1.0	0.09090909090909091	1.2727272727272727	0.44	1	0.1
2	Ribosomal_S4	51	1.0	0.15151515151515152	0.5454545454545455	0.6470588235294118	5	0.1
3	LSM	39	0.5	0.2857142857142857	2.2857142857142856	0.1794871794871795	4	0.1
4	zf-CCCH	24	1.0	0.3076923076923077	0.8461538461538461	0.5416666666666666	4	0.1
5	S4	33	1.0	0.16666666666666666	0.375	0.7272727272727273	4	0.075
6	TPR_1	25	1.0	0.18181818181818182	1.2727272727272727	0.44	2	0.075
7	zf-CCHC	13	1.0	0.09090909090909091	0.18181818181818182	0.8461538461538461	1	0.075
8	Ribosomal_S4	51	1.0	0.24242424242424243	0.5454545454545455	0.6470588235294118	8	0.075
9	LSM	39	0.6	0.42857142857142855	2.742857142857143	0.1794871794871795	5	0.075
10	zf-CCCH	24	0.8	0.3076923076923077	0.676923076923077	0.5416666666666666	5	0.075
11	S4	33	0.8888888888888888	0.3333333333333333	0.3333333333333333	0.7272727272727273	9	0.05
12	TPR_1	25	1.0	0.18181818181818182	1.2727272727272727	0.44	2	0.05
13	KH_1	38	1.0	0.14285714285714285	4.428571428571429	0.18421052631578946	1	0.05
14	zf-CCHC	13	1.0	0.36363636363636365	0.18181818181818182	0.8461538461538461	4	0.05
15	Ribosomal_S4	51	0.875	0.42424242424242425	0.4772727272727273	0.6470588235294118	16	0.05
16	LSM	39	0.5714285714285714	0.5714285714285714	2.6122448979591835	0.1794871794871795	7	0.05
17	zf-CCCH	24	0.625	0.38461538461538464	0.5288461538461539	0.5416666666666666	8	0.05
18	S4	33	0.8888888888888888	0.6666666666666666	0.3333333333333333	0.7272727272727273	18	0.025
19	TPR_1	25	1.0	0.18181818181818182	1.2727272727272727	0.44	2	0.025
20	KH_1	38	0.5	0.5714285714285714	2.2142857142857144	0.18421052631578946	8	0.025
21	zf-CCHC	13	1.0	0.7272727272727273	0.18181818181818182	0.8461538461538461	8	0.025
22	CSD	64	1.0	0.09090909090909091	1.909090909090909	0.34375	2	0.025
23	Ribosomal_S4	51	0.7419354838709677	0.696969696969697	0.404692082111437	0.6470588235294118	31	0.025
24	LSM	39	0.3333333333333333	0.8571428571428571	1.5238095238095237	0.1794871794871795	18	0.025
25	zf-CCCH	24	0.6	0.46153846153846156	0.5076923076923077	0.5416666666666666	10	0.025
26	S4	33	0.7777777777777778	0.875	0.2916666666666667	0.7272727272727273	27	0.01
27	TPR_1	25	1.0	0.18181818181818182	1.2727272727272727	0.44	2	0.01
28	KH_1	38	0.3888888888888889	1.0	1.7222222222222223	0.18421052631578946	18	0.01
29	KOW	16	0.5	0.2857142857142857	0.6428571428571428	0.4375	4	0.01
30	zf-CCHC	13	0.8333333333333334	0.9090909090909091	0.15151515151515152	0.8461538461538461	12	0.01
31	CSD	64	0.75	0.2727272727272727	1.4318181818181817	0.34375	8	0.01
32	Ribosomal_S4	51	0.6458333333333334	0.9393939393939394	0.3522727272727273	0.6470588235294118	48	0.01
33	RRM_1	33	0.875	0.5	1.1875	0.42424242424242425	8	0.01
34	LSM	39	0.25925925925925924	1.0	1.1851851851851851	0.1794871794871795	27	0.01
35	Ribosomal_L7Ae	64	1.0	0.125	3.0	0.25	2	0.01
36	dsrm	43	1.0	0.07142857142857142	2.071428571428571	0.32558139534883723	1	0.01
37	zf-CCCH	24	0.625	0.7692307692307693	0.5288461538461539	0.5416666666666666	16	0.01
38	S4	33	0.75	1.0	0.28125	0.7272727272727273	32	0.005
39	PUF	12	1.0	0.25	2.0	0.3333333333333333	1	0.005
40	TPR_1	25	0.75	0.2727272727272727	0.9545454545454546	0.44	4	0.005
41	Nop	168	0.0	0.0	0.0	0.08333333333333333	1	0.005
42	KH_1	38	0.25	1.0	1.1071428571428572	0.18421052631578946	28	0.005
43	KOW	16	0.6	0.8571428571428571	0.7714285714285714	0.4375	10	0.005
44	zf-CCHC	13	0.8461538461538461	1.0	0.15384615384615385	0.8461538461538461	13	0.005
45	CSD	64	0.6111111111111112	0.5	1.1666666666666667	0.34375	18	0.005
46	Ribosomal_S4	51	0.6470588235294118	1.0	0.35294117647058826	0.6470588235294118	51	0.005
47	LRR_4	31	1.0	0.16666666666666666	4.166666666666667	0.1935483870967742	1	0.005
48	RRM_1	33	0.6428571428571429	0.6428571428571429	0.8724489795918369	0.42424242424242425	14	0.005
49	LSM	39	0.21875	1.0	1.0	0.1794871794871795	32	0.005
50	Ribosomal_L7Ae	64	1.0	0.1875	3.0	0.25	3	0.005
51	TPR_17	16	1.0	0.6666666666666666	4.333333333333333	0.1875	2	0.005
52	dsrm	43	1.0	0.2857142857142857	2.071428571428571	0.32558139534883723	4	0.005
53	zf-CCCH	24	0.5454545454545454	0.9230769230769231	0.46153846153846145	0.5416666666666666	22	0.005
54	RNase_T	158	0.18181818181818182	0.14285714285714285	1.87012987012987	0.08860759493670886	11	0.001
