	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	Homeobox	9	1.0	0.125	0.8888888888888888	1	0.8
1	Homeobox	9	1.0	0.125	0.8888888888888888	2	0.7
2	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.6
3	bZIP_1	63	1.0	3.5	0.2222222222222222	2	0.6
4	Homeobox	9	1.0	0.125	0.8888888888888888	2	0.6
5	HLH	49	1.0	1.5789473684210527	0.3877551020408163	1	0.5
6	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	3	0.5
7	bZIP_1	63	1.0	3.5	0.2222222222222222	3	0.5
8	Homeobox	9	1.0	0.125	0.8888888888888888	4	0.5
9	HLH	49	1.0	1.5789473684210527	0.3877551020408163	4	0.4
10	zf-H2C2_2	13	0.8	0.24	0.7692307692307693	5	0.4
11	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.4
12	bZIP_1	63	0.6666666666666666	2.3333333333333335	0.2222222222222222	15	0.4
13	Homeobox	9	1.0	0.125	0.8888888888888888	4	0.4
14	HLH	49	1.0	1.5789473684210527	0.3877551020408163	8	0.3
15	zf-CXXC	46	1.0	1.7058823529411766	0.3695652173913043	1	0.3
16	Histone	93	1.0	5.199999999999999	0.16129032258064516	1	0.3
17	zf-H2C2_2	13	0.7142857142857143	0.21428571428571427	0.7692307692307693	7	0.3
18	GATA	33	1.0	1.0625	0.48484848484848486	1	0.3
19	Ets	81	1.0	2.2399999999999998	0.30864197530864196	4	0.3
20	Helicase_C	55	0.0	0.0	0.21818181818181817	1	0.3
21	zf-C4	56	1.0	1.9473684210526316	0.3392857142857143	1	0.3
22	bZIP_1	63	0.631578947368421	2.210526315789474	0.2222222222222222	19	0.3
23	Homeobox	9	1.0	0.125	0.8888888888888888	4	0.3
24	RRM_1	48	1.0	5.857142857142857	0.14583333333333334	1	0.2
25	HLH	49	0.8823529411764706	1.3931888544891642	0.3877551020408163	17	0.2
