	RF	ADA	SVM	Logistic	KNN	XGB
2OG-FeII_Oxy_3_1	0.009	0.498365508472	0.0284556826586	0.0252166611997	0.03	1.19419573821e-05
2OG-FeII_Oxy_3_10	0.011	0.499075206891	0.0275073280535	0.0306346652809	0.02	0.000687522464432
2OG-FeII_Oxy_3_11	0.036	0.499036033777	0.0271761540249	0.0288416103911	0.04	0.000706219463609
2OG-FeII_Oxy_3_12	0.028	0.49823831683	0.0307075208433	0.0156759910204	0.04	0.00021046322945
2OG-FeII_Oxy_3_14	0.014	0.49854762314	0.0286122269652	0.0311424205716	0.04	0.000444045203039
2OG-FeII_Oxy_3_15	0.428	0.49977400171	0.769047757581	0.0193330142654	0.34	0.631700098515
2OG-FeII_Oxy_3_16	0.024	0.498753325237	0.0281731171118	0.0196653525816	0.02	0.000341445731465
2OG-FeII_Oxy_3_17	0.172	0.499266075103	0.060213824223	0.0293261742332	0.25	0.021190745756
2OG-FeII_Oxy_3_18	0.018	0.498870413742	0.0279766700039	0.0261234184289	0.03	0.000660073652398
2OG-FeII_Oxy_3_2	0.046	0.498260385691	0.0298420476272	0.0147125004533	0.02	0.000191780447494
2OG-FeII_Oxy_3_26	0.025	0.499001120178	0.0265136607164	0.0176253797539	0.01	0.00404732581228
2OG-FeII_Oxy_3_27	0.034	0.498235787705	0.0282132777814	0.0305568253893	0.05	0.000185451950529
2OG-FeII_Oxy_3_29	0.076	0.498755598998	0.0205716082291	0.0196141530153	0.04	0.000776211963966
2OG-FeII_Oxy_3_3	0.008	0.497485223597	0.0271402509672	0.0207633309095	0.02	5.62019013159e-05
2OG-FeII_Oxy_3_33	0.01	0.498105811116	0.0301078242188	0.0194230415922	0.01	2.26642678172e-05
2OG-FeII_Oxy_3_38	0.004	0.49849857644	0.0242252674917	0.0276499721923	0.0	0.000181818992132
2OG-FeII_Oxy_3_4	0.028	0.498162212863	0.0286132539045	0.0271276332076	0.03	0.000508828088641
2OG-FeII_Oxy_3_44	0.004	0.48065528449	0.0168221427939	0.105886007626	0.0	0.000158250957611
2OG-FeII_Oxy_3_45	0.005	0.490133393149	0.0280467616582	0.119209898878	0.0	0.000109421947855
2OG-FeII_Oxy_3_46	0.032	0.498940204982	0.026684140602	0.0196902843697	0.05	0.000490777834784
2OG-FeII_Oxy_3_47	0.025	0.49845269088	0.0281202056571	0.0229049107086	0.01	8.48451018101e-05
2OG-FeII_Oxy_3_48	0.034	0.499308702978	0.0377793820801	0.0295686947396	0.08	0.0141436681151
2OG-FeII_Oxy_3_49	0.004	0.498545784838	0.0280974132227	0.0237568493971	0.01	5.76754100621e-05
2OG-FeII_Oxy_3_5	0.021	0.497613407101	0.0285356218956	0.027083154448	0.04	0.000164043056429
2OG-FeII_Oxy_3_50	0.011	0.498637770866	0.0264973762474	0.0136248471042	0.01	0.000252360623563
2OG-FeII_Oxy_3_51	0.018	0.499363768716	0.0261056945512	0.0432292258738	0.02	0.0034166588448
2OG-FeII_Oxy_3_52	0.017	0.49837350978	0.0282815571731	0.029545034184	0.01	2.71838507615e-05
2OG-FeII_Oxy_3_53	0.065	0.498893666945	0.0270427024774	0.0375666229045	0.02	0.000125132952235
2OG-FeII_Oxy_3_54	0.022	0.499157174847	0.0289967390988	0.0253586231349	0.01	0.000515159394126
2OG-FeII_Oxy_3_55	0.006	0.498476465415	0.0282780197091	0.0236471078167	0.01	1.05552499008e-05
2OG-FeII_Oxy_3_56	0.011	0.498543144524	0.02835002042	0.0310490826025	0.05	4.75460656162e-05
2OG-FeII_Oxy_3_57	0.008	0.498591309013	0.0263548523186	0.0261498932994	0.02	0.000208656550967
2OG-FeII_Oxy_3_58	0.005	0.499202533307	0.0273474312025	0.0312642198569	0.02	0.00518711376935
2OG-FeII_Oxy_3_59	0.007	0.498717653368	0.0284746850281	0.0262642963683	0.01	3.72253089154e-05
2OG-FeII_Oxy_3_6	0.019	0.498633974435	0.0287841777111	0.0132307130051	0.04	0.000378935452318
2OG-FeII_Oxy_3_60	0.009	0.498809718753	0.0252677212735	0.019668304288	0.03	0.000288835202809
2OG-FeII_Oxy_3_61	0.01	0.497839931398	0.0213227450345	0.0540888986566	0.0	2.69933334494e-05
2OG-FeII_Oxy_3_62	0.011	0.497862575982	0.0229265582715	0.0262608050807	0.01	1.91571416508e-05
