	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	MHC_I	111	0.3333333333333333	0.6666666666666666	0.3333333333333333	3	0.9
1	MHC_II_beta	61	0.6875	1.642361111111111	0.29508196721311475	16	0.9
2	MHC_I	111	0.5	1.0	0.3333333333333333	4	0.8
3	RRM_1	28	0.0	0.0	0.07142857142857142	1	0.8
4	MHC_II_beta	61	0.6111111111111112	1.4598765432098766	0.29508196721311475	18	0.8
5	MHC_I	111	0.6	1.2	0.3333333333333333	5	0.7
6	RRM_1	28	0.0	0.0	0.07142857142857142	1	0.7
7	MHC_II_beta	61	0.6	1.4333333333333331	0.29508196721311475	20	0.7
8	MHC_I	111	0.6	1.2	0.3333333333333333	5	0.6
9	RRM_1	28	0.0	0.0	0.07142857142857142	1	0.6
10	UQ_con	129	0.0	0.0	0.05426356589147287	1	0.6
11	MHC_II_beta	61	0.5217391304347826	1.2463768115942029	0.29508196721311475	23	0.6
12	MHC_II_alpha	54	1.0	2.5999999999999996	0.2777777777777778	1	0.5
13	MHC_I	111	0.6666666666666666	1.3333333333333333	0.3333333333333333	6	0.5
14	RRM_1	28	0.0	0.0	0.07142857142857142	2	0.5
15	UQ_con	129	0.0	0.0	0.05426356589147287	1	0.5
16	MHC_II_beta	61	0.48	1.1466666666666665	0.29508196721311475	25	0.5
17	MHC_II_alpha	54	1.0	2.5999999999999996	0.2777777777777778	1	0.4
18	MHC_I	111	0.6666666666666666	1.3333333333333333	0.3333333333333333	6	0.4
19	RRM_1	28	0.0	0.0	0.07142857142857142	2	0.4
20	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.4
21	UQ_con	129	0.0	0.0	0.05426356589147287	1	0.4
22	MHC_II_beta	61	0.48148148148148145	1.1502057613168724	0.29508196721311475	27	0.4
23	MHC_II_alpha	54	1.0	2.5999999999999996	0.2777777777777778	1	0.3
24	MHC_I	111	0.5714285714285714	1.1428571428571428	0.3333333333333333	7	0.3
25	RRM_1	28	0.3333333333333333	4.333333333333333	0.07142857142857142	3	0.3
26	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.3
27	UQ_con	129	0.0	0.0	0.05426356589147287	1	0.3
28	MHC_II_beta	61	0.46875	1.1197916666666665	0.29508196721311475	32	0.3
29	MHC_II_alpha	54	1.0	2.5999999999999996	0.2777777777777778	1	0.2
30	MHC_I	111	0.5555555555555556	1.1111111111111112	0.3333333333333333	9	0.2
31	RRM_1	28	0.25	3.25	0.07142857142857142	4	0.2
32	Peptidase_C14	174	0.0	0.0	0.06321839080459771	1	0.2
33	Adap_comp_sub	248	0.0	0.0	0.008064516129032258	1	0.2
34	Ank_5	37	1.0	6.4	0.13513513513513514	1	0.2
35	UQ_con	129	0.0	0.0	0.05426356589147287	1	0.2
36	MHC_II_beta	61	0.42105263157894735	1.0058479532163742	0.29508196721311475	38	0.2
37	MHC_II_alpha	54	0.5	1.2999999999999998	0.2777777777777778	2	0.1
38	MHC_I	111	0.2857142857142857	0.5714285714285714	0.3333333333333333	21	0.1
39	RRM_1	28	0.1111111111111111	1.4444444444444442	0.07142857142857142	9	0.1
40	Clathrin_propel	24	0.0	0.0	0.08333333333333333	1	0.1
