	name	GA
0	1-cysPrx_C	21.1
1	120_Rick_ant	25.0
2	12TM_1	33.2
3	14-3-3	29.9
4	17kDa_Anti_2	26.6
5	2-Hacid_dh	24.6
6	2-Hacid_dh_C	25.1
7	2-oxoacid_dh	23.0
8	2-oxogl_dehyd_N	27.0
9	2-ph_phosp	26.4
10	23ISL	25.0
11	23S_rRNA_IVP	23.4
12	2CSK_N	22.5
13	2C_adapt	20.1
14	2Fe-2S_Ferredox	25.0
15	2Fe-2S_thioredx	24.8
16	2H-phosphodiest	21.0
17	2HCT	26.2
18	2OG-FeII_Oxy	21.3
19	2OG-FeII_Oxy_2	31.2
20	2OG-FeII_Oxy_3	27.0
21	2OG-FeII_Oxy_4	21.4
22	2OG-FeII_Oxy_5	27.0
23	2OG-Fe_Oxy_2	23.1
24	2TM	24.8
25	2_5_RNA_ligase2	27.0
26	3-alpha	22.7
27	3-dmu-9_3-mt	21.1
28	3-HAO	20.4
29	3-PAP	23.2
30	30K_MP_core	25.0
31	30K_MP_C_Ter	25.0
32	3A	25.0
33	3Beta_HSD	22.0
34	3D	23.8
35	3H	25.0
36	3HBOH	27.0
37	3HCDH	21.6
38	3HCDH_N	22.0
39	3HCDH_RFF	23.6
40	40S_S4_C	27.0
41	40S_SA_C	25.0
42	4F5	22.3
43	4HB	26.1
44	4HBT	20.6
45	4HBT_2	25.5
46	4HBT_3	27.0
47	4HB_MCP_1	27.0
48	4HFCP_synth	21.2
49	4HPAD_g_N	25.0
50	4PPT_N	27.0
51	4_1_CTD	25.0
52	5-FTHF_cyc-lig	20.9
53	5-nucleotidase	25.4
54	53-BP1_Tudor	20.5
55	5HT_transport_N	20.3
56	5TM-5TMR_LYT	23.1
57	5_3_exonuc	40.0
58	5_3_exonuc_N	34.3
59	5_nucleotid	28.5
60	5_nucleotid_C	23.6
61	60KD_IMP	34.9
62	6PF2K	21.7
63	6PGD	20.4
64	7kD_DNA_binding	25.0
65	7TM-7TMR_HD	29.4
66	7TMR-DISMED2	21.3
67	7TMR-DISM_7TM	27.5
68	7TMR-HDED	24.9
69	7tm_1	30.5
70	7tm_2	20.6
71	7tm_3	28.5
72	7tm_4	27.0
73	7tm_6	25.8
74	7tm_7	26.6
75	7TM_GPCR_Sra	20.9
76	7TM_GPCR_Srab	20.1
77	7TM_GPCR_Srb	21.7
78	7TM_GPCR_Srbc	21.3
79	7TM_GPCR_Srd	22.8
80	7TM_GPCR_Srh	25.0
81	7TM_GPCR_Sri	21.7
82	7TM_GPCR_Srj	24.1
83	7TM_GPCR_Srsx	20.4
84	7TM_GPCR_Srt	21.0
85	7TM_GPCR_Sru	26.0
86	7TM_GPCR_Srv	20.3
87	7TM_GPCR_Srw	22.2
88	7TM_GPCR_Srx	20.4
89	7TM_GPCR_Srz	21.3
90	7TM_GPCR_Str	21.8
91	7TM_transglut	25.0
92	8TM_micro	25.0
93	A-2_8-polyST	24.5
94	A1_Propeptide	20.5
95	A2L_zn_ribbon	22.9
96	A2M	21.0
97	A2M_BRD	22.7
98	A2M_recep	21.7
99	AAA	21.2
100	AAA-ATPase_like	26.1
101	AAA_10	27.5
102	AAA_11	27.0
103	AAA_12	27.0
104	AAA_13	34.9
105	AAA_14	27.0
106	AAA_15	32.1
107	AAA_16	32.6
108	AAA_17	27.0
109	AAA_18	29.4
110	AAA_19	25.1
111	AAA_2	20.6
112	AAA_21	27.0
113	AAA_22	27.0
114	AAA_23	27.0
115	AAA_24	27.0
116	AAA_25	27.0
117	AAA_26	27.0
118	AAA_27	21.4
119	AAA_28	27.0
120	AAA_29	27.0
121	AAA_3	21.1
122	AAA_30	27.0
123	AAA_31	27.0
124	AAA_32	25.9
125	AAA_33	27.0
126	AAA_34	27.0
127	AAA_35	27.0
128	AAA_5	21.3
129	AAA_6	25.2
130	AAA_7	25.8
131	AAA_8	25.6
132	AAA_9	27.4
133	AAA_assoc	26.4
134	AAA_assoc_2	34.3
135	AAA_assoc_C	27.6
136	AAA_lid_1	21.3
137	AAA_lid_10	23.2
138	AAA_lid_11	31.0
139	AAA_lid_2	22.7
140	AAA_lid_3	27.0
141	AAA_lid_4	20.5
