	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	His_Phos_1	153	1.0	152.0	0.006535947712418301	1	0.9
1	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.9
2	TFIIS_C	25	1.0	5.25	0.16	4	0.9
3	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.9
4	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	5	0.9
5	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	1	0.9
6	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.9
7	BIR	60	1.0	14.0	0.06666666666666667	1	0.9
8	zf-MYND	38	1.0	3.75	0.21052631578947367	7	0.9
9	C1_1	42	1.0	4.25	0.19047619047619047	8	0.9
10	FG-GAP	16	1.0	3.0	0.25	1	0.9
11	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.9
12	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.9
13	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.9
14	FYVE	64	1.0	7.0	0.125	8	0.9
15	Prok-RING_4	16	1.0	1.0	0.5	7	0.9
16	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.9
17	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.9
18	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.9
19	HMA	54	1.0	26.0	0.037037037037037035	1	0.9
20	Peptidase_C1	197	0.0	0.0	0.015228426395939087	1	0.9
21	CUB	93	1.0	30.0	0.03225806451612903	1	0.9
22	zf-AN1	40	0.875	3.5	0.2	8	0.9
23	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.9
24	Ldl_recept_a	13	1.0	5.5	0.15384615384615385	1	0.9
25	LIM	35	1.0	2.5	0.2857142857142857	2	0.9
26	TSP_3	29	0.6666666666666666	1.4814814814814814	0.3103448275862069	3	0.9
27	zf-B_box	40	1.0	4.0	0.2	3	0.9
28	His_Phos_1	153	1.0	152.0	0.006535947712418301	1	0.8
29	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.8
30	TFIIS_C	25	1.0	5.25	0.16	4	0.8
31	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.8
32	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	5	0.8
33	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	2	0.8
34	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.8
35	BIR	60	1.0	14.0	0.06666666666666667	1	0.8
36	zf-MYND	38	1.0	3.75	0.21052631578947367	7	0.8
37	C1_1	42	1.0	4.25	0.19047619047619047	8	0.8
38	FG-GAP	16	1.0	3.0	0.25	2	0.8
39	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.8
40	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.8
41	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.8
42	FYVE	64	1.0	7.0	0.125	8	0.8
43	Prok-RING_4	16	1.0	1.0	0.5	7	0.8
44	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.8
45	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.8
46	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.8
47	THAP	89	1.0	13.833333333333334	0.06741573033707865	1	0.8
48	HMA	54	1.0	26.0	0.037037037037037035	1	0.8
49	Peptidase_C1	197	0.0	0.0	0.015228426395939087	1	0.8
50	CUB	93	1.0	30.0	0.03225806451612903	1	0.8
51	VWA_2	87	0.0	0.0	0.011494252873563218	1	0.8
52	zf-AN1	40	0.875	3.5	0.2	8	0.8
53	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.8
54	Ldl_recept_a	13	1.0	5.5	0.15384615384615385	1	0.8
55	LIM	35	1.0	2.5	0.2857142857142857	2	0.8
56	HlyIII	220	0.0	0.0	0.004545454545454545	1	0.8
57	TSP_3	29	0.8571428571428571	1.9047619047619047	0.3103448275862069	7	0.8
58	ArfGap	108	1.0	26.0	0.037037037037037035	2	0.8
59	zf-B_box	40	1.0	4.0	0.2	6	0.8
60	Disintegrin	71	0.0	0.0	0.09859154929577464	1	0.8
61	His_Phos_1	153	1.0	152.0	0.006535947712418301	1	0.7
62	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.7
63	TFIIS_C	25	1.0	5.25	0.16	4	0.7
64	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.7
65	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	5	0.7
66	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	2	0.7
67	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.7
68	BIR	60	1.0	14.0	0.06666666666666667	1	0.7
69	zf-MYND	38	1.0	3.75	0.21052631578947367	8	0.7
70	C1_1	42	1.0	4.25	0.19047619047619047	8	0.7
71	FG-GAP	16	1.0	3.0	0.25	2	0.7
72	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.7
73	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.7
74	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.7
75	FYVE	64	1.0	7.0	0.125	8	0.7
76	Prok-RING_4	16	1.0	1.0	0.5	7	0.7
77	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	5	0.7
78	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.7
79	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.7
80	THAP	89	1.0	13.833333333333334	0.06741573033707865	1	0.7
81	HMA	54	1.0	26.0	0.037037037037037035	1	0.7
82	Peptidase_C1	197	0.0	0.0	0.015228426395939087	1	0.7
83	CUB	93	1.0	30.0	0.03225806451612903	1	0.7
84	VWA_2	87	0.0	0.0	0.011494252873563218	1	0.7
85	zf-AN1	40	0.875	3.5	0.2	8	0.7
86	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.7
87	Ldl_recept_a	13	1.0	5.5	0.15384615384615385	1	0.7
88	LIM	35	1.0	2.5	0.2857142857142857	2	0.7
89	HlyIII	220	0.0	0.0	0.004545454545454545	2	0.7
90	TSP_3	29	0.875	1.9444444444444444	0.3103448275862069	8	0.7
91	ArfGap	108	1.0	26.0	0.037037037037037035	2	0.7
92	zf-B_box	40	1.0	4.0	0.2	8	0.7
93	Disintegrin	71	0.0	0.0	0.09859154929577464	1	0.7
94	His_Phos_1	153	1.0	152.0	0.006535947712418301	1	0.6
95	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	6	0.6
96	TFIIS_C	25	1.0	5.25	0.16	4	0.6
97	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.6
98	Kelch_1	43	0.0	0.0	0.023255813953488372	1	0.6
99	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	5	0.6
100	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	2	0.6
101	Metallophos	116	1.0	22.2	0.04310344827586207	2	0.6
102	BIR	60	1.0	14.0	0.06666666666666667	1	0.6
103	zf-MYND	38	1.0	3.75	0.21052631578947367	8	0.6
104	C1_1	42	1.0	4.25	0.19047619047619047	8	0.6
105	WD40	29	0.0	0.0	0.06896551724137931	1	0.6
106	FG-GAP	16	1.0	3.0	0.25	2	0.6
107	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.6
108	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.6
109	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.6
110	FYVE	64	0.8888888888888888	6.222222222222222	0.125	9	0.6
111	Prok-RING_4	16	1.0	1.0	0.5	7	0.6
112	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	5	0.6
113	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.6
114	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.6
115	THAP	89	1.0	13.833333333333334	0.06741573033707865	1	0.6
116	HMA	54	1.0	26.0	0.037037037037037035	1	0.6
117	Peptidase_C1	197	0.0	0.0	0.015228426395939087	1	0.6
118	CUB	93	1.0	30.0	0.03225806451612903	1	0.6
119	VWA_2	87	0.0	0.0	0.011494252873563218	1	0.6
120	zf-AN1	40	0.875	3.5	0.2	8	0.6
121	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.6
122	Ldl_recept_a	13	1.0	5.5	0.15384615384615385	1	0.6
123	LIM	35	1.0	2.5	0.2857142857142857	4	0.6
124	HlyIII	220	0.0	0.0	0.004545454545454545	2	0.6
125	zf-C4	54	1.0	5.0	0.16666666666666666	1	0.6
126	TSP_3	29	0.875	1.9444444444444444	0.3103448275862069	8	0.6
127	ArfGap	108	1.0	26.0	0.037037037037037035	2	0.6
128	zf-B_box	40	1.0	4.0	0.2	8	0.6
129	Disintegrin	71	0.0	0.0	0.09859154929577464	2	0.6
130	His_Phos_1	153	1.0	152.0	0.006535947712418301	1	0.5
131	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	6	0.5
132	Glyco_transf_7C	76	0.0	0.0	0.013157894736842105	1	0.5
133	Gla	39	0.0	0.0	0.3076923076923077	1	0.5
134	TFIIS_C	25	1.0	5.25	0.16	4	0.5
