	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	zf-CCHC	11	1.0	1.2	0.45454545454545453	1	0.9
1	zf-AN1	40	1.0	4.0	0.2	1	0.9
2	LIM	35	1.0	2.5	0.2857142857142857	3	0.9
3	TSP_3	29	1.0	2.2222222222222223	0.3103448275862069	1	0.9
4	GATA	35	1.0	2.888888888888889	0.2571428571428571	1	0.9
5	C1_1	42	1.0	4.25	0.19047619047619047	3	0.9
6	zf-MYND	38	1.0	3.75	0.21052631578947367	4	0.9
7	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	2	0.9
8	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.9
9	zf-CCCH	18	1.0	3.5	0.2222222222222222	3	0.9
10	zf-CXXC	41	1.0	4.125	0.1951219512195122	1	0.8
11	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.8
12	zf-AN1	40	1.0	4.0	0.2	6	0.8
13	LIM	35	1.0	2.5	0.2857142857142857	4	0.8
14	TSP_3	29	0.8333333333333334	1.8518518518518519	0.3103448275862069	6	0.8
15	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.8
16	C1_1	42	1.0	4.25	0.19047619047619047	6	0.8
17	ArfGap	108	1.0	26.0	0.037037037037037035	2	0.8
18	zf-MYND	38	1.0	3.75	0.21052631578947367	4	0.8
19	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.8
20	FYVE	64	1.0	7.0	0.125	3	0.8
21	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.8
22	Prok-RING_4	16	1.0	1.0	0.5	1	0.8
23	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.8
24	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.7
25	zf-CXXC	41	1.0	4.125	0.1951219512195122	4	0.7
26	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	3	0.7
27	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.7
28	zf-AN1	40	1.0	4.0	0.2	7	0.7
29	LIM	35	1.0	2.5	0.2857142857142857	4	0.7
30	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	3	0.7
31	TSP_3	29	0.8571428571428571	1.9047619047619047	0.3103448275862069	7	0.7
32	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.7
33	BIR	60	1.0	14.0	0.06666666666666667	1	0.7
34	C1_1	42	1.0	4.25	0.19047619047619047	6	0.7
35	zf-B_box	40	1.0	4.0	0.2	4	0.7
36	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.7
37	ArfGap	108	1.0	26.0	0.037037037037037035	2	0.7
38	Peptidase_C1	197	0.0	0.0	0.015228426395939087	2	0.7
39	zf-MYND	38	1.0	3.75	0.21052631578947367	4	0.7
40	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	2	0.7
41	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.7
42	Disintegrin	71	0.0	0.0	0.09859154929577464	1	0.7
43	NTP_transf_2	79	1.0	38.5	0.02531645569620253	2	0.7
44	FYVE	64	1.0	7.0	0.125	7	0.7
45	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.7
46	Prok-RING_4	16	1.0	1.0	0.5	2	0.7
47	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.7
48	Neur_chan_LBD	199	0.0	0.0	0.01507537688442211	2	0.6
49	Kunitz_BPTI	38	0.0	0.0	0.05263157894736842	1	0.6
50	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.6
51	Ldl_recept_a	13	0.0	0.0	0.15384615384615385	1	0.6
52	zf-CXXC	41	1.0	4.125	0.1951219512195122	6	0.6
53	Notch	30	0.0	0.0	0.13333333333333333	2	0.6
54	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	3	0.6
55	Gla	39	0.0	0.0	0.3076923076923077	1	0.6
56	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.6
57	zf-AN1	40	1.0	4.0	0.2	8	0.6
58	LIM	35	1.0	2.5	0.2857142857142857	6	0.6
59	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	4	0.6
60	TSP_3	29	0.8571428571428571	1.9047619047619047	0.3103448275862069	7	0.6
61	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.6
62	BIR	60	1.0	14.0	0.06666666666666667	1	0.6
63	C1_1	42	1.0	4.25	0.19047619047619047	6	0.6
64	zf-B_box	40	1.0	4.0	0.2	5	0.6
65	Metallophos	116	1.0	22.2	0.04310344827586207	2	0.6
66	ArfGap	108	0.8	20.8	0.037037037037037035	5	0.6
67	Peptidase_C1	197	0.0	0.0	0.015228426395939087	2	0.6
68	zf-MYND	38	1.0	3.75	0.21052631578947367	6	0.6
69	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	3	0.6
70	TFIIS_C	25	1.0	5.25	0.16	2	0.6
71	Exo_endo_phos	188	0.5	93.5	0.005319148936170213	2	0.6
72	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.6
73	Disintegrin	71	0.0	0.0	0.09859154929577464	2	0.6
74	NTP_transf_2	79	1.0	38.5	0.02531645569620253	2	0.6
75	FYVE	64	1.0	7.0	0.125	8	0.6
76	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.6
77	Prok-RING_4	16	1.0	1.0	0.5	3	0.6
78	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.6
79	Neur_chan_LBD	199	0.0	0.0	0.01507537688442211	2	0.5
80	E1-E2_ATPase	179	0.0	0.0	0.0111731843575419	1	0.5
81	Hydrolase	153	1.0	75.5	0.013071895424836602	2	0.5
82	Kunitz_BPTI	38	0.0	0.0	0.05263157894736842	1	0.5
83	Rhodanese	101	0.0	0.0	0.0297029702970297	1	0.5
84	FG-GAP	16	1.0	3.0	0.25	3	0.5
85	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.5
86	Ldl_recept_a	13	0.5	2.75	0.15384615384615385	2	0.5
87	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.5
88	Notch	30	0.0	0.0	0.13333333333333333	2	0.5
89	Peptidase_M14	235	0.3333333333333333	38.83333333333333	0.00851063829787234	3	0.5
90	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	5	0.5
91	Gla	39	0.0	0.0	0.3076923076923077	1	0.5
92	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.5
93	EF-hand_6	5	1.0	0.25	0.8	1	0.5
94	zf-AN1	40	1.0	4.0	0.2	8	0.5
95	His_Phos_1	153	1.0	152.0	0.006535947712418301	1	0.5
96	LIM	35	1.0	2.5	0.2857142857142857	7	0.5
97	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	6	0.5
98	TSP_3	29	0.875	1.9444444444444444	0.3103448275862069	8	0.5
99	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.5
100	BIR	60	1.0	14.0	0.06666666666666667	2	0.5
101	C1_1	42	1.0	4.25	0.19047619047619047	7	0.5
102	zf-B_box	40	1.0	4.0	0.2	5	0.5
103	Metallophos	116	1.0	22.2	0.04310344827586207	3	0.5
104	ArfGap	108	0.8	20.8	0.037037037037037035	5	0.5
105	Peptidase_C1	197	0.0	0.0	0.015228426395939087	3	0.5
106	zf-MYND	38	1.0	3.75	0.21052631578947367	6	0.5
107	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	3	0.5
108	HMA	54	1.0	26.0	0.037037037037037035	1	0.5
109	TFIIS_C	25	1.0	5.25	0.16	4	0.5
110	Exo_endo_phos	188	0.5	93.5	0.005319148936170213	2	0.5
111	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.5
112	Disintegrin	71	0.0	0.0	0.09859154929577464	3	0.5
113	NTP_transf_2	79	1.0	38.5	0.02531645569620253	2	0.5
114	zf-H2C2_2	13	1.0	2.25	0.3076923076923077	2	0.5
115	FYVE	64	1.0	7.0	0.125	8	0.5
116	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.5
117	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	2	0.5
118	Prok-RING_4	16	1.0	1.0	0.5	7	0.5
119	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.5
120	Neur_chan_LBD	199	0.0	0.0	0.01507537688442211	2	0.4
121	E1-E2_ATPase	179	0.0	0.0	0.0111731843575419	1	0.4
122	FGF	106	0.0	0.0	0.009433962264150943	1	0.4
123	Glyco_transf_7C	76	0.0	0.0	0.013157894736842105	1	0.4
124	Hydrolase	153	1.0	75.5	0.013071895424836602	2	0.4
125	Kunitz_BPTI	38	0.0	0.0	0.05263157894736842	1	0.4
126	Rhodanese	101	0.0	0.0	0.0297029702970297	1	0.4
127	FG-GAP	16	1.0	3.0	0.25	3	0.4
128	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.4
129	Ldl_recept_a	13	0.5	2.75	0.15384615384615385	2	0.4
130	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.4
131	Notch	30	0.5	3.25	0.13333333333333333	4	0.4
132	Cpn60_TCP1	462	1.0	461.0	0.0021645021645021645	1	0.4
133	Peptidase_M14	235	0.3333333333333333	38.83333333333333	0.00851063829787234	3	0.4
134	Pre-SET	82	0.8333333333333334	6.7592592592592595	0.10975609756097561	6	0.4
135	Gla	39	0.8	1.8000000000000003	0.3076923076923077	5	0.4
136	WD40	29	0.0	0.0	0.06896551724137931	2	0.4
137	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.4
138	EF-hand_6	5	1.0	0.25	0.8	1	0.4
139	zf-AN1	40	1.0	4.0	0.2	8	0.4
140	His_Phos_1	153	0.5	76.0	0.006535947712418301	2	0.4
141	LIM	35	1.0	2.5	0.2857142857142857	7	0.4
