,number,count,name,domains
1,5515,58,protein binding,zf-RING_2.zf-RING_5.TIG.EGF.Kazal_2.Kazal_1.Spectrin.Bromodomain.WW.PHD.Arm.SH3_9.Ank_3.fn3.Kelch_2.Kelch_1.F-box-like.SH3_1.F-box.Ig_2.Ldl_recept_a.WD40.C2.CH.PDZ.LRR_8.TPR_1.SPRY.Ank.ubiquitin.IQ.BTB.SAM_1.SAM_2.VWC.HLH.Ank_2.Ank_4.Ank_5.C2-set_2.Ig_3.Kelch_3.Kelch_4.Kelch_6.LRR_4.LRR_5.Ldl_recept_b.SH3_2.TPR_12.TPR_2.ig.zf-C2H2_4.zf-C3HC4_2.zf-C3HC4_3.zf-C3HC4_4.zf-H2C2_5.zf-RING_UBOX.zf-met
2,5509,14,calcium ion binding,Annexin.Cadherin.EF-hand_1.EF-hand_5.EF-hand_7.EF-hand_6.EF-hand_8.EGF_CA.Cadherin_2.Cadherin_3.Cadherin_C_2.Cadherin_tail.EGF_2.EGF_3
3,5524,7,ATP binding,DEAD.AAA_5.Pkinase.ABC_membrane.ABC_tran.ResIII.AAA
4,46872,31,metal ion binding,zf-C2H2.zf-CCCH.zf-H2C2_2.zf-C2H2_6.zf-C3HC4.Annexin.Cadherin.EF-hand_1.EF-hand_5.EF-hand_7.EF-hand_6.EF-hand_8.EGF_CA.zf-RING_2.zf-RING_5.LIM.zf-B_box.p450.Cadherin_2.Cadherin_3.Cadherin_C_2.Cadherin_tail.EGF_2.EGF_3.zf-C2H2_4.zf-C3HC4_2.zf-C3HC4_3.zf-C3HC4_4.zf-H2C2_5.zf-RING_UBOX.zf-met
5,6355,5,"regulation of transcription, DNA-templated",KRAB.Forkhead.Homeobox_KN.SCAN.Hormone_recep
6,5525,4,GTP binding,Ras.Arf.Roc.MMR_HSR1
7,8270,11,zinc ion binding,zf-RING_2.zf-RING_5.LIM.zf-B_box.zf-C2H2_4.zf-C3HC4_2.zf-C3HC4_3.zf-C3HC4_4.zf-H2C2_5.zf-RING_UBOX.zf-met
8,3677,5,DNA binding,Histone.Homeobox.Homeobox_KN.ResIII.Forkhead
9,16021,6,integral component of membrane,MFS_1.7tm_1.ABC_membrane.TAS2R.7TM_GPCR_Srsx.7tm_4
10,16020,14,membrane,SRCR.Ion_trans.Cadherin.MFS_1.7tm_1.ABC_membrane.TAS2R.7TM_GPCR_Srsx.7tm_4.Cadherin_2.Cadherin_3.Cadherin_C_2.Cadherin_tail.Ion_trans_2
11,55085,4,transmembrane transport,Ion_trans.MFS_1.ABC_membrane.Ion_trans_2
12,3676,9,nucleic acid binding,DEAD.KRAB.RRM_1.Histone.Homeobox.Homeobox_KN.ResIII.KH_1.Forkhead
13,7186,4,G-protein coupled receptor signaling pathway,7tm_1.TAS2R.7TM_GPCR_Srsx.7tm_4
14,3700,2,"transcription factor activity, sequence-specific DNA binding",Forkhead.SCAN
15,4672,2,protein kinase activity,Pkinase_Tyr.Pkinase
16,7264,3,small GTPase mediated signal transduction,Ras.Roc.RhoGEF
17,4930,4,G-protein coupled receptor activity,7tm_1.TAS2R.7TM_GPCR_Srsx.7tm_4
18,6468,2,protein phosphorylation,Pkinase_Tyr.Pkinase
19,5622,5,intracellular,KRAB.zf-B_box.Plectin.Filament.Keratin_B2_2
20,16887,3,ATPase activity,AAA_5.ABC_tran.ABC_membrane
21,5506,1,iron ion binding,p450
22,16705,1,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",p450
23,43401,1,steroid hormone mediated signaling pathway,Hormone_recep
24,42626,1,"ATPase activity, coupled to transmembrane movement of substances",ABC_membrane
25,43565,1,sequence-specific DNA binding,Forkhead
26,16787,8,hydrolase activity,ResIII.UCH.ABC_membrane.Trypsin.AAA_5.ABC_tran.Y_phosphatase.UCH_1
27,6810,4,transport,ABC_membrane.Ion_trans.MFS_1.Ion_trans_2
28,6811,2,ion transport,Ion_trans.Ion_trans_2
29,4252,1,serine-type endopeptidase activity,Trypsin
30,45095,1,keratin filament,Keratin_B2_2
31,5544,1,calcium-dependent phospholipid binding,Annexin
32,46983,1,protein dimerization activity,HLH
33,50909,1,sensory perception of taste,TAS2R
34,5044,1,scavenger receptor activity,SRCR
35,51260,1,protein homooligomerization,BTB_2
36,3723,1,RNA binding,KH_1
37,20037,1,heme binding,p450
38,6470,1,protein dephosphorylation,Y_phosphatase
39,55114,1,oxidation-reduction process,p450
40,35023,1,regulation of Rho protein signal transduction,RhoGEF
41,5856,3,cytoskeleton,Plectin.Filament.Keratin_B2_2
42,5198,1,structural molecule activity,Filament
43,5216,2,ion channel activity,Ion_trans.Ion_trans_2
44,5089,1,Rho guanyl-nucleotide exchange factor activity,RhoGEF
45,35556,5,intracellular signal transduction,C1_1.Ras.Roc.RhoGEF.C1-set
46,16579,2,protein deubiquitination,UCH.UCH_1
47,36459,2,thiol-dependent ubiquitinyl hydrolase activity,UCH.UCH_1
48,6508,3,proteolysis,Trypsin.UCH.UCH_1
49,7156,5,homophilic cell adhesion via plasma membrane adhesion molecules,Cadherin.Cadherin_2.Cadherin_3.Cadherin_C_2.Cadherin_tail
50,4725,1,protein tyrosine phosphatase activity,Y_phosphatase
51,5882,2,intermediate filament,Filament.Keratin_B2_2
52,7165,11,signal transduction,RhoGAP.7tm_1.TAS2R.C1_1.Ras.Roc.Hormone_recep.RhoGEF.7TM_GPCR_Srsx.7tm_4.C1-set
53,5488,97,binding,zf-RING_2.zf-RING_5.TIG.EGF.Kazal_2.Kazal_1.Spectrin.Bromodomain.WW.PHD.Arm.SH3_9.Ank_3.fn3.Kelch_2.Kelch_1.F-box-like.SH3_1.F-box.Ig_2.Ldl_recept_a.WD40.C2.CH.PDZ.LRR_8.TPR_1.SPRY.Ank.ubiquitin.IQ.BTB.SAM_1.SAM_2.VWC.HLH.DEAD.KRAB.RRM_1.Histone.Homeobox.Homeobox_KN.ResIII.KH_1.Forkhead.p450.zf-C2H2.zf-CCCH.zf-H2C2_2.zf-C2H2_6.zf-C3HC4.Annexin.Cadherin.EF-hand_1.EF-hand_5.EF-hand_7.EF-hand_6.EF-hand_8.EGF_CA.LIM.zf-B_box.AAA_5.Pkinase.ABC_membrane.ABC_tran.Ras.Arf.Roc.MMR_HSR1.Ank_2.Ank_4.Ank_5.C2-set_2.Cadherin_2.Cadherin_3.Cadherin_C_2.Cadherin_tail.EGF_2.EGF_3.Ig_3.Kelch_3.Kelch_4.Kelch_6.LRR_4.LRR_5.Ldl_recept_b.SH3_2.TPR_12.TPR_2.ig.zf-C2H2_4.zf-C3HC4_2.zf-C3HC4_3.zf-C3HC4_4.zf-H2C2_5.zf-RING_UBOX.zf-met
54,32550,11,purine ribonucleoside binding,DEAD.AAA_5.Pkinase.ABC_membrane.ABC_tran.ResIII.AAA.Ras.Arf.Roc.MMR_HSR1
55,32559,7,adenyl ribonucleotide binding,DEAD.AAA_5.Pkinase.ABC_membrane.ABC_tran.ResIII.AAA
