	sim_dom1	sim_dom2	prob1	pval1	score1	aligned_cols1	ident_perc1	prob2	pval2	score2	aligned_cols2	ident_perc2	score_norm1	score_norm2
0	2OG-FeII_Oxy_3	2OG-FeII_Oxy_4	99.52	2.5e-20	85.05	82	24	99.52	2.7999999999999997e-20	84.19	82	24	1.0371951219512194	1.0267073170731706
1	2OG-FeII_Oxy_4	2OG-FeII_Oxy	88.08	5.4000000000000005e-05	22.3	19	21	91.15	2.3e-05	23.65	20	20	1.1736842105263159	1.1824999999999999
2	PhyH	TauD	80.12	3.9e-05	32.35	26	23	79.83	3.8e-05	33.6	26	23	1.2442307692307693	1.2923076923076924
3	PhyH	Asp_Arg_Hydrox	75.87	4.8e-05	29.08	30	23	73.13	5.9999999999999995e-05	29.78	29	24	0.9693333333333333	1.026896551724138
4	Pirin	Cupin_4	90.46	2.6000000000000002e-05	29.88	24	21	82.4	0.00013000000000000002	28.56	24	21	1.2449999999999999	1.19
5	Pirin	PMI_typeI	60.96	0.00022	26.33	22	23	33.3	0.001	25.04	22	23	1.1968181818181818	1.1381818181818182
6	Pirin	3-HAO	96.93	6.3e-09	42.14	56	20	96.81	9.6e-09	42.5	56	20	0.7525000000000001	0.7589285714285714
7	PMI_typeI	Cupin_8	74.59	9.1e-05	37.62	24	21	76.55	7.8e-05	37.04	25	20	1.5675	1.4816
8	PMI_typeI	ARD	41.3	0.00088	27.69	22	23	68.67	0.00016999999999999999	30.25	22	23	1.2586363636363638	1.375
9	FTO_NTD	Cupin_4	62.06	0.0006	32.27	19	26	65.77	0.0009	29.99	18	22	1.698421052631579	1.666111111111111
10	Cupin_4	HgmA	66.96	0.00027	35.12	24	21	66.31	0.00025	36.93	24	21	1.4633333333333332	1.53875
11	Cupin_8	ARD	90.75	6.3e-05	32.35	27	22	93.6	1.1e-05	35.21	27	22	1.1981481481481482	1.3040740740740742
12	Cupin_8	HgmA	49.23	0.00064	32.13	27	22	49.96	0.00056	34.0	27	22	1.1900000000000002	1.2592592592592593
13	Thioesterase	Lipase_3	97.24	8.1e-10	46.88	36	28	96.22	5e-08	44.39	39	26	1.3022222222222224	1.1382051282051282
14	Esterase	Abhydrolase_6	97.84	4.1e-11	59.97	16	56	97.78	6.9e-11	57.54	16	56	3.748125	3.59625
15	Esterase	Lipase_3	95.55	6.6e-07	37.84	22	23	94.43	3.2e-06	36.63	22	23	1.7200000000000002	1.665
16	Lipase_3	Abhydrolase_2	95.46	2.5e-07	41.48	40	20	96.42	2.8e-08	42.25	39	21	1.037	1.0833333333333333
17	Lipase_3	COesterase	77.6	0.00011	32.93	23	22	80.14	7.3e-05	35.55	23	22	1.4317391304347826	1.5456521739130433
18	Lipase_3	Lipase	95.38	2.5e-07	46.13	40	23	94.91	4.9e-07	46.79	40	23	1.15325	1.16975
19	Lipase_3	Abhydrolase_3	95.74	1.7e-07	41.91	39	23	96.65	1.4e-08	42.87	39	23	1.0746153846153845	1.0992307692307692
20	COesterase	Abhydrolase_3	98.16	3.8e-13	89.98	108	24	98.68	3.4e-15	85.29	108	24	0.8331481481481482	0.7897222222222223
21	Abhydrolase_6	Abhydrolase_3	98.68	3.9e-14	71.59	79	22	99.13	8e-17	82.77	80	21	0.9062025316455696	1.034625
22	Abhydrolase_1	Abhydrolase_3	99.42	8.3e-19	110.9	95	21	99.61	4.8e-21	110.69	95	21	1.1673684210526316	1.1651578947368422
23	Ribosom_S12_S23	eIF-1a	84.04	5.3e-05	25.89	33	30	85.08	5.5e-05	24.03	33	30	0.7845454545454545	0.7281818181818183
24	eIF-1a	Ribosomal_S17	53.35	0.00079	16.89	12	33	74.08	0.00026000000000000003	19.07	12	33	1.4075	1.5891666666666666
25	SSB	tRNA_anti-codon	95.49	8.9e-07	28.39	33	24	96.28	1.4e-07	30.14	32	25	0.8603030303030303	0.941875
26	tRNA_anti-codon	MCM_OB	80.65	0.00015	20.21	19	26	64.6	0.00058	19.16	19	26	1.0636842105263158	1.0084210526315789
27	Guanylate_kin	IIGP	95.14	1.1e-07	45.4	24	33	94.52	2.5e-07	47.84	24	33	1.8916666666666666	1.9933333333333334
28	Guanylate_kin	SMC_N	92.43	2.1000000000000002e-06	45.29	24	38	86.39	1.4000000000000001e-05	47.19	24	38	1.8870833333333332	1.9662499999999998
