	RF	ADA	SVM	Logistic	KNN	XGB
2OG-FeII_Oxy_3_1	0.0	0.492988792075	0.00391581697517	0.00303050996298	0.0	1.10277892418e-06
2OG-FeII_Oxy_3_10	0.003	0.494266269617	0.0169110628473	0.00325345002676	0.01	9.84134112514e-06
2OG-FeII_Oxy_3_11	0.004	0.493810029478	0.00596297628221	0.00413426363212	0.0	4.71783732792e-06
2OG-FeII_Oxy_3_12	0.006	0.492608224297	0.00606392918173	0.00263674318605	0.0	2.20502388402e-05
2OG-FeII_Oxy_3_13	0.0	0.492533847533	0.00716694600208	0.00367618717809	0.0	4.19895559389e-06
2OG-FeII_Oxy_3_14	0.0	0.494862597261	0.00219727183822	0.00436713340534	0.0	5.94218226979e-06
2OG-FeII_Oxy_3_15	0.013	0.49624892907	0.00566934111068	0.00364734653759	0.04	2.70014425041e-05
2OG-FeII_Oxy_3_16	0.002	0.49216413172	0.00253345592176	0.00268193715314	0.0	1.82658368431e-06
2OG-FeII_Oxy_3_17	0.009	0.481717425513	0.00767032789653	0.00592621622094	0.0	0.000152677617734
2OG-FeII_Oxy_3_18	0.007	0.497026224819	0.0111822150002	0.00341970571549	0.01	3.86738975067e-05
2OG-FeII_Oxy_3_19	0.008	0.49582983493	0.0119667018594	0.00447150955862	0.01	6.74844432069e-06
2OG-FeII_Oxy_3_2	0.024	0.497447014476	0.0112770372728	0.00175500010249	0.0	1.30406642711e-05
2OG-FeII_Oxy_3_20	0.006	0.476428340895	0.00291526622763	0.0031495995967	0.01	1.5833084035e-06
2OG-FeII_Oxy_3_21	0.001	0.484048347614	0.00666245659448	0.00305987142961	0.0	7.72597161358e-07
2OG-FeII_Oxy_3_22	0.0	0.49402792199	0.00189264702566	0.00283881098821	0.0	1.38744303513e-06
2OG-FeII_Oxy_3_23	0.01	0.492314065423	0.0097955835117	0.00277016638319	0.03	6.97930772731e-06
2OG-FeII_Oxy_3_24	0.001	0.492579331713	0.0036233354176	0.00693120694102	0.0	1.25889891933e-06
2OG-FeII_Oxy_3_25	0.006	0.493528228559	0.00300317962668	0.00129980827586	0.01	2.47907564699e-06
2OG-FeII_Oxy_3_26	0.001	0.497032457347	0.00160637909068	0.00855751072223	0.0	5.29414246557e-05
2OG-FeII_Oxy_3_27	0.005	0.492531462449	0.00342119212049	0.00525486179023	0.0	3.18299044011e-06
2OG-FeII_Oxy_3_28	0.016	0.496241859083	0.00274874126175	0.0012756328145	0.03	3.58572651749e-05
2OG-FeII_Oxy_3_29	0.001	0.488499808544	0.00360190580546	0.00284091180457	0.0	2.91309879685e-06
2OG-FeII_Oxy_3_3	0.003	0.485516901256	0.00927520288435	0.00328108079152	0.0	1.14231615953e-05
2OG-FeII_Oxy_3_30	0.0	0.492571247551	0.0034996631268	0.00285335260268	0.0	5.98636597715e-06
2OG-FeII_Oxy_3_31	0.0	0.493921999042	0.000788889361061	0.0142223954103	0.0	4.19366506321e-06
2OG-FeII_Oxy_3_32	0.001	0.49324348861	0.00642902883459	0.00217598259898	0.0	2.42037117459e-06
2OG-FeII_Oxy_3_33	0.0	0.493076716577	0.0118380416234	0.00254050174992	0.0	5.15682540936e-06
2OG-FeII_Oxy_3_34	0.001	0.494873491976	0.00651510167279	0.00167695462954	0.01	9.14878728508e-06
2OG-FeII_Oxy_3_35	0.001	0.485999710978	0.00304165417132	0.00203404260204	0.0	9.09504342417e-06
2OG-FeII_Oxy_3_36	0.001	0.486754019112	0.00266486677759	0.00306821888225	0.0	2.90773368761e-06
2OG-FeII_Oxy_3_37	0.0	0.496334445991	0.0127844021391	0.0047712556962	0.02	1.76040684892e-05
