	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	zf-CCHC	18	1.0	0.125	0.8888888888888888	2	0.6
1	CSD	64	0.5	0.9545454545454545	0.34375	2	0.6
2	KOW	29	0.8571428571428571	0.3857142857142857	0.6896551724137931	7	0.6
3	LSM	47	0.375	0.8	0.3191489361702128	8	0.6
4	zf-CCHC	18	0.8571428571428571	0.10714285714285714	0.8888888888888888	7	0.5
5	CSD	64	0.4090909090909091	0.7809917355371901	0.34375	22	0.5
6	KOW	29	0.6666666666666666	0.3	0.6896551724137931	24	0.5
7	Ribosomal_S4	61	1.0	0.4186046511627907	0.7049180327868853	2	0.5
8	TPR_17	31	1.0	0.7222222222222222	0.5806451612903226	4	0.5
9	LSM	47	0.22580645161290322	0.48172043010752685	0.3191489361702128	31	0.5
10	zf-CCCH	24	0.5	0.4230769230769231	0.5416666666666666	14	0.5
11	LRR_4	32	0.6666666666666666	2.3809523809523805	0.21875	3	0.4
12	zf-CCHC	18	0.8666666666666667	0.10833333333333334	0.8888888888888888	15	0.4
13	CSD	64	0.26	0.49636363636363634	0.34375	50	0.4
14	KOW	29	0.6896551724137931	0.3103448275862069	0.6896551724137931	29	0.4
15	Ribosomal_S4	61	0.7727272727272727	0.32346723044397463	0.7049180327868853	22	0.4
16	TPR_17	31	1.0	0.7222222222222222	0.5806451612903226	4	0.4
17	LSM	47	0.27906976744186046	0.5953488372093023	0.3191489361702128	43	0.4
18	TPR_1	29	1.0	0.9333333333333333	0.5172413793103449	2	0.4
19	zf-CCCH	24	0.5454545454545454	0.46153846153846145	0.5416666666666666	22	0.4
20	Nop	188	0.2	0.9058823529411766	0.18085106382978725	5	0.3
21	LRR_4	32	0.5	1.7857142857142856	0.21875	8	0.3
22	zf-CCHC	18	0.8823529411764706	0.11029411764705882	0.8888888888888888	17	0.3
23	CSD	64	0.31666666666666665	0.6045454545454545	0.34375	60	0.3
24	KOW	29	0.6896551724137931	0.3103448275862069	0.6896551724137931	29	0.3
25	Ribosomal_S4	61	0.8048780487804879	0.3369256948383438	0.7049180327868853	41	0.3
26	TPR_17	31	1.0	0.7222222222222222	0.5806451612903226	5	0.3
27	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.3
28	dsrm	63	1.0	0.8529411764705883	0.5396825396825397	1	0.3
29	S1	60	0.0	0.0	0.13333333333333333	3	0.3
30	TPR_1	29	0.5833333333333334	0.5444444444444445	0.5172413793103449	12	0.3
31	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.3
32	Nop	188	0.15384615384615385	0.6968325791855204	0.18085106382978725	52	0.2
33	LRR_4	32	0.24	0.857142857142857	0.21875	25	0.2
34	NTP_transf_2	70	0.18181818181818182	0.7972027972027973	0.18571428571428572	11	0.2
35	zf-CCHC	18	0.8888888888888888	0.1111111111111111	0.8888888888888888	18	0.2
36	CSD	64	0.34375	0.65625	0.34375	64	0.2
37	NUDIX	120	0.0	0.0	0.1	2	0.2
38	KOW	29	0.6896551724137931	0.3103448275862069	0.6896551724137931	29	0.2
39	HA2	96	0.0	0.0	0.010416666666666666	2	0.2
40	Anticodon_1	92	0.2222222222222222	0.9135802469135802	0.1956521739130435	9	0.2
41	Ribosomal_S4	61	0.7413793103448276	0.3103448275862069	0.7049180327868853	58	0.2
42	TPR_17	31	0.8	0.5777777777777778	0.5806451612903226	10	0.2
43	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.2
44	LRR_8	52	0.5625	1.1580882352941178	0.3269230769230769	16	0.2
45	dsrm	63	0.8333333333333334	0.7107843137254903	0.5396825396825397	6	0.2
46	S1	60	0.0	0.0	0.13333333333333333	11	0.2
