	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	2	0.9
1	TFIIS_C	25	1.0	5.25	0.16	3	0.9
2	zf-CCHC	11	1.0	1.2	0.45454545454545453	3	0.9
3	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.9
4	zf-MYND	38	1.0	3.75	0.21052631578947367	7	0.9
5	C1_1	42	1.0	4.25	0.19047619047619047	7	0.9
6	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.9
7	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.9
8	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	2	0.9
9	FYVE	64	1.0	7.0	0.125	8	0.9
10	Prok-RING_4	16	1.0	1.0	0.5	3	0.9
11	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	2	0.9
12	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.9
13	GATA	35	1.0	2.888888888888889	0.2571428571428571	3	0.9
14	zf-AN1	40	1.0	4.0	0.2	5	0.9
15	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.9
16	LIM	35	1.0	2.5	0.2857142857142857	2	0.9
17	zf-C4	54	1.0	5.0	0.16666666666666666	3	0.9
18	zf-B_box	40	1.0	4.0	0.2	2	0.9
19	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	4	0.8
20	TFIIS_C	25	1.0	5.25	0.16	4	0.8
21	zf-CCHC	11	1.0	1.2	0.45454545454545453	3	0.8
22	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	1	0.8
23	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	1	0.8
24	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.8
25	zf-MYND	38	1.0	3.75	0.21052631578947367	8	0.8
26	C1_1	42	1.0	4.25	0.19047619047619047	7	0.8
27	WD40	29	0.0	0.0	0.06896551724137931	1	0.8
28	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.8
29	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.8
30	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.8
31	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	2	0.8
32	FYVE	64	1.0	7.0	0.125	8	0.8
33	Prok-RING_4	16	1.0	1.0	0.5	6	0.8
34	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.8
35	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.8
36	GATA	35	1.0	2.888888888888889	0.2571428571428571	3	0.8
37	E1-E2_ATPase	179	0.0	0.0	0.0111731843575419	1	0.8
38	zf-AN1	40	1.0	4.0	0.2	5	0.8
39	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.8
40	LIM	35	1.0	2.5	0.2857142857142857	4	0.8
41	zf-C4	54	1.0	5.0	0.16666666666666666	5	0.8
42	zf-B_box	40	1.0	4.0	0.2	3	0.8
43	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	4	0.7
44	TFIIS_C	25	1.0	5.25	0.16	4	0.7
45	zf-CCHC	11	1.0	1.2	0.45454545454545453	3	0.7
46	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	3	0.7
47	Pre-SET	82	1.0	8.11111111111111	0.10975609756097561	2	0.7
48	Metallophos	116	1.0	22.2	0.04310344827586207	1	0.7
49	zf-MYND	38	1.0	3.75	0.21052631578947367	8	0.7
50	C1_1	42	1.0	4.25	0.19047619047619047	8	0.7
51	Lectin_C	51	0.0	0.0	0.058823529411764705	1	0.7
52	WD40	29	0.0	0.0	0.06896551724137931	1	0.7
53	zf-CXXC	41	1.0	4.125	0.1951219512195122	8	0.7
54	zf-A20	24	1.0	3.8000000000000003	0.20833333333333334	4	0.7
55	Peptidase_M14	235	0.0	0.0	0.00851063829787234	1	0.7
56	zf-C2H2_4	13	1.0	2.25	0.3076923076923077	2	0.7
57	FYVE	64	1.0	7.0	0.125	8	0.7
58	Prok-RING_4	16	1.0	1.0	0.5	7	0.7
59	ZZ	44	1.0	3.8888888888888893	0.20454545454545456	4	0.7
60	zf-H2C2_5	21	1.0	4.25	0.19047619047619047	4	0.7
61	GATA	35	1.0	2.888888888888889	0.2571428571428571	4	0.7
62	Peptidase_C1	197	0.0	0.0	0.015228426395939087	1	0.7
63	E1-E2_ATPase	179	0.0	0.0	0.0111731843575419	1	0.7
64	zf-AN1	40	1.0	4.0	0.2	7	0.7
65	zf-CCCH	18	1.0	3.5	0.2222222222222222	4	0.7
66	LIM	35	1.0	2.5	0.2857142857142857	7	0.7
67	zf-C4	54	1.0	5.0	0.16666666666666666	5	0.7
68	ArfGap	108	1.0	26.0	0.037037037037037035	2	0.7
69	zf-B_box	40	1.0	4.0	0.2	3	0.7
70	His_Phos_1	153	1.0	152.0	0.006535947712418301	1	0.6
71	PHD_2	31	1.0	1.8181818181818181	0.3548387096774194	5	0.6
72	TFIIS_C	25	1.0	5.25	0.16	4	0.6
73	zf-CCHC	11	1.0	1.2	0.45454545454545453	4	0.6
74	zf-UBP	51	1.0	4.1000000000000005	0.19607843137254902	3	0.6
