	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
0	KH_1	55	0.43243243243243246	0.5585585585585586	0.43636363636363634	37	0.5
1	S4	48	0.8125	0.1875	0.8125	48	0.5
2	PUF	21	0.6153846153846154	0.37869822485207105	0.6190476190476191	13	0.5
3	WD40	15	0.2	2.8000000000000003	0.06666666666666667	5	0.5
4	RRM_1	55	0.6829268292682927	0.36043360433604343	0.6545454545454545	41	0.5
5	KOW	29	0.6666666666666666	0.3	0.6896551724137931	9	0.5
6	Ribosomal_S4	61	0.3333333333333333	0.13953488372093023	0.7049180327868853	3	0.5
7	tRNA-synt_1	511	0.25	2.305	0.09784735812133072	8	0.5
8	Ribosomal_L7Ae	84	0.4492753623188406	0.5990338164251208	0.42857142857142855	69	0.5
9	RNase_T	161	0.21052631578947367	1.78328173374613	0.10559006211180125	19	0.5
10	KH_1	55	0.4146341463414634	0.5355691056910569	0.43636363636363634	41	0.4
11	S4	48	0.8125	0.1875	0.8125	48	0.4
12	PUF	21	0.631578947368421	0.38866396761133604	0.6190476190476191	19	0.4
13	WD40	15	0.125	1.75	0.06666666666666667	8	0.4
14	RRM_1	55	0.68	0.3588888888888889	0.6545454545454545	50	0.4
15	KOW	29	0.7272727272727273	0.32727272727272727	0.6896551724137931	11	0.4
16	Ribosomal_S4	61	0.6666666666666666	0.27906976744186046	0.7049180327868853	9	0.4
17	tRNA-synt_1	511	0.3076923076923077	2.836923076923077	0.09784735812133072	13	0.4
18	Ribosomal_L7Ae	84	0.4358974358974359	0.5811965811965812	0.42857142857142855	78	0.4
19	RNase_T	161	0.2	1.6941176470588237	0.10559006211180125	35	0.4
20	KH_1	55	0.4528301886792453	0.5849056603773585	0.43636363636363634	53	0.3
21	S4	48	0.8125	0.1875	0.8125	48	0.3
22	PUF	21	0.65	0.4	0.6190476190476191	20	0.3
23	WD40	15	0.1111111111111111	1.5555555555555556	0.06666666666666667	9	0.3
24	RRM_1	55	0.6415094339622641	0.3385744234800839	0.6545454545454545	53	0.3
25	KOW	29	0.7333333333333333	0.32999999999999996	0.6896551724137931	15	0.3
26	Ribosomal_S4	61	0.7142857142857143	0.29900332225913623	0.7049180327868853	14	0.3
27	tRNA-synt_1	511	0.11764705882352941	1.0847058823529412	0.09784735812133072	34	0.3
28	Ribosomal_L7Ae	84	0.43373493975903615	0.5783132530120482	0.42857142857142855	83	0.3
29	RNase_T	161	0.13114754098360656	1.110896817743491	0.10559006211180125	61	0.3
30	KH_1	55	0.43636363636363634	0.5636363636363636	0.43636363636363634	55	0.2
31	S4	48	0.8125	0.1875	0.8125	48	0.2
32	PUF	21	0.6190476190476191	0.380952380952381	0.6190476190476191	21	0.2
33	WD40	15	0.09090909090909091	1.272727272727273	0.06666666666666667	11	0.2
34	RRM_1	55	0.6545454545454545	0.34545454545454546	0.6545454545454545	55	0.2
35	NUDIX	120	0.0	0.0	0.1	1	0.2
36	KOW	29	0.6666666666666666	0.3	0.6896551724137931	24	0.2
37	Ribosomal_S4	61	0.7142857142857143	0.29900332225913623	0.7049180327868853	21	0.2
38	LRR_8	52	0.0	0.0	0.3269230769230769	2	0.2
39	tRNA-synt_1	511	0.0963855421686747	0.8886746987951808	0.09784735812133072	83	0.2
40	Ribosomal_L7Ae	84	0.42857142857142855	0.5714285714285714	0.42857142857142855	84	0.2
41	RNase_T	161	0.1262135922330097	1.069103369503141	0.10559006211180125	103	0.2
42	KH_1	55	0.43636363636363634	0.5636363636363636	0.43636363636363634	55	0.1
43	S4	48	0.8125	0.1875	0.8125	48	0.1
44	PUF	21	0.6190476190476191	0.380952380952381	0.6190476190476191	21	0.1
45	WD40	15	0.07692307692307693	1.076923076923077	0.06666666666666667	13	0.1
46	RRM_1	55	0.6545454545454545	0.34545454545454546	0.6545454545454545	55	0.1
47	NUDIX	120	0.0	0.0	0.1	3	0.1
48	KOW	29	0.6538461538461539	0.29423076923076924	0.6896551724137931	26	0.1
49	Ribosomal_S4	61	0.7631578947368421	0.31946144430844553	0.7049180327868853	38	0.1
50	TPR_17	31	0.0	0.0	0.5806451612903226	1	0.1
51	LSM	47	0.3333333333333333	0.711111111111111	0.3191489361702128	45	0.1
52	LRR_8	52	0.3333333333333333	0.6862745098039216	0.3269230769230769	42	0.1
53	Helicase_C	35	1.0	2.888888888888889	0.2571428571428571	4	0.1
54	dsrm	63	1.0	0.8529411764705883	0.5396825396825397	5	0.1
55	S1	60	0.0	0.0	0.13333333333333333	19	0.1
56	TPR_1	29	0.7142857142857143	0.6666666666666667	0.5172413793103449	14	0.1
57	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.1
58	tRNA-synt_1	511	0.11659192825112108	1.0749775784753364	0.09784735812133072	223	0.1
59	Ribosomal_L7Ae	84	0.42857142857142855	0.5714285714285714	0.42857142857142855	84	0.1
60	RNase_T	161	0.1111111111111111	0.9411764705882353	0.10559006211180125	153	0.1
61	Nop	188	0.2857142857142857	1.2941176470588236	0.18085106382978725	7	0.05
62	KH_1	55	0.43636363636363634	0.5636363636363636	0.43636363636363634	55	0.05
63	S4	48	0.8125	0.1875	0.8125	48	0.05
64	PUF	21	0.6190476190476191	0.380952380952381	0.6190476190476191	21	0.05
65	WD40	15	0.07142857142857142	1.0	0.06666666666666667	14	0.05
66	RRM_1	55	0.6545454545454545	0.34545454545454546	0.6545454545454545	55	0.05
67	NUDIX	120	0.14285714285714285	1.2857142857142858	0.1	7	0.05
68	KOW	29	0.6785714285714286	0.3053571428571429	0.6896551724137931	28	0.05
69	Anticodon_1	92	0.0	0.0	0.1956521739130435	2	0.05
70	Ribosomal_S4	61	0.717391304347826	0.30030333670374115	0.7049180327868853	46	0.05
71	TPR_17	31	0.8333333333333334	0.6018518518518519	0.5806451612903226	6	0.05
72	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.05
73	LRR_8	52	0.3269230769230769	0.6730769230769231	0.3269230769230769	52	0.05
74	Helicase_C	35	0.2571428571428571	0.7428571428571428	0.2571428571428571	35	0.05
75	dsrm	63	0.5396825396825397	0.46031746031746035	0.5396825396825397	63	0.05
76	S1	60	0.13333333333333333	0.8666666666666666	0.13333333333333333	60	0.05
77	TPR_1	29	0.5172413793103449	0.4827586206896552	0.5172413793103449	29	0.05
78	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.05
79	tRNA-synt_1	511	0.09308510638297872	0.8582446808510638	0.09784735812133072	376	0.05
80	Ribosomal_L7Ae	84	0.42857142857142855	0.5714285714285714	0.42857142857142855	84	0.05
81	RNase_T	161	0.10559006211180125	0.8944099378881988	0.10559006211180125	161	0.05
82	Nop	188	0.23423423423423423	1.060943296237414	0.18085106382978725	111	0.01
83	LRR_4	32	0.4	1.4285714285714286	0.21875	15	0.01
84	NTP_transf_2	70	0.0	0.0	0.18571428571428572	1	0.01
85	zf-CCHC	18	0.8823529411764706	0.11029411764705882	0.8888888888888888	17	0.01
86	CSD	64	0.3488372093023256	0.6659619450317125	0.34375	43	0.01
87	KH_1	55	0.43636363636363634	0.5636363636363636	0.43636363636363634	55	0.01
88	S4	48	0.8125	0.1875	0.8125	48	0.01
89	PUF	21	0.6190476190476191	0.380952380952381	0.6190476190476191	21	0.01
90	WD40	15	0.07142857142857142	1.0	0.06666666666666667	14	0.01
91	RRM_1	55	0.6545454545454545	0.34545454545454546	0.6545454545454545	55	0.01
92	NUDIX	120	0.08163265306122448	0.7346938775510203	0.1	49	0.01
93	KOW	29	0.6896551724137931	0.3103448275862069	0.6896551724137931	29	0.01
94	HA2	96	0.0	0.0	0.010416666666666666	9	0.01
95	Anticodon_1	92	0.16666666666666666	0.6851851851851851	0.1956521739130435	6	0.01
96	Ribosomal_S4	61	0.6842105263157895	0.2864137086903305	0.7049180327868853	57	0.01
97	TPR_17	31	0.7142857142857143	0.5158730158730159	0.5806451612903226	21	0.01
98	LSM	47	0.3191489361702128	0.6808510638297872	0.3191489361702128	47	0.01
99	LRR_8	52	0.3269230769230769	0.6730769230769231	0.3269230769230769	52	0.01
100	Helicase_C	35	0.2571428571428571	0.7428571428571428	0.2571428571428571	35	0.01
101	dsrm	63	0.5396825396825397	0.46031746031746035	0.5396825396825397	63	0.01
102	S1	60	0.13333333333333333	0.8666666666666666	0.13333333333333333	60	0.01
103	TPR_1	29	0.5172413793103449	0.4827586206896552	0.5172413793103449	29	0.01
104	zf-CCCH	24	0.5416666666666666	0.45833333333333326	0.5416666666666666	24	0.01
105	tRNA-synt_1	511	0.09861932938856016	0.9092702169625246	0.09784735812133072	507	0.01
106	Ribosomal_L7Ae	84	0.42857142857142855	0.5714285714285714	0.42857142857142855	84	0.01
107	RNase_T	161	0.10559006211180125	0.8944099378881988	0.10559006211180125	161	0.01
